Avg Acc,Avg Prec,Avg Rec,Best Acc,Best Prec,Best Rec,Avg Faith,Best Faith,Alpha,Beta,Run,LR,IDX
0.176612396,0.23460276,0.434611389,0.8,0.923076923,0.857142857,0.988726078,0.444117129,,,23,1.00E-05,2357
0.177568361,0.234805865,0.439005828,0.733333333,0.916666667,0.785714286,0.987800907,0.167477965,,,14,1.00E-05,2300
0.174689186,0.231428171,0.433857547,0.733333333,0.916666667,0.785714286,0.989338098,0.608196378,,,2,1.00E-05,13194
0.175661111,0.232336745,0.435890013,0.722222222,0.764705882,0.928571429,0.988000466,0.78466247,,,4,1.00E-05,1480
0.174636578,0.231378296,0.433218027,0.714285714,1,0.714285714,0.98936748,0.702214152,,,22,1.00E-05,13194
0.175304331,0.232736422,0.43284565,0.714285714,1,0.714285714,0.98926707,0.818646848,,,15,1.00E-05,4214
0.176092021,0.233696539,0.434428946,0.705882353,0.8,0.857142857,0.98941769,0.914639324,,,17,1.00E-05,4214
0.175692431,0.232899173,0.435562657,0.6875,0.846153846,0.785714286,0.988842344,0.862487003,,,20,1.00E-05,8429
0.176478124,0.232867883,0.438311714,0.684210526,0.722222222,0.928571429,0.989083159,0.866039753,,,11,1.00E-05,5695
0.175484556,0.232412725,0.435623148,0.631578947,0.705882353,0.857142857,0.989364184,0.997210989,,,7,1.00E-05,8846
0.174821682,0.23167538,0.432999789,0.625,0.833333333,0.714285714,0.988195653,0.48617059,,,6,1.00E-05,1550
0.174780687,0.231313873,0.435552321,0.625,0.833333333,0.714285714,0.989157305,0.999438346,,,24,1.00E-05,5913
0.17540626,0.232661006,0.433234398,0.611111111,0.733333333,0.785714286,0.989722442,0.195770919,,,9,1.00E-05,10049
0.177004085,0.234276214,0.438609033,0.611111111,0.733333333,0.785714286,0.989270033,0.828223705,,,18,1.00E-05,3065
0.178083562,0.234981102,0.443413655,0.6,0.9,0.642857143,0.98932824,0.056685388,,,8,1.00E-05,2301
0.175780018,0.232321869,0.436575318,0.590909091,0.619047619,0.928571429,0.989617168,0.997638046,,,3,1.00E-05,101
0.175272008,0.232211121,0.434637056,0.578947368,0.6875,0.785714286,0.988892653,0.756074369,,,19,1.00E-05,5695
0.175864803,0.233364692,0.435020324,0.578947368,0.6875,0.785714286,0.989595264,0.92894955,,,0,1.00E-05,10607
0.177689477,0.235292537,0.439130555,0.578947368,0.6875,0.785714286,0.988689796,0.985592591,,,16,1.00E-05,5965
0.174488336,0.231518062,0.431465052,0.565217391,0.590909091,0.928571429,0.988360776,0.964883272,,,1,1.00E-05,7738
0.176557877,0.233750427,0.437507024,0.55,0.647058823,0.785714286,0.989475785,0.870203406,,,21,1.00E-05,5469
0.177568114,0.235370918,0.436695466,0.55,0.647058823,0.785714286,0.98933225,0.891494162,,,12,1.00E-05,5696
0.175719021,0.232276977,0.437242378,0.55,0.578947368,0.916666667,0.988835033,0.99040724,,,13,1.00E-05,88
0.175410038,0.23271872,0.434406679,0.527777778,0.703703704,0.678571429,0.988894641,0.88029892,,,5,1.00E-05,1478
0.176421557,0.233527971,0.435820227,0.5,0.578947368,0.785714286,0.988337858,0.758135974,,,10,1.00E-05,1800
