Avg Acc,Avg Prec,Avg Rec,Best Acc,Best Prec,Best Rec,Avg Faith,Best Faith,Alpha,Beta,Run,LR,IDX
0.173875993,0.231287931,0.429908134,0.857142857,1,0.857142857,0.992453143,0.702153593,,,6,1.00E-05,12175
0.172831805,0.23069078,0.424951728,0.705882353,0.8,0.857142857,0.992712916,0.788070232,,,22,1.00E-05,347
0.175256588,0.23169568,0.436227941,0.6875,0.846153846,0.785714286,0.99256407,0.611754358,,,7,1.00E-05,1806
0.172119357,0.229211817,0.425784441,0.647058823,0.785714286,0.785714286,0.9925573,0.988110355,,,16,1.00E-05,1370
0.174952639,0.231888603,0.433815928,0.611111111,0.733333333,0.785714286,0.992608066,0.581765115,,,20,1.00E-05,7346
0.174973566,0.231574574,0.434263029,0.611111111,0.733333333,0.785714286,0.992411463,0.742734969,,,17,1.00E-05,3623
0.172594348,0.230071142,0.426954865,0.6,0.666666667,0.857142857,0.993532527,0.890613653,,,14,1.00E-05,11638
0.176201232,0.233023659,0.436847294,0.590909091,0.619047619,0.928571429,0.993009265,0.989655917,,,2,1.00E-05,9088
0.175093537,0.232145848,0.433714224,0.588235294,0.769230769,0.714285714,0.992870209,0.84696123,,,10,1.00E-05,3623
0.173580006,0.230421863,0.43055631,0.578947368,0.6875,0.785714286,0.993013493,0.788491383,,,9,1.00E-05,8040
0.176791334,0.233147651,0.441084564,0.555555556,0.714285714,0.714285714,0.992543093,0.980094092,,,11,1.00E-05,9245
0.175581006,0.233136524,0.43290354,0.555555556,0.714285714,0.714285714,0.992997729,0.993385599,,,23,1.00E-05,3130
0.17457987,0.231614179,0.43467719,0.55,0.647058823,0.785714286,0.992666632,0.547383964,,,0,1.00E-05,7346
0.175784934,0.233262545,0.435192299,0.55,0.647058823,0.785714286,0.992415927,0.91158244,,,3,1.00E-05,13010
0.173373372,0.231142494,0.429077548,0.55,0.647058823,0.785714286,0.992808558,0.98974545,,,19,1.00E-05,10772
0.176254258,0.233905074,0.434562652,0.55,0.647058823,0.785714286,0.992945111,0.997200938,,,21,1.00E-05,12082
0.17239754,0.228844704,0.429548943,0.55,0.647058823,0.785714286,0.992801522,0.999358927,,,12,1.00E-05,11733
0.174053344,0.230659265,0.432906971,0.540540541,0.689655172,0.714285714,0.992425094,0.987461006,,,1,1.00E-05,171
0.172094881,0.22869732,0.426999129,0.529411765,0.75,0.642857143,0.992624106,0.918290637,,,5,1.00E-05,12347
0.174829177,0.231516787,0.434664631,0.526315789,0.666666667,0.714285714,0.991928914,0.995191871,,,4,1.00E-05,9771
0.174933552,0.231403297,0.43475412,0.523809524,0.611111111,0.785714286,0.992355714,0.936474025,,,18,1.00E-05,5684
0.175104858,0.231653448,0.43616954,0.5,0.625,0.714285714,0.992739564,0.984247556,,,13,1.00E-05,2531
0.174598866,0.23157814,0.432702396,0.5,0.578947368,0.785714286,0.992446839,0.956559125,,,8,1.00E-05,8098
0.173977504,0.230738702,0.431829742,0.5,0.578947368,0.785714286,0.993055377,0.999549938,,,15,1.00E-05,687
0.175161247,0.232281635,0.43364395,0.48,0.52173913,0.857142857,0.992663777,0.988191738,,,24,1.00E-05,1186
