Probability,GT,P1,P2,Run
0.6167608,1,12856,12857,0
0.56960624,1,12856,12858,0
0.57112175,1,12856,12859,0
0.6393826,1,12857,12856,0
0.61332,1,12857,12860,0
0.6393134,1,12858,12856,0
0.6126011,1,12858,12860,0
0.63478607,1,12858,12861,0
0.7115914,0,12858,12862,0
0.5904957,1,12859,12856,0
0.64495707,1,12860,12857,0
0.6070601,1,12860,12858,0
0.5732019,1,12860,12861,0
0.6242897,1,12861,12858,0
0.5711,1,12861,12860,0
0.5792433,0,12862,12858,0
0.63471824,1,12856,12857,1
0.5809952,1,12856,12858,1
0.60499895,1,12856,12859,1
0.5809661,1,12857,12856,1
0.5345465,1,12857,12860,1
0.6458863,1,12858,12856,1
0.59432775,1,12858,12860,1
0.63376737,1,12858,12861,1
0.5892671,0,12858,12862,1
0.556061,1,12859,12856,1
0.63233894,1,12860,12857,1
0.58129406,1,12860,12858,1
0.5950056,1,12860,12861,1
0.59424525,1,12861,12858,1
0.57113063,1,12861,12860,1
0.5239085,0,12862,12858,1
0.6080121,1,10729,10730,2
0.5882516,1,10729,10731,2
0.6897249,0,10729,10732,2
0.60785496,1,10730,10729,2
0.5258436,1,10730,10733,2
0.7094836,1,10730,10734,2
0.58897763,1,10731,10729,2
0.5093521,1,10731,10733,2
0.5709837,1,10731,10735,2
0.6203955,0,10732,10729,2
0.6051203,1,10733,10730,2
0.584213,1,10733,10731,2
0.578793,1,10733,10735,2
0.625601,0,10733,12526,2
0.56800234,1,10734,10730,2
0.6104492,1,10735,10731,2
0.5479403,1,10735,10733,2
0.49307412,0,12526,10733,2
0.55170417,1,6076,6077,3
0.56472844,1,6076,6078,3
0.54239213,1,6077,6076,3
0.5489589,1,6077,6079,3
0.59552056,1,6077,6080,3
0.57152724,1,6078,6076,3
0.58059365,1,6078,6079,3
0.64885974,1,6078,6081,3
0.6181454,1,6079,6077,3
0.62566954,1,6079,6078,3
0.6557135,1,6079,6081,3
0.59560865,0,6079,6087,3
0.6088099,0,6079,8366,3
0.512507,1,6080,6077,3
0.6087933,1,6081,6078,3
0.56821835,1,6081,6079,3
0.53194696,0,6087,6079,3
0.5322051,0,8366,6079,3
0.56272906,1,12856,12857,4
0.5756845,1,12856,12858,4
0.69842345,1,12856,12859,4
0.63416016,1,12857,12856,4
0.61263853,1,12857,12860,4
0.6229352,1,12858,12856,4
0.5990696,1,12858,12860,4
0.5397462,1,12858,12861,4
0.578277,0,12858,12862,4
0.62012166,1,12859,12856,4
0.5418043,1,12860,12857,4
0.5567125,1,12860,12858,4
0.5399443,1,12860,12861,4
0.5657423,1,12861,12858,4
0.60113835,1,12861,12860,4
0.535481,0,12862,12858,4
0.49990302,0,6302,12936,5
0.63008875,1,12932,12933,5
0.6045497,1,12932,12934,5
