Avg Acc,Avg Prec,Avg Rec,Best Acc,Best Prec,Best Rec,Avg Faith,Best Faith,Alpha,Beta,Seed,LR,IDX
0.231653314,0.234578999,0.955515353,0.875,0.875,1,0.455460954,-1.19E-07,0.8,0.6,0,0.05,12859
0.23158203,0.234472405,0.956284936,0.777777778,0.777777778,1,0.451796379,-1.19E-07,0.8,0.6,1,0.05,6080
0.231337565,0.234444787,0.953976534,0.777777778,0.777777778,1,0.462795172,-1.19E-07,0.8,0.6,2,0.05,11180
0.231506241,0.234472081,0.955405224,0.875,0.875,1,0.461058494,-1.19E-07,0.8,0.6,3,0.05,12859
0.231739524,0.234651664,0.955522214,0.777777778,0.777777778,1,0.453390201,0.083312273,0.8,0.6,4,0.05,13112
0.230753303,0.233832021,0.952812387,0.823529412,0.823529412,1,0.450884232,0.170089602,0.8,0.6,5,0.05,13112
0.231509078,0.234483616,0.955300225,0.875,0.875,1,0.460660199,-1.19E-07,0.8,0.6,6,0.05,12859
0.231588536,0.234519308,0.954531058,0.875,0.875,1,0.462524981,-1.19E-07,0.8,0.6,7,0.05,12859
0.231458252,0.234423109,0.954534731,0.875,0.875,1,0.462234622,-1.19E-07,0.8,0.6,8,0.05,12859
0.231619489,0.234539471,0.955598521,0.823529412,0.823529412,1,0.457035761,0.022177637,0.8,0.6,9,0.05,80
0.23141291,0.234519658,0.953346258,0.777777778,0.777777778,1,0.462315158,-1.19E-07,0.8,0.6,10,0.05,11180
0.231359282,0.234398202,0.953644277,0.636363636,0.636363636,1,0.46166785,0.572826892,0.8,0.6,15,0.05,6886
0.231083562,0.234061542,0.95371996,0.608695652,0.608695652,1,0.449464643,-1.19E-07,0.8,0.6,20,0.05,6886
0.23211449,0.234965056,0.95762325,0.571428571,0.571428571,1,0.445012574,0.034921467,0.8,0.6,25,0.05,2588
0.232033686,0.234918325,0.956403035,0.777777778,0.777777778,1,0.455107941,-1.19E-07,0.8,0.6,30,0.05,11180
0.231294929,0.234233401,0.95437983,0.875,0.875,1,0.442412529,-1.19E-07,0.8,0.6,40,0.05,12859
0.231619558,0.234647682,0.954234286,0.7,0.7,1,0.463774279,-1.19E-07,0.8,0.6,50,0.05,4555
0.231522529,0.234590702,0.954261523,0.622222222,0.622222222,1,0.458246891,0.174257874,0.8,0.6,60,0.05,1286
0.231092306,0.234352818,0.949364789,0.875,0.875,1,0.486428462,-1.19E-07,0.8,0.6,70,0.05,12859
0.231620942,0.234578075,0.955677392,0.875,0.875,1,0.452504107,-1.19E-07,0.8,0.6,80,0.05,12859
0.232237728,0.235243948,0.955534412,0.777777778,0.777777778,1,0.479639132,-1.19E-07,0.8,0.6,90,0.05,10734
0.232567266,0.235393651,0.957993002,0.682926829,0.682926829,1,0.457984205,0.222118497,0.8,0.6,100,0.05,6839
0.23106234,0.2341031,0.95249517,0.636363636,0.636363636,1,0.461528043,0.035720766,0.8,0.6,200,0.05,1286
0.231001538,0.234234945,0.950588886,0.777777778,0.777777778,1,0.464348395,-1.19E-07,0.8,0.6,300,0.05,11180
0.231322107,0.23428537,0.954472077,0.583333333,0.583333333,1,0.452283257,-1.19E-07,0.8,0.6,400,0.05,10124
0.232033013,0.234823601,0.957835398,0.875,0.875,1,0.443725418,-1.19E-07,0.8,0.6,500,0.05,12859
0.231843989,0.234836233,0.953255535,0.875,0.875,1,0.472496199,-1.19E-07,0.8,0.6,600,0.05,12859
0.230826437,0.233961998,0.951350914,0.875,0.875,1,0.462914936,-1.19E-07,0.8,0.6,700,0.05,12859
0.232305365,0.235133088,0.957299726,0.875,0.875,1,0.465186976,-1.19E-07,0.8,0.6,800,0.05,12859
0.231412139,0.234458969,0.954622543,0.7,0.7,1,0.452559633,-1.19E-07,0.8,0.6,900,0.05,4555
0.231169783,0.234222919,0.953473851,0.777777778,0.777777778,1,0.447006603,-1.19E-07,0.8,0.6,1000,0.05,11180
