Avg Acc,Avg Prec,Avg Rec,Best Acc,Best Prec,Best Rec,Avg Faith,Best Faith,Alpha,Beta,Seed,LR,IDX
0.171724151,0.228906224,0.425278246,0.571428571,0.631578947,0.857142857,0.986567579,0.802408442,,,0,1.00E-05,6814
0.174631746,0.231685006,0.433414103,0.526315789,0.666666667,0.714285714,0.98610474,0.873000324,,,1,1.00E-05,9547
0.17554956,0.232782348,0.435596228,0.5625,0.818181818,0.642857143,0.985953428,0.929756746,,,2,1.00E-05,11543
0.174822206,0.232278101,0.433533796,0.647058823,0.785714286,0.785714286,0.985897904,0.783318952,,,3,1.00E-05,8895
0.177892694,0.235152221,0.441702644,0.55,0.647058823,0.785714286,0.985602792,0.910429351,,,4,1.00E-05,1776
0.174784495,0.232246295,0.432105314,0.357142857,1,0.357142857,0.986014991,0.953454029,,,5,1.00E-05,3
0.176268369,0.232832374,0.438385828,0.6,0.9,0.642857143,0.985480127,0.956072848,,,6,1.00E-05,5579
0.175268341,0.232825821,0.434305597,0.625,0.833333333,0.714285714,0.985345093,0.577686071,,,7,1.00E-05,7745
0.172284743,0.22945785,0.426797867,0.5625,0.818181818,0.642857143,0.986179989,0.565841585,,,8,1.00E-05,1082
0.177283894,0.234117234,0.441241754,0.6,0.9,0.642857143,0.985678577,0.876909308,,,9,1.00E-05,7745
0.174599661,0.231997534,0.431740552,0.545454545,0.6,0.857142857,0.986313205,0.927111663,,,10,1.00E-05,1508
0.177675505,0.235423035,0.439130599,0.588235294,0.769230769,0.714285714,0.98656169,0.946283374,,,15,1.00E-05,1051
0.174823288,0.232723249,0.432068096,0.6,0.666666667,0.857142857,0.986042196,0.746271849,,,20,1.00E-05,7021
0.174701549,0.231486549,0.434166013,0.578947368,0.6875,0.785714286,0.985405549,0.73434785,,,25,1.00E-05,495
0.174791906,0.231639822,0.433951786,0.6,0.666666667,0.857142857,0.985880865,0.993916469,,,30,1.00E-05,328
0.17703493,0.234006932,0.440141854,0.533333333,0.888888889,0.571428571,0.985714078,0.999820137,,,40,1.00E-05,6138
0.174826953,0.231779978,0.434620042,0.677419355,0.875,0.75,0.985241186,0.998440259,,,50,1.00E-05,4555
0.178419041,0.236107688,0.440552705,0.666666667,0.909090909,0.714285714,0.985941503,0.554698318,,,60,1.00E-05,10734
0.176860567,0.233171464,0.441995257,0.6875,0.846153846,0.785714286,0.984636094,0.089534998,,,70,1.00E-05,1082
0.175201917,0.232366191,0.433762509,0.5625,0.818181818,0.642857143,0.986362653,0.83237651,,,80,1.00E-05,12521
0.174536032,0.231233682,0.433339044,0.468085106,0.536585366,0.785714286,0.98555855,0.999315324,,,90,1.00E-05,7246
0.174933648,0.232311384,0.433199737,0.428571429,1,0.428571429,0.986200265,0.640871972,,,100,1.00E-05,11180
0.173607237,0.231137053,0.42943416,0.555555556,0.714285714,0.714285714,0.98611336,0.845702961,,,200,1.00E-05,3572
0.175123375,0.232494737,0.43381643,0.588235294,0.769230769,0.714285714,0.985841008,0.381514728,,,300,1.00E-05,12521
0.175289388,0.233217051,0.433498173,0.6,0.9,0.642857143,0.986593556,0.558386326,,,400,1.00E-05,12521
0.175261879,0.232200938,0.435784327,0.588235294,0.769230769,0.714285714,0.985950441,0.967178963,,,500,1.00E-05,5998
0.174102873,0.230879656,0.434074875,0.588235294,0.769230769,0.714285714,0.986423921,0.949051861,,,600,1.00E-05,2792
0.174556793,0.231814276,0.432400214,0.533333333,0.888888889,0.571428571,0.986197785,0.980246713,,,700,1.00E-05,6138
0.171353204,0.228903029,0.423038527,0.647058823,0.785714286,0.785714286,0.986001768,0.089147091,,,800,1.00E-05,2135
0.176011734,0.233078426,0.436021079,0.625,0.833333333,0.714285714,0.986042343,0.934852198,,,900,1.00E-05,80
0.175671896,0.232718431,0.436654821,0.642857143,1,0.642857143,0.985234424,0.989563307,,,1000,1.00E-05,6138
