Probability,GT,P1,P2,Run
0.5516805,0,3656,11092,0
0.5513541,0,4413,11092,0
0.5952082,1,11091,11092,0
0.5540782,1,11091,11093,0
0.5911426,1,11091,11094,0
0.5874954,0,11092,3656,0
0.66821915,0,11092,4413,0
0.5561886,1,11092,11091,0
0.59908485,1,11092,11095,0
0.538843,1,11093,11091,0
0.57621276,1,11093,11095,0
0.5732555,1,11093,11096,0
0.52701026,1,11094,11091,0
0.5796991,1,11095,11092,0
0.5330135,1,11095,11093,0
0.5476792,1,11095,11096,0
0.56756455,1,11096,11093,0
0.5805386,1,11096,11095,0
0.5639136,0,2252,9034,1
0.5192727,0,3523,9034,1
0.5663732,0,5611,9034,1
0.60354143,0,6189,6190,1
0.58587986,0,6189,6191,1
0.5974204,0,6189,6639,1
0.5797006,0,6190,6189,1
0.54725564,0,6191,6189,1
0.5563569,0,6639,6189,1
0.52763695,1,6639,6640,1
0.54941726,1,6639,6641,1
0.5383807,1,6639,9036,1
0.531654,1,6640,6639,1
0.5080003,1,6640,6642,1
0.5305258,0,6640,6643,1
0.44354296,0,6640,9368,1
0.46512306,0,6640,10736,1
0.5748364,1,6641,6639,1
0.543756,1,6641,6642,1
0.54749846,1,6641,6644,1
0.5109891,0,6641,6673,1
0.6167219,0,6641,11915,1
0.5125544,1,6642,6640,1
0.5310074,1,6642,6641,1
0.5303315,1,6642,6644,1
0.47322872,0,6643,6640,1
0.5161353,1,6644,6641,1
0.5109838,1,6644,6642,1
0.5133719,0,6673,6641,1
0.52188414,1,9033,9034,1
0.5166876,1,9033,9035,1
0.5391288,1,9033,9036,1
0.4566717,0,9034,2252,1
0.52548176,0,9034,3523,1
0.4812479,0,9034,5611,1
0.5246595,1,9034,9033,1
0.5055477,1,9034,9037,1
0.6026222,0,9034,9038,1
0.54753417,1,9035,9033,1
0.5262131,1,9035,9037,1
0.5165226,1,9035,9039,1
0.5649645,0,9035,9040,1
0.45169383,0,9035,9041,1
0.5648288,1,9036,6639,1
0.5446497,1,9036,9033,1
0.59132254,1,9037,9034,1
0.58850193,1,9037,9035,1
0.59613913,1,9037,9039,1
0.4795598,0,9038,9034,1
0.50951654,1,9039,9035,1
0.5287574,1,9039,9037,1
0.48027217,0,9040,9035,1
0.59625596,0,9041,9035,1
0.5759658,0,9368,6640,1
0.489479,0,10736,6640,1
0.58669984,0,11915,6641,1
0.54164994,1,9067,9068,2
0.53349227,1,9067,9069,2
0.53287303,1,9067,9070,2
0.556533,1,9068,9067,2
0.5392231,1,9068,9071,2
0.5734489,1,9069,9067,2
0.5481758,1,9069,9071,2
0.5840954,1,9069,9072,2
0.5473118,0,9069,9073,2
0.5265758,1,9070,9067,2
0.5446273,1,9071,9068,2
0.5420748,1,9071,9069,2
0.5443379,1,9071,9072,2
0.5703537,1,9072,9069,2
0.5447259,1,9072,9071,2
0.5796529,0,9073,9069,2
0.5642812,0,298,12446,3
