Probability,GT,P1,P2,Run
0.5011047,1,6219,6220,0
0.50241476,1,6219,6221,0
0.50126207,1,6220,6219,0
0.5044816,1,6220,6222,0
0.5018641,1,6221,6219,0
0.50414234,1,6221,6222,0
0.50431436,1,6221,6224,0
0.4998392,0,6221,6225,0
0.49738753,0,6221,6226,0
0.49486575,0,6221,6227,0
0.49269748,0,6221,6228,0
0.499479,0,6221,6229,0
0.5025588,0,6221,6230,0
0.49508375,0,6221,7084,0
0.50057656,0,6221,7923,0
0.5003985,1,6222,6220,0
0.5024165,1,6222,6221,0
0.503835,1,6222,6224,0
0.50556076,0,6222,6231,0
0.5029038,1,6224,6221,0
0.50185287,1,6224,6222,0
0.5011757,1,6224,6232,0
0.4987123,0,6225,6221,0
0.50435066,0,6226,6221,0
0.49987122,0,6227,6221,0
0.496063,0,6228,6221,0
0.4978923,0,6229,6221,0
0.4959258,0,6230,6221,0
0.49303988,0,6231,6222,0
0.50066555,1,6232,6224,0
0.4947719,0,7084,6221,0
0.4990668,0,7923,6221,0
0.5007334,1,3134,3135,1
0.5016945,1,3134,3136,1
0.49821958,0,3134,3137,1
0.5034693,1,3134,3138,1
0.5059319,1,3135,3134,1
0.50183237,1,3135,3139,1
0.4991162,0,3135,3140,1
0.50374955,1,3136,3134,1
0.504021,1,3136,3139,1
0.5013844,1,3136,3141,1
0.4995492,0,3137,3134,1
0.49422118,1,3138,3134,1
0.49910265,1,3139,3135,1
0.4951867,1,3139,3136,1
0.5036103,1,3139,3141,1
0.49802643,0,3140,3135,1
0.5002537,1,3141,3136,1
0.50276095,1,3141,3139,1
0.49912736,1,1623,1624,2
0.5025521,1,1623,1625,2
0.50361943,1,1624,1623,2
0.50024563,1,1624,1629,2
0.4927927,0,1624,5433,2
0.49305344,1,1625,1623,2
0.50666356,1,1625,1629,2
0.5008052,1,1625,1630,2
0.49959704,0,1625,1631,2
0.50408053,0,1625,1632,2
0.5029879,0,1625,1633,2
0.493926,0,1625,3903,2
0.5020289,1,1629,1624,2
0.5009622,1,1629,1625,2
0.5000845,1,1629,1630,2
0.5028878,1,1629,1634,2
0.4960522,1,1630,1625,2
0.4973722,1,1630,1629,2
0.49527818,0,1631,1625,2
0.49821824,0,1632,1625,2
0.49661946,0,1633,1625,2
0.5014097,1,1634,1629,2
0.5014435,0,3903,1625,2
0.5034116,0,5433,1624,2
0.49962988,1,51,52,3
0.5009123,1,51,53,3
0.49937138,0,51,54,3
0.5019081,0,51,4397,3
0.49400523,0,51,11790,3
0.500103,1,52,51,3
0.5049942,1,52,55,3
0.5006487,0,52,56,3
0.50010055,0,52,57,3
0.49674827,0,52,58,3
0.5026209,0,52,59,3
0.49921635,0,52,60,3
0.50046796,1,52,61,3
0.499314,0,52,270,3
0.49718377,0,52,9017,3
0.49682224,0,52,10390,3
0.5009113,1,53,51,3
0.50163054,1,53,55,3
0.50385255,1,53,62,3
0.5021707,0,54,51,3
0.50011903,1,55,52,3
0.5029452,1,55,53,3
0.50071156,1,55,62,3
0.49587744,0,56,52,3
0.49843302,0,56,646,3
0.505924,0,57,52,3
0.5036241,0,57,8348,3
0.49890164,0,58,52,3
0.4995491,0,59,52,3
0.49682575,0,59,6886,3
0.49687374,0,59,8211,3
0.50075364,0,60,52,3
0.5008936,0,60,4550,3
0.4962035,0,60,4786,3
0.5003908,1,61,52,3
0.49840435,1,62,53,3
0.5011829,1,62,55,3
0.5024197,0,262,270,3
0.4995358,0,270,52,3
0.4973872,0,270,262,3
0.4979069,0,646,56,3
0.49438184,0,4397,51,3
0.5003412,0,4550,60,3
0.49932167,0,4786,60,3
0.49767095,0,6886,59,3
0.49678656,0,8211,59,3
0.4988369,0,8348,57,3
0.49873078,0,9014,9017,3
0.49539894,0,9017,52,3
0.49887303,0,9017,9014,3
0.4997548,0,10390,52,3
0.50117254,0,10390,10391,3
0.4951665,0,10390,10392,3
0.4973741,0,10391,10390,3
0.49960905,0,10392,10390,3
0.5037577,0,11790,51,3
0.49632064,0,3891,3900,4
0.4985485,0,3900,3891,4
0.5004626,0,3900,6314,4
0.5014546,0,5532,6306,4
0.5000079,1,6304,6305,4
0.5022064,1,6304,6306,4
0.50388116,1,6305,6304,4
0.50432664,1,6305,6308,4
0.4972992,0,6306,5532,4
0.50361776,1,6306,6304,4
0.50087917,1,6306,6308,4
0.50054055,1,6306,6314,4
0.49636763,1,6308,6305,4
0.5017097,1,6308,6306,4
0.5004084,1,6308,6314,4
0.4974732,0,6308,6315,4
0.4957887,0,6308,6316,4
0.50215405,0,6308,7798,4
0.49616817,0,6314,3900,4
0.50047743,1,6314,6306,4
0.4979918,1,6314,6308,4
0.5024412,1,6314,6317,4
0.49466142,0,6315,6308,4
0.50710773,0,6316,6308,4
0.5007634,1,6317,6314,4
0.4990346,0,7798,6308,4
0.5018962,0,1767,4540,5
0.49886686,1,4539,4540,5
0.5037848,1,4539,4541,5
0.4968775,0,4539,4542,5
0.49589786,1,4539,4543,5
0.49867186,0,4540,1767,5
0.503011,1,4540,4539,5
0.50003195,1,4540,4544,5
0.50181866,1,4541,4539,5
0.4912235,1,4541,4544,5
0.50076354,1,4541,4545,5
0.50058347,0,4541,6362,5
0.49843445,0,4542,4539,5
0.5033283,1,4543,4539,5
0.5007618,1,4544,4540,5
0.5007953,1,4544,4541,5
0.5046374,1,4544,4545,5
0.50349873,1,4545,4541,5
0.5028245,1,4545,4544,5
0.499658,0,6362,4541,5
0.4951575,1,9833,9834,6
0.503444,1,9833,9835,6
0.49834597,1,9834,9833,6
0.5023974,1,9834,9836,6
0.4967282,1,9835,9833,6
0.5014101,1,9835,9836,6
0.5001526,1,9835,9839,6
0.49965382,0,9835,9840,6
0.49829933,1,9836,9834,6
0.50411654,1,9836,9835,6
0.5030633,1,9836,9839,6
0.49563426,0,9836,9841,6
0.5007751,0,9836,10413,6
0.49987605,0,9836,11266,6
0.50069547,1,9839,9835,6
0.5031858,1,9839,9836,6
0.5023613,1,9839,9842,6
0.5003597,0,9840,9835,6
