Avg Acc,Avg Prec,Avg Rec,Best Acc,Best Prec,Best Rec,Avg Faith,Best Faith,Alpha,Beta,Seed,LR,IDX
0.185746402,0.227623087,0.521865504,0.7,0.7,1,0.982001921,0.95673912,0.6,0.6,0,0.05,11072
0.187010463,0.229599205,0.521594546,0.565217391,0.590909091,0.928571429,0.983726157,0.996349358,0.6,0.6,1,0.05,5150
0.186191677,0.228278697,0.521559306,0.608695652,0.608695652,1,0.982768987,0.217336118,0.6,0.6,2,0.05,3571
0.187171106,0.22946516,0.523416336,0.619047619,0.65,0.928571429,0.983067832,0.331193924,0.6,0.6,3,0.05,12239
0.186969865,0.23070588,0.516260839,0.684210526,0.722222222,0.928571429,0.983942111,0.677476376,0.6,0.6,4,0.05,3847
0.186996601,0.228669537,0.524684069,0.482758621,0.482758621,1,0.981822397,0.863570035,0.6,0.6,5,0.05,1360
0.187121104,0.228646305,0.528209859,0.823529412,0.823529412,1,0.981195081,0.77931869,0.6,0.6,6,0.05,9544
0.188190585,0.230450254,0.529615292,0.482758621,0.482758621,1,0.98243306,0.735205323,0.6,0.6,7,0.05,10770
0.188161805,0.230693787,0.52466742,0.541666667,0.565217391,0.928571429,0.983378616,0.900989234,0.6,0.6,8,0.05,6366
0.19046315,0.232253654,0.533351897,0.565217391,0.590909091,0.928571429,0.982529976,0.986834718,0.6,0.6,9,0.05,4865
0.187032715,0.229290312,0.523806402,0.619047619,0.65,0.928571429,0.983882949,0.086974919,0.6,0.6,10,0.05,8429
0.187095499,0.229796738,0.523189288,0.444444444,0.444444444,1,0.982645304,0.62130928,0.6,0.6,15,0.05,7702
0.189499565,0.2327259,0.525349048,0.777777778,0.777777778,1,0.982119126,0.454051137,0.6,0.6,20,0.05,4214
0.187513891,0.230052463,0.521261501,0.777777778,0.777777778,1,0.983059836,0.299695849,0.6,0.6,25,0.05,10714
0.189115691,0.232288095,0.523223002,0.736842105,0.736842105,1,0.982718099,0.778802022,0.6,0.6,30,0.05,9617
0.18870953,0.231220579,0.526977019,0.736842105,0.736842105,1,0.982733802,0.492152095,0.6,0.6,40,0.05,12532
0.18736808,0.23046962,0.52159961,0.65,0.684210526,0.928571429,0.983604251,0.982884258,0.6,0.6,50,0.05,2808
0.18808016,0.230847231,0.522252171,0.482758621,0.482758621,1,0.984032668,0.176344395,0.6,0.6,60,0.05,2935
0.186937932,0.229434601,0.522169344,0.7,0.7,1,0.982453156,0.744603187,0.6,0.6,70,0.05,9401
0.186360196,0.230001103,0.516471724,0.65,0.684210526,0.928571429,0.9847644,0.719108999,0.6,0.6,80,0.05,10223
0.189060424,0.231285365,0.528250579,0.722222222,0.764705882,0.928571429,0.981872624,0.731857628,0.6,0.6,90,0.05,10688
0.186299656,0.229061448,0.518123349,0.583333333,0.583333333,1,0.983140357,0.991735251,0.6,0.6,100,0.05,11108
0.186526501,0.229691756,0.517328788,0.5,0.5,1,0.982475904,0.951674383,0.6,0.6,200,0.05,1360
0.188911738,0.231234545,0.527808277,0.736842105,0.736842105,1,0.982722851,0.929065302,0.6,0.6,300,0.05,7302
0.188194794,0.230664182,0.525472249,0.875,0.875,1,0.982079216,-1.19E-07,0.6,0.6,400,0.05,13194
0.186920879,0.229356447,0.523429724,0.7,0.7,1,0.983873427,0.992583203,0.6,0.6,500,0.05,12532
0.187925072,0.231210311,0.519331564,0.608695652,0.608695652,1,0.982979737,0.965337366,0.6,0.6,600,0.05,12969
0.185307656,0.228023414,0.516270482,0.666666667,0.666666667,1,0.982803455,0.662110388,0.6,0.6,700,0.05,7972
0.186375308,0.228492985,0.521748408,0.7,0.7,1,0.983144268,0.88009049,0.6,0.6,800,0.05,10358
0.188956675,0.23102791,0.529078994,0.608695652,0.608695652,1,0.982804214,0.998866875,0.6,0.6,900,0.05,11697
0.186879862,0.231181217,0.513449836,0.545454545,0.6,0.857142857,0.983861226,0.767747179,0.6,0.6,1000,0.05,1926
