Avg Acc,Avg Prec,Avg Rec,Best Acc,Best Prec,Best Rec,Avg Faith,Best Faith,Alpha,Beta,Seed,LR,IDX
0.186042541,0.228877677,0.517491707,0.636363636,0.636363636,1,0.989457724,0.604667068,0.8,0.8,0,0.05,2762
0.185522609,0.229059654,0.512588967,0.705882353,0.8,0.857142857,0.988492101,0.34456557,0.8,0.8,1,0.05,6961
0.18562646,0.229631508,0.512032887,0.666666667,0.75,0.857142857,0.988450954,0.921228252,0.8,0.8,2,0.05,7545
0.18723471,0.230659935,0.517813428,0.666666667,0.75,0.857142857,0.987331827,0.996113663,0.8,0.8,3,0.05,11638
0.186919291,0.228342211,0.527734612,0.571428571,0.631578947,0.857142857,0.987421315,0.933310606,0.8,0.8,4,0.05,2852
0.185094249,0.229371344,0.509337585,0.619047619,0.65,0.928571429,0.988938925,0.453559816,0.8,0.8,5,0.05,5075
0.183052914,0.227101377,0.506239582,0.684210526,0.722222222,0.928571429,0.989664825,0.054535806,0.8,0.8,6,0.05,9210
0.186987273,0.230458777,0.518545329,0.518518518,0.518518518,1,0.988022739,0.657891065,0.8,0.8,7,0.05,6863
0.182897999,0.227667573,0.501425233,0.538461538,0.538461538,1,0.989282673,0.620470017,0.8,0.8,8,0.05,5445
0.187757351,0.230850243,0.518777492,0.590909091,0.619047619,0.928571429,0.98813775,0.968987215,0.8,0.8,9,0.05,8098
0.185769833,0.229863822,0.513378377,0.65,0.684210526,0.928571429,0.989198365,0.851764038,0.8,0.8,10,0.05,1824
0.18690547,0.229280643,0.51959943,0.56,0.56,1,0.9872852,0.977722116,0.8,0.8,15,0.05,8572
0.184427874,0.227244194,0.514280677,0.583333333,0.583333333,1,0.987739867,0.998951185,0.8,0.8,20,0.05,9464
0.185202927,0.227859423,0.517485188,0.590909091,0.619047619,0.928571429,0.987534147,0.778855205,0.8,0.8,25,0.05,1044
0.186154673,0.229917752,0.512755112,0.8125,0.866666667,0.928571429,0.988657399,0.001275301,0.8,0.8,30,0.05,12175
0.188675501,0.231196944,0.526396191,0.583333333,0.583333333,1,0.988106211,0.721669823,0.8,0.8,40,0.05,5042
0.185976254,0.229040436,0.518537231,0.56,0.56,1,0.988688618,0.997218619,0.8,0.8,50,0.05,10224
0.186884779,0.229393907,0.520237656,0.578947368,0.6875,0.785714286,0.987324841,0.971607683,0.8,0.8,60,0.05,9771
0.187232765,0.229948308,0.520163471,0.590909091,0.619047619,0.928571429,0.989087615,0.963663589,0.8,0.8,70,0.05,12878
0.187015994,0.229827333,0.520626562,0.482758621,0.482758621,1,0.987666444,0.999529716,0.8,0.8,80,0.05,1550
0.185521868,0.229712735,0.510449676,0.631578947,0.705882353,0.857142857,0.988913122,0.22051549,0.8,0.8,90,0.05,1915
0.18784272,0.23147044,0.517816859,0.705882353,0.8,0.857142857,0.98763528,0.679494709,0.8,0.8,100,0.05,1915
0.186965443,0.229584291,0.520760795,0.7,0.7,1,0.98838527,0.984896895,0.8,0.8,200,0.05,12984
0.185862564,0.229149652,0.514249452,0.684210526,0.722222222,0.928571429,0.989387986,0.980228083,0.8,0.8,300,0.05,10702
0.19089712,0.233740579,0.52989504,0.619047619,0.65,0.928571429,0.988777318,0.702755421,0.8,0.8,400,0.05,8057
0.185872497,0.229675137,0.513978309,0.684210526,0.722222222,0.928571429,0.988184204,0.136505485,0.8,0.8,500,0.05,11984
0.187238508,0.230065734,0.520449986,0.590909091,0.619047619,0.928571429,0.988769147,0.798714295,0.8,0.8,600,0.05,9629
0.182359716,0.226449339,0.50295821,0.631578947,0.705882353,0.857142857,0.989076211,0.435863435,0.8,0.8,700,0.05,2141
0.190740708,0.23341867,0.530331779,0.8125,0.866666667,0.928571429,0.988108086,0.947033219,0.8,0.8,800,0.05,6961
0.186716483,0.229790964,0.518241725,0.7,0.7,1,0.989149653,0.942864206,0.8,0.8,900,0.05,488
0.18544392,0.229566496,0.510494146,0.8,0.923076923,0.857142857,0.988337562,0.185542643,0.8,0.8,1000,0.05,12175
