Avg Acc,Avg Prec,Avg Rec,Best Acc,Best Prec,Best Rec,Avg Faith,Best Faith,Alpha,Beta,Run,LR,IDX
0.231487788,0.234377551,0.956046474,0.7,0.7,1,0.484030359,0.375978291,0.8,0.6,14,0.05,7780
0.231460984,0.234315128,0.955992894,0.666666667,0.666666667,1,0.482616012,0.863979921,0.8,0.6,11,0.05,7780
0.231023636,0.233928057,0.955151288,0.651162791,0.651162791,1,0.472359454,0.013859987,0.8,0.6,19,0.05,7780
0.231300098,0.23428141,0.95436361,0.651162791,0.651162791,1,0.482720341,0.056962132,0.8,0.6,5,0.05,7780
0.231453134,0.234368949,0.955595663,0.636363636,0.636363636,1,0.493131425,1.19E-07,0.8,0.6,1,0.05,7780
0.230370246,0.233649299,0.949581659,0.636363636,0.636363636,1,0.508554811,1.19E-07,0.8,0.6,7,0.05,7780
0.231692771,0.234633025,0.955780814,0.636363636,0.636363636,1,0.485839856,1.19E-07,0.8,0.6,8,0.05,7780
0.231495949,0.234542229,0.954760911,0.636363636,0.636363636,1,0.485976093,1.19E-07,0.8,0.6,13,0.05,7780
0.231586889,0.234463301,0.957526001,0.636363636,0.636363636,1,0.472292826,1.19E-07,0.8,0.6,20,0.05,7780
0.230455187,0.233637737,0.95165364,0.636363636,0.636363636,1,0.505236122,0.164244473,0.8,0.6,24,0.05,11850
0.231799615,0.234649267,0.956914031,0.636363636,0.636363636,1,0.480076353,0.263433635,0.8,0.6,18,0.05,9159
0.23120954,0.234166963,0.955343783,0.636363636,0.636363636,1,0.48092234,0.525128186,0.8,0.6,12,0.05,11850
0.231657055,0.234724331,0.953762553,0.608695652,0.608695652,1,0.504837642,1.19E-07,0.8,0.6,2,0.05,9159
0.231128806,0.234132002,0.953475769,0.608695652,0.608695652,1,0.49658399,0.07059598,0.8,0.6,15,0.05,11850
0.23079668,0.233893802,0.953423588,0.608695652,0.608695652,1,0.488795125,0.370333195,0.8,0.6,6,0.05,8606
0.231643387,0.234400213,0.958004441,0.608695652,0.608695652,1,0.46015714,0.858775899,0.8,0.6,0,0.05,8630
0.230586776,0.233806939,0.951080631,0.595744681,0.595744681,1,0.497601334,0.012040377,0.8,0.6,22,0.05,11850
0.231404986,0.234329934,0.956081588,0.583333333,0.583333333,1,0.482185362,1.19E-07,0.8,0.6,10,0.05,8928
0.231065065,0.234079011,0.954855131,0.583333333,0.583333333,1,0.483662814,0.088376641,0.8,0.6,3,0.05,12401
0.231269596,0.23436278,0.95380627,0.583333333,0.583333333,1,0.492942757,0.186160266,0.8,0.6,16,0.05,12401
0.23184598,0.234747091,0.956000169,0.571428571,0.571428571,1,0.484741661,0.023400068,0.8,0.6,23,0.05,4144
0.231410759,0.234376588,0.955198222,0.571428571,0.571428571,1,0.478158598,0.069340706,0.8,0.6,4,0.05,9458
0.231173933,0.234106509,0.956389986,0.571428571,0.571428571,1,0.47907104,0.069340706,0.8,0.6,17,0.05,9458
0.231681631,0.234513974,0.957406041,0.56,0.56,1,0.480936598,1.19E-07,0.8,0.6,9,0.05,8630
0.231380986,0.234391192,0.953387565,0.549019608,0.549019608,1,0.495492795,0.046231925,0.8,0.6,21,0.05,4021
