Avg Acc,Avg Prec,Avg Rec,Best Acc,Best Prec,Best Rec,Avg Faith,Best Faith,Alpha,Beta,Seed,LR,IDX
0.231105213,0.234077148,0.954077246,0.583333333,0.583333333,1,0.476906649,1.19E-07,0.8,0.6,0,0.05,11850
0.23173476,0.234570065,0.95631787,0.595744681,0.595744681,1,0.485192082,0.157162964,0.8,0.6,1,0.05,4144
0.231334782,0.234205873,0.956110196,0.608695652,0.608695652,1,0.474919365,1.19E-07,0.8,0.6,2,0.05,9159
0.230775192,0.233956145,0.952881845,0.608695652,0.608695652,1,0.487460405,0.055719316,0.8,0.6,3,0.05,8606
0.231122166,0.234261698,0.95179871,0.651162791,0.651162791,1,0.50133058,0.02453351,0.8,0.6,4,0.05,7780
0.230901089,0.234076429,0.952199719,0.56,0.56,1,0.491003339,1.19E-07,0.8,0.6,5,0.05,12401
0.231521382,0.234289012,0.957944566,0.608695652,0.608695652,1,0.466539658,1.19E-07,0.8,0.6,6,0.05,9159
0.230905763,0.234049796,0.952482586,0.583333333,0.583333333,1,0.4969909,1.19E-07,0.8,0.6,7,0.05,8606
0.232042115,0.234953994,0.956282756,0.595744681,0.595744681,1,0.501553996,0.047318816,0.8,0.6,8,0.05,8606
0.231591015,0.234449959,0.957039797,0.595744681,0.595744681,1,0.477432713,0.506507546,0.8,0.6,9,0.05,11850
0.231819124,0.234796808,0.954796515,0.636363636,0.636363636,1,0.509850497,0.131685436,0.8,0.6,10,0.05,9159
0.230939295,0.233969855,0.953995617,0.595744681,0.595744681,1,0.466139184,0.055831134,0.8,0.6,15,0.05,8606
0.231575781,0.234470811,0.955967364,0.651162791,0.651162791,1,0.476082471,0.345502496,0.8,0.6,20,0.05,7780
0.23075477,0.233802843,0.952633812,0.651162791,0.651162791,1,0.500300732,0.013859987,0.8,0.6,25,0.05,7780
0.230411545,0.233566175,0.951710437,0.583333333,0.583333333,1,0.47502525,0.082599461,0.8,0.6,30,0.05,9458
0.230764168,0.233817538,0.953702398,0.608695652,0.608695652,1,0.4691972,1.19E-07,0.8,0.6,40,0.05,9159
0.231032842,0.233976146,0.954476575,0.608695652,0.608695652,1,0.483227382,0.037496507,0.8,0.6,50,0.05,11850
0.231040623,0.234098614,0.953850756,0.608695652,0.608695652,1,0.492730493,1.19E-07,0.8,0.6,60,0.05,9159
0.231145015,0.234124913,0.954328287,0.583333333,0.583333333,1,0.485302887,1.19E-07,0.8,0.6,70,0.05,8606
0.231110021,0.233982075,0.956122227,0.651162791,0.651162791,1,0.477413119,0.393713176,0.8,0.6,80,0.05,7780
0.231509743,0.234387265,0.956691109,0.583333333,0.583333333,1,0.485512569,1.19E-07,0.8,0.6,90,0.05,11850
0.231202293,0.234013163,0.956485394,0.608695652,0.608695652,1,0.469572473,1.19E-07,0.8,0.6,100,0.05,9159
0.230856788,0.233929948,0.953926859,0.651162791,0.651162791,1,0.488346427,0.123692453,0.8,0.6,200,0.05,9159
0.231618735,0.23452855,0.955740804,0.636363636,0.636363636,1,0.489288055,0.322015047,0.8,0.6,300,0.05,9159
0.231043231,0.234076288,0.954342976,0.875,0.875,1,0.487230946,1.19E-07,0.8,0.6,400,0.05,9873
0.23148088,0.234418324,0.955755843,0.583333333,0.583333333,1,0.489731301,1.19E-07,0.8,0.6,500,0.05,8606
0.231861526,0.234688988,0.956834991,0.595744681,0.595744681,1,0.487939904,0.691845566,0.8,0.6,600,0.05,9458
0.23108036,0.234076251,0.954872058,0.636363636,0.636363636,1,0.495973354,1.19E-07,0.8,0.6,700,0.05,7780
0.231269892,0.234151763,0.956328852,0.583333333,0.583333333,1,0.466863245,1.19E-07,0.8,0.6,800,0.05,8928
0.231793194,0.234662339,0.956682645,0.666666667,0.666666667,1,0.488184262,0.428175032,0.8,0.6,900,0.05,7780
0.232050852,0.234831805,0.957010139,0.622222222,0.622222222,1,0.481353032,0.467584848,0.8,0.6,1000,0.05,9159
