Avg Acc,Avg Prec,Avg Rec,Best Acc,Best Prec,Best Rec,Avg Faith,Best Faith,Alpha,Beta,Seed,LR,IDX
0.176142455,0.233362612,0.436239618,0.733333333,0.916666667,0.785714286,0.990797364,0.967688184,,,0,1.00E-05,4774
0.177106196,0.234687772,0.438194298,0.578947368,0.6875,0.785714286,0.991261267,0.789475411,,,1,1.00E-05,10919
0.174881538,0.232362986,0.433301759,0.578947368,0.6875,0.785714286,0.991286365,0.907970086,,,2,1.00E-05,9106
0.175910747,0.233163111,0.436158899,0.6,0.666666667,0.857142857,0.990708528,0.944040641,,,3,1.00E-05,3953
0.175032918,0.231693177,0.435898205,0.588235294,0.769230769,0.714285714,0.990616065,0.985313179,,,4,1.00E-05,7355
0.174663741,0.232150385,0.433029104,0.541666667,0.565217391,0.928571429,0.991112013,0.71936959,,,5,1.00E-05,3295
0.176560583,0.233509733,0.438897269,0.55,0.647058823,0.785714286,0.990640473,0.970326521,,,6,1.00E-05,13073
0.173533858,0.230689127,0.430812262,0.625,0.833333333,0.714285714,0.991118524,0.737178713,,,7,1.00E-05,13072
0.17557611,0.23294605,0.434445888,0.488888889,0.564102564,0.785714286,0.991505514,0.958085679,,,8,1.00E-05,1155
0.176044805,0.232988877,0.436843614,0.555555556,0.714285714,0.714285714,0.990994566,0.803236827,,,9,1.00E-05,10886
0.176946842,0.234400134,0.43640987,0.631578947,0.705882353,0.857142857,0.99119713,0.816328257,,,10,1.00E-05,598
0.174568058,0.23132514,0.434226393,0.625,0.833333333,0.714285714,0.990951755,0.951480374,,,15,1.00E-05,7738
0.175834798,0.233498963,0.434047538,0.6,0.9,0.642857143,0.990660192,0.988316122,,,20,1.00E-05,11772
0.175641259,0.232323665,0.436243675,0.666666667,0.75,0.857142857,0.990622771,0.942629546,,,25,1.00E-05,2399
0.176138186,0.233099381,0.43753924,0.705882353,0.8,0.857142857,0.990755848,0.758547172,,,30,1.00E-05,9665
0.173556548,0.229827436,0.432730989,0.631578947,0.705882353,0.857142857,0.990338094,0.946299009,,,40,1.00E-05,12487
0.175298988,0.231825982,0.43655627,0.5,0.555555556,0.833333333,0.99016095,0.962796371,,,50,1.00E-05,3729
0.175205165,0.232508179,0.433982347,0.6875,0.846153846,0.785714286,0.99148621,0.783566698,,,60,1.00E-05,12925
0.177646094,0.233772215,0.444110516,0.666666667,0.909090909,0.714285714,0.990695366,0.994682797,,,70,1.00E-05,12120
0.175156358,0.232423652,0.43417743,0.464285714,0.481481481,0.928571429,0.990652371,0.993194989,,,80,1.00E-05,1150
0.176842128,0.233362285,0.439537916,0.684210526,0.722222222,0.928571429,0.991157484,0.446158111,,,90,1.00E-05,3426
0.173741206,0.230817302,0.43229011,0.481481481,0.5,0.928571429,0.991807027,0.914541237,,,100,1.00E-05,479
0.17677115,0.234048012,0.436736524,0.6875,0.846153846,0.785714286,0.990821419,0.783213094,,,200,1.00E-05,9665
0.176743191,0.234481858,0.437688648,0.523809524,0.611111111,0.785714286,0.991467002,0.9327856,,,300,1.00E-05,3869
0.174817748,0.231849262,0.433413395,0.611111111,0.733333333,0.785714286,0.991492466,0.867950961,,,400,1.00E-05,8560
0.175424709,0.232091869,0.436523325,0.647058823,0.785714286,0.785714286,0.991998576,0.961184911,,,500,1.00E-05,1015
0.176352106,0.232992483,0.438693232,0.578947368,0.6875,0.785714286,0.991050103,0.989774795,,,600,1.00E-05,12065
0.176719253,0.233881364,0.438448346,0.6,0.666666667,0.857142857,0.990620161,0.924803011,,,700,1.00E-05,665
0.175610359,0.233546927,0.433577771,0.555555556,0.714285714,0.714285714,0.99131045,0.273971438,,,800,1.00E-05,4654
0.17541424,0.232751753,0.435352196,0.6,0.9,0.642857143,0.990934675,0.838860571,,,900,1.00E-05,4774
0.174408157,0.231109203,0.432499673,0.625,0.833333333,0.714285714,0.991296453,0.937369794,,,1000,1.00E-05,7739
