,Data,Explainer,# Epochs,Full Runtime,Average Runtime,# Edges
0,base,Beta,50,5.105300188064575,0.1021060037612915,100
1,base,GNN,50,0.8929257392883301,0.0178585147857666,100
2,base,Beta,50,3.905472993850708,0.07810945987701416,200
3,base,GNN,50,0.7683603763580322,0.015367207527160644,200
4,base,Beta,50,5.330847263336182,0.10661694526672363,300
5,base,GNN,50,0.827937126159668,0.016558742523193358,300
6,base,Beta,50,3.943286895751953,0.07886573791503906,400
7,base,GNN,50,0.8927953243255615,0.017855906486511232,400
8,base,Beta,50,4.104527235031128,0.08209054470062256,500
9,base,GNN,50,0.9709692001342773,0.019419384002685548,500
10,base,Beta,50,4.304837226867676,0.08609674453735351,600
11,base,GNN,50,0.8888027667999268,0.017776055335998533,600
12,base,Beta,50,4.145864725112915,0.0829172945022583,700
13,base,GNN,50,1.0395700931549072,0.020791401863098146,700
14,base,Beta,50,4.92482590675354,0.0984965181350708,800
15,base,GNN,50,1.2486324310302734,0.02497264862060547,800
16,base,Beta,50,4.160542726516724,0.08321085453033447,900
17,base,GNN,50,0.9202227592468262,0.018404455184936525,900
18,base,Beta,50,5.101769924163818,0.10203539848327636,1000
19,base,GNN,50,1.3689095973968506,0.027378191947937013,1000
20,base,Beta,50,4.499185085296631,0.08998370170593262,1100
21,base,GNN,50,0.8862993717193604,0.017725987434387205,1100
22,base,Beta,50,6.169604301452637,0.12339208602905273,1200
23,base,GNN,50,1.0513498783111572,0.021026997566223143,1200
24,base,Beta,50,4.736962795257568,0.09473925590515136,1300
25,base,GNN,50,0.9648516178131104,0.019297032356262206,1300
26,base,Beta,50,5.529695272445679,0.11059390544891358,1400
27,base,GNN,50,0.9081833362579346,0.018163666725158692,1400
28,base,Beta,50,5.460023403167725,0.1092004680633545,1500
29,base,GNN,50,0.972428560256958,0.01944857120513916,1500
30,base,Beta,50,4.084032297134399,0.081680645942688,1600
31,base,GNN,50,0.7585852146148682,0.015171704292297363,1600
32,base,Beta,50,3.968623161315918,0.07937246322631836,1700
33,base,GNN,50,0.6949634552001953,0.013899269104003907,1700
34,base,Beta,50,4.128183126449585,0.0825636625289917,1800
35,base,GNN,50,0.8633363246917725,0.017266726493835448,1800
36,base,Beta,50,4.726876497268677,0.09453752994537354,1900
37,base,GNN,50,0.9006671905517578,0.018013343811035157,1900
38,base,Beta,50,4.100860357284546,0.08201720714569091,2000
39,base,GNN,50,0.779247522354126,0.015584950447082519,2000
40,base,Beta,50,5.419042348861694,0.10838084697723388,2100
41,base,GNN,50,1.0928926467895508,0.021857852935791015,2100
42,base,Beta,50,5.701276779174805,0.1140255355834961,2200
43,base,GNN,50,1.1790084838867188,0.023580169677734374,2200
44,base,Beta,50,4.913418769836426,0.09826837539672852,2300
45,base,GNN,50,0.9349162578582764,0.01869832515716553,2300
46,base,Beta,50,4.972576856613159,0.09945153713226318,2400
47,base,GNN,50,0.89754319190979,0.017950863838195802,2400
48,base,Beta,50,5.360625743865967,0.10721251487731934,2500
49,base,GNN,50,1.2369701862335205,0.02473940372467041,2500
50,base,Beta,50,5.00824499130249,0.1001648998260498,2600
51,base,GNN,50,1.0052032470703125,0.02010406494140625,2600
52,base,Beta,50,5.401319742202759,0.10802639484405517,2700
53,base,GNN,50,1.0041866302490234,0.02008373260498047,2700
54,base,Beta,50,5.231219291687012,0.10462438583374023,2800
55,base,GNN,50,0.9780013561248779,0.019560027122497558,2800
56,base,Beta,50,5.820725202560425,0.1164145040512085,2900
57,base,GNN,50,1.0585753917694092,0.021171507835388185,2900
58,base,Beta,50,6.221161603927612,0.12442323207855224,3000
59,base,GNN,50,1.145423173904419,0.02290846347808838,3000
60,base,Beta,50,7.829165935516357,0.15658331871032716,3100
61,base,GNN,50,1.1443486213684082,0.022886972427368164,3100
62,base,Beta,50,6.346194744110107,0.12692389488220215,3200
63,base,GNN,50,1.2699337005615234,0.025398674011230468,3200
64,base,Beta,50,5.890331983566284,0.11780663967132568,3300
65,base,GNN,50,1.0677244663238525,0.02135448932647705,3300
66,base,Beta,50,5.046334981918335,0.1009266996383667,3400
67,base,GNN,50,0.7863876819610596,0.01572775363922119,3400
68,base,Beta,50,4.95832633972168,0.0991665267944336,3500
69,base,GNN,50,0.8295679092407227,0.016591358184814452,3500
70,base,Beta,50,5.594475030899048,0.11188950061798096,3600
71,base,GNN,50,1.0533545017242432,0.021067090034484863,3600
72,base,Beta,50,5.013125419616699,0.10026250839233398,3700
73,base,GNN,50,0.9963128566741943,0.019926257133483886,3700
74,base,Beta,50,5.0857932567596436,0.10171586513519287,3800
75,base,GNN,50,0.8618817329406738,0.017237634658813478,3800
76,base,Beta,50,7.458120822906494,0.1491624164581299,3900
77,base,GNN,50,1.3274030685424805,0.02654806137084961,3900
78,base,Beta,50,4.661822080612183,0.09323644161224365,4000
79,base,GNN,50,0.813934326171875,0.0162786865234375,4000
80,base,Beta,50,4.951703071594238,0.09903406143188477,4100
81,base,GNN,50,1.0182232856750488,0.020364465713500975,4100
82,base,Beta,50,4.821474313735962,0.09642948627471924,4200
83,base,GNN,50,0.8564727306365967,0.017129454612731933,4200
84,base,Beta,50,5.523085594177246,0.11046171188354492,4300
85,base,GNN,50,1.0066771507263184,0.020133543014526366,4300
86,base,Beta,50,5.331498861312866,0.10662997722625732,4400
87,base,GNN,50,0.9146099090576172,0.018292198181152342,4400
88,base,Beta,50,4.808779716491699,0.09617559432983398,4500
89,base,GNN,50,0.8453102111816406,0.01690620422363281,4500
90,base,Beta,50,4.728095054626465,0.0945619010925293,4600
91,base,GNN,50,0.9455585479736328,0.018911170959472656,4600
92,base,Beta,50,5.536884784698486,0.11073769569396973,4700
93,base,GNN,50,0.823261022567749,0.01646522045135498,4700
94,base,Beta,50,4.8362932205200195,0.09672586441040039,4800
95,base,GNN,50,0.7811579704284668,0.015623159408569336,4800
96,base,Beta,50,5.0995094776153564,0.10199018955230713,4900
97,base,GNN,50,1.1076264381408691,0.022152528762817383,4900
98,base,Beta,50,4.831743001937866,0.09663486003875732,5000
99,base,GNN,50,0.8475158214569092,0.016950316429138183,5000
