,Data,Explainer,# Epochs,Full Runtime,Average Runtime,# Edges
0,hetero,Beta,50,3.567976951599121,0.07135953903198242,100
1,hetero,GNN,50,0.37993788719177246,0.007598757743835449,100
2,hetero,Beta,50,3.7756330966949463,0.07551266193389893,200
3,hetero,GNN,50,0.41111254692077637,0.008222250938415528,200
4,hetero,Beta,50,3.8496251106262207,0.07699250221252442,300
5,hetero,GNN,50,0.6907191276550293,0.013814382553100586,300
6,hetero,Beta,50,3.4785635471343994,0.06957127094268799,400
7,hetero,GNN,50,0.5883331298828125,0.01176666259765625,400
8,hetero,Beta,50,4.183044672012329,0.08366089344024658,500
9,hetero,GNN,50,0.580254316329956,0.011605086326599122,500
10,hetero,Beta,50,3.7194385528564453,0.0743887710571289,600
11,hetero,GNN,50,0.5402936935424805,0.01080587387084961,600
12,hetero,Beta,50,4.2645087242126465,0.08529017448425293,700
13,hetero,GNN,50,1.2040929794311523,0.024081859588623047,700
14,hetero,Beta,50,4.089804410934448,0.08179608821868896,800
15,hetero,GNN,50,0.7138612270355225,0.014277224540710448,800
16,hetero,Beta,50,4.123088836669922,0.08246177673339844,900
17,hetero,GNN,50,0.7929744720458984,0.01585948944091797,900
18,hetero,Beta,50,3.970958948135376,0.07941917896270752,1000
19,hetero,GNN,50,0.6676375865936279,0.013352751731872559,1000
20,hetero,Beta,50,4.107306003570557,0.08214612007141113,1100
21,hetero,GNN,50,0.567819356918335,0.011356387138366699,1100
22,hetero,Beta,50,4.756414175033569,0.09512828350067139,1200
23,hetero,GNN,50,0.5792622566223145,0.01158524513244629,1200
24,hetero,Beta,50,4.544761896133423,0.09089523792266846,1300
25,hetero,GNN,50,0.5280365943908691,0.010560731887817382,1300
26,hetero,Beta,50,4.417914390563965,0.0883582878112793,1400
27,hetero,GNN,50,0.7302875518798828,0.014605751037597656,1400
28,hetero,Beta,50,5.776155233383179,0.11552310466766358,1500
29,hetero,GNN,50,0.7510719299316406,0.015021438598632813,1500
30,hetero,Beta,50,4.69266152381897,0.09385323047637939,1600
31,hetero,GNN,50,0.7967777252197266,0.01593555450439453,1600
32,hetero,Beta,50,4.056646108627319,0.08113292217254639,1700
33,hetero,GNN,50,0.7161023616790771,0.014322047233581542,1700
