,Data,Explainer,Experiment,# Epochs,Current Memory,Peak Memory
0,base,Beta,0,25,55925,87575
1,base,Beta,1,25,29978,61882
2,base,Beta,2,25,28864,60693
3,base,Beta,3,25,25961,57785
4,base,Beta,4,25,25662,57521
5,base,Beta,5,25,26389,58006
6,base,Beta,6,25,26089,57474
7,base,Beta,7,25,27874,59292
8,base,Beta,8,25,26621,58165
9,base,Beta,9,25,25250,56770
10,base,Beta,10,25,27664,59002
11,base,Beta,11,25,27003,58215
12,base,Beta,12,25,26300,57590
13,base,Beta,13,25,26696,57965
14,base,Beta,14,25,27301,58594
15,base,Beta,15,25,24627,55770
16,base,Beta,16,25,25120,56346
17,base,Beta,17,25,23270,54538
18,base,Beta,18,25,23759,54963
19,base,Beta,19,25,25107,56040
20,base,Beta,20,25,25888,56752
21,base,Beta,21,25,26602,57665
22,base,Beta,22,25,24200,55405
23,base,Beta,23,25,24115,55276
24,base,Beta,24,25,24646,55749
25,base,Beta,25,25,25597,56704
26,base,Beta,26,25,25409,56410
27,base,Beta,27,25,24864,56024
28,base,Beta,28,25,24575,55780
29,base,Beta,29,25,24519,55727
30,base,Beta,30,25,26492,57692
31,base,Beta,31,25,25148,56353
32,base,Beta,32,25,26976,58079
33,base,Beta,33,25,25601,56551
34,base,Beta,34,25,26794,57899
35,base,Beta,35,25,26273,57376
36,base,Beta,36,25,25965,57177
37,base,Beta,37,25,26282,57387
38,base,Beta,38,25,26608,57663
39,base,Beta,39,25,25734,56786
40,base,Beta,40,25,25926,56876
41,base,Beta,41,25,27323,58375
42,base,Beta,42,25,25651,56810
43,base,Beta,43,25,25463,56617
44,base,Beta,44,25,23522,54574
45,base,Beta,45,25,24937,55938
46,base,Beta,46,25,25079,56233
47,base,Beta,47,25,25213,56163
48,base,Beta,48,25,25371,56432
49,base,Beta,49,25,26944,58098
50,base,SubgraphX,0,25,368,2632
51,base,SubgraphX,1,25,360,2624
52,base,SubgraphX,2,25,352,2616
53,base,SubgraphX,3,25,344,2608
54,base,SubgraphX,4,25,336,2600
55,base,SubgraphX,5,25,328,2592
56,base,SubgraphX,6,25,320,2584
57,base,SubgraphX,7,25,304,2568
58,base,SubgraphX,8,25,296,2560
59,base,SubgraphX,9,25,288,2552
60,base,SubgraphX,10,25,280,2544
61,base,SubgraphX,11,25,272,2536
62,base,SubgraphX,12,25,264,2528
63,base,SubgraphX,13,25,256,2520
64,base,SubgraphX,14,25,256,2520
65,base,SubgraphX,15,25,256,2520
66,base,SubgraphX,16,25,256,2520
67,base,SubgraphX,17,25,256,2520
68,base,SubgraphX,18,25,256,2520
69,base,SubgraphX,19,25,256,2520
70,base,SubgraphX,20,25,256,2520
71,base,SubgraphX,21,25,256,2520
72,base,SubgraphX,22,25,256,2520
73,base,SubgraphX,23,25,256,2520
74,base,SubgraphX,24,25,256,2520
75,base,SubgraphX,25,25,256,2520
76,base,SubgraphX,26,25,256,2520
77,base,SubgraphX,27,25,256,2520
78,base,SubgraphX,28,25,256,2520
79,base,SubgraphX,29,25,256,2520
80,base,SubgraphX,30,25,256,2520
81,base,SubgraphX,31,25,256,2520
82,base,SubgraphX,32,25,256,2520
83,base,SubgraphX,33,25,256,2520
84,base,SubgraphX,34,25,256,2520
85,base,SubgraphX,35,25,256,2520
86,base,SubgraphX,36,25,256,2520
87,base,SubgraphX,37,25,256,2520
88,base,SubgraphX,38,25,256,2520
89,base,SubgraphX,39,25,256,2520
90,base,SubgraphX,40,25,256,2520
91,base,SubgraphX,41,25,256,2520
92,base,SubgraphX,42,25,256,2520
93,base,SubgraphX,43,25,256,2520
94,base,SubgraphX,44,25,256,2520
95,base,SubgraphX,45,25,256,2520
96,base,SubgraphX,46,25,256,2520
97,base,SubgraphX,47,25,256,2520
98,base,SubgraphX,48,25,256,2520
99,base,SubgraphX,49,25,256,2520
100,base,GNN,0,25,32954,114798
101,base,GNN,1,25,4545,115735
102,base,GNN,2,25,3799,115172
103,base,GNN,3,25,3876,115149
104,base,GNN,4,25,4632,115972
105,base,GNN,5,25,3099,114485
106,base,GNN,6,25,3514,114749
107,base,GNN,7,25,3757,115008
108,base,GNN,8,25,3376,114643
109,base,GNN,9,25,3434,114717
110,base,GNN,10,25,3022,114270
111,base,GNN,11,25,3253,114568
112,base,GNN,12,25,3637,115019
113,base,GNN,13,25,3888,115353
114,base,GNN,14,25,3063,114493
115,base,GNN,15,25,3031,114528
116,base,GNN,16,25,3089,114551
117,base,GNN,17,25,2881,114410
118,base,GNN,18,25,3112,114657
119,base,GNN,19,25,2915,114425
120,base,GNN,20,25,2868,114343
121,base,GNN,21,25,2734,114394
122,base,GNN,22,25,3075,114853
123,base,GNN,23,25,2886,114629
124,base,GNN,24,25,2898,114700
125,base,GNN,25,25,2490,114343
126,base,GNN,26,25,3337,115139
127,base,GNN,27,25,2796,114700
128,base,GNN,28,25,2898,114751
129,base,GNN,29,25,2490,114292
130,base,GNN,30,25,2827,114629
131,base,GNN,31,25,2847,114598
132,base,GNN,32,25,3051,114853
133,base,GNN,33,25,2878,114527
134,base,GNN,34,25,2490,114139
135,base,GNN,35,25,2898,114649
136,base,GNN,36,25,2694,114598
137,base,GNN,37,25,3087,114889
138,base,GNN,38,25,2694,114445
139,base,GNN,39,25,2847,114649
140,base,GNN,40,25,3490,115292
141,base,GNN,41,25,2949,114751
142,base,GNN,42,25,2745,114598
143,base,GNN,43,25,2796,114598
144,base,GNN,44,25,2985,114685
145,base,GNN,45,25,2541,113935
146,base,GNN,46,25,2745,114547
147,base,GNN,47,25,3031,114782
148,base,GNN,48,25,2490,114088
149,base,GNN,49,25,2541,114241
