,Data,Explainer,Experiment,# Epochs,Current Memory,Peak Memory
0,hetero,Beta,0,25,55908,87606
1,hetero,Beta,1,25,30219,62119
2,hetero,Beta,2,25,26441,58228
3,hetero,Beta,3,25,26757,58431
4,hetero,Beta,4,25,25998,57669
5,hetero,Beta,5,25,27132,58863
6,hetero,Beta,6,25,26733,58332
7,hetero,Beta,7,25,25563,57089
8,hetero,Beta,8,25,26363,57913
9,hetero,Beta,9,25,28017,59231
10,hetero,Beta,10,25,27730,59068
11,hetero,Beta,11,25,27759,59029
12,hetero,Beta,12,25,24654,55900
13,hetero,Beta,13,25,25899,57274
14,hetero,Beta,14,25,27848,59044
15,hetero,Beta,15,25,25231,56486
16,hetero,Beta,16,25,26888,57969
17,hetero,Beta,17,25,26814,57983
18,hetero,Beta,18,25,27048,58199
19,hetero,Beta,19,25,27378,58514
20,hetero,Beta,20,25,27208,59199
21,hetero,Beta,21,25,27392,58455
22,hetero,Beta,22,25,26440,57598
23,hetero,Beta,23,25,28335,59492
24,hetero,Beta,24,25,28381,59433
25,hetero,Beta,25,25,26509,57665
26,hetero,Beta,26,25,27290,58393
27,hetero,Beta,27,25,27982,59238
28,hetero,Beta,28,25,27156,58371
29,hetero,Beta,29,25,27131,58132
30,hetero,Beta,30,25,27998,58948
31,hetero,Beta,31,25,25744,56745
32,hetero,Beta,32,25,26704,57759
33,hetero,Beta,33,25,25862,56966
34,hetero,Beta,34,25,26178,57389
35,hetero,Beta,35,25,27182,58234
36,hetero,Beta,36,25,28114,59115
37,hetero,Beta,37,25,29102,60052
38,hetero,Beta,38,25,28136,59089
39,hetero,Beta,39,25,24523,55473
40,hetero,Beta,40,25,27898,58899
41,hetero,Beta,41,25,28141,59299
42,hetero,Beta,42,25,26220,57272
43,hetero,Beta,43,25,27224,58174
44,hetero,Beta,44,25,28217,59319
45,hetero,Beta,45,25,29729,60892
46,hetero,Beta,46,25,25928,56980
47,hetero,Beta,47,25,26886,57992
48,hetero,Beta,48,25,28496,59612
49,hetero,Beta,49,25,28804,59805
50,hetero,SubgraphX,0,25,368,2632
51,hetero,SubgraphX,1,25,360,2624
52,hetero,SubgraphX,2,25,352,2616
53,hetero,SubgraphX,3,25,344,2608
54,hetero,SubgraphX,4,25,336,2600
55,hetero,SubgraphX,5,25,328,2592
