,Data,Explainer,Experiment,# Epochs,Current Memory,Peak Memory
0,50,BetaExplainer,0,50,85482,2174044
1,50,SubgraphX,0,50,368,2632
2,50,GNNExplainer,0,25,13866,19758
3,50,BetaExplainer,1,25,64360,2152432
4,50,SubgraphX,1,25,360,2624
5,50,GNNExplainer,1,25,12580,18679
6,50,BetaExplainer,2,25,67510,2155839
7,50,SubgraphX,2,25,352,2616
8,50,GNNExplainer,2,25,13494,19569
9,50,BetaExplainer,3,25,64934,2152522
10,50,SubgraphX,3,25,344,2608
11,50,GNNExplainer,3,25,13047,19338
12,50,BetaExplainer,4,25,67004,2155354
13,50,SubgraphX,4,25,336,2600
14,50,GNNExplainer,4,25,13903,19198
15,50,BetaExplainer,5,25,67044,2154915
16,50,SubgraphX,5,25,328,2592
17,50,GNNExplainer,5,25,13405,19636
18,50,BetaExplainer,6,25,61524,2149462
19,50,SubgraphX,6,25,320,2584
20,50,GNNExplainer,6,25,12608,18522
21,50,BetaExplainer,7,25,64859,2152799
22,50,SubgraphX,7,25,304,2568
23,50,GNNExplainer,7,25,13897,19790
24,50,BetaExplainer,8,25,62825,2150657
25,50,SubgraphX,8,25,296,2560
26,50,GNNExplainer,8,25,12985,18654
27,50,BetaExplainer,9,25,64741,2152259
28,50,SubgraphX,9,25,288,2552
29,50,GNNExplainer,9,25,13259,18987
30,50,BetaExplainer,10,25,62239,2150012
31,50,SubgraphX,10,25,280,2544
32,50,GNNExplainer,10,25,12054,17790
33,50,BetaExplainer,11,25,64791,2151815
34,50,SubgraphX,11,25,272,2536
35,50,GNNExplainer,11,25,11869,17613
36,50,BetaExplainer,12,25,64501,2152162
37,50,SubgraphX,12,25,264,2528
38,50,GNNExplainer,12,25,13540,19849
39,50,BetaExplainer,13,25,67131,2154697
40,50,SubgraphX,13,25,256,2520
41,50,GNNExplainer,13,25,13140,19053
42,50,BetaExplainer,14,25,65393,2153158
43,50,SubgraphX,14,25,256,2520
44,50,GNNExplainer,14,25,11722,17829
45,50,BetaExplainer,15,25,66148,2153746
46,50,SubgraphX,15,25,256,2520
47,50,GNNExplainer,15,25,12140,18328
48,50,BetaExplainer,16,25,63901,2150963
49,50,SubgraphX,16,25,256,2520
50,50,GNNExplainer,16,25,12771,18851
51,50,BetaExplainer,17,25,65134,2151136
52,50,SubgraphX,17,25,256,2520
53,50,GNNExplainer,17,25,13406,19475
54,50,BetaExplainer,18,25,63925,2154083
55,50,SubgraphX,18,25,256,2520
56,50,GNNExplainer,18,25,14591,20678
57,50,BetaExplainer,19,25,67421,2155315
58,50,SubgraphX,19,25,256,2520
59,50,GNNExplainer,19,25,11910,18191
60,50,BetaExplainer,20,25,64743,2152759
61,50,SubgraphX,20,25,256,2520
62,50,GNNExplainer,20,25,12984,18291
63,50,BetaExplainer,21,25,66121,2153643
64,50,SubgraphX,21,25,256,2520
65,50,GNNExplainer,21,25,11832,17845
66,50,BetaExplainer,22,25,66261,2153992
67,50,SubgraphX,22,25,256,2520
68,50,GNNExplainer,22,25,13639,19818
69,50,BetaExplainer,23,25,66403,2154037
70,50,SubgraphX,23,25,256,2520
71,50,GNNExplainer,23,25,12112,18358
72,50,BetaExplainer,24,25,65623,2153318
73,50,SubgraphX,24,25,256,2520
74,50,GNNExplainer,24,25,12853,19005
