,Data,Explainer,Experiment,# Epochs,Current Memory,Peak Memory
0,lessinform,Beta,0,25,58001,89699
1,lessinform,Beta,1,25,33628,65529
2,lessinform,Beta,2,25,31251,62878
3,lessinform,Beta,3,25,29117,60737
4,lessinform,Beta,4,25,30327,61942
5,lessinform,Beta,5,25,31727,63186
6,lessinform,Beta,6,25,28848,60230
7,lessinform,Beta,7,25,30123,61487
8,lessinform,Beta,8,25,29301,60641
9,lessinform,Beta,9,25,30635,61952
10,lessinform,Beta,10,25,31124,62317
11,lessinform,Beta,11,25,30779,61991
12,lessinform,Beta,12,25,29903,61045
13,lessinform,Beta,13,25,30487,61554
14,lessinform,Beta,14,25,30352,61446
15,lessinform,Beta,15,25,30243,61291
16,lessinform,Beta,16,25,28043,59022
17,lessinform,Beta,17,25,29838,60903
18,lessinform,Beta,18,25,29200,60247
19,lessinform,Beta,19,25,30665,61746
20,lessinform,Beta,20,25,30182,61303
21,lessinform,Beta,21,25,29308,60470
22,lessinform,Beta,22,25,27009,58013
23,lessinform,Beta,23,25,28567,59619
24,lessinform,Beta,24,25,30294,61292
25,lessinform,Beta,25,25,30861,62016
26,lessinform,Beta,26,25,30136,61086
27,lessinform,Beta,27,25,28155,59112
28,lessinform,Beta,28,25,27551,58555
29,lessinform,Beta,29,25,28386,59440
30,lessinform,Beta,30,25,29453,60403
31,lessinform,Beta,31,25,28980,59930
32,lessinform,Beta,32,25,29180,60132
33,lessinform,Beta,33,25,30970,61973
34,lessinform,Beta,34,25,29968,60927
35,lessinform,Beta,35,25,29176,60126
36,lessinform,Beta,36,25,27795,58739
37,lessinform,Beta,37,25,28350,59358
38,lessinform,Beta,38,25,29167,60066
39,lessinform,Beta,39,25,30591,61548
40,lessinform,Beta,40,25,30552,61451
41,lessinform,Beta,41,25,28770,59771
42,lessinform,Beta,42,25,29779,60784
43,lessinform,Beta,43,25,30103,61158
44,lessinform,Beta,44,25,30043,61206
45,lessinform,Beta,45,25,28568,59623
46,lessinform,Beta,46,25,27942,58841
47,lessinform,Beta,47,25,29579,60529
48,lessinform,Beta,48,25,30853,61853
49,lessinform,Beta,49,25,31679,62631
50,lessinform,SubgraphX,0,25,368,2632
51,lessinform,SubgraphX,1,25,360,2624
52,lessinform,SubgraphX,2,25,352,2616
53,lessinform,SubgraphX,3,25,344,2608
54,lessinform,SubgraphX,4,25,336,2600
55,lessinform,SubgraphX,5,25,328,2592
56,lessinform,SubgraphX,6,25,320,2584
57,lessinform,SubgraphX,7,25,304,2568
58,lessinform,SubgraphX,8,25,296,2560
59,lessinform,SubgraphX,9,25,288,2552
60,lessinform,SubgraphX,10,25,280,2544
61,lessinform,SubgraphX,11,25,272,2536
62,lessinform,SubgraphX,12,25,264,2528
63,lessinform,SubgraphX,13,25,256,2520
64,lessinform,SubgraphX,14,25,256,2520
65,lessinform,SubgraphX,15,25,256,2520
66,lessinform,SubgraphX,16,25,256,2520
67,lessinform,SubgraphX,17,25,256,2520
68,lessinform,SubgraphX,18,25,256,2520
69,lessinform,SubgraphX,19,25,256,2520
70,lessinform,SubgraphX,20,25,256,2520
71,lessinform,SubgraphX,21,25,256,2520
72,lessinform,SubgraphX,22,25,256,2520
73,lessinform,SubgraphX,23,25,256,2520
74,lessinform,SubgraphX,24,25,256,2520
75,lessinform,SubgraphX,25,25,256,2520
76,lessinform,SubgraphX,26,25,256,2520
77,lessinform,SubgraphX,27,25,256,2520
78,lessinform,SubgraphX,28,25,256,2520
79,lessinform,SubgraphX,29,25,256,2520
80,lessinform,SubgraphX,30,25,256,2520
81,lessinform,SubgraphX,31,25,256,2520
82,lessinform,SubgraphX,32,25,256,2520
83,lessinform,SubgraphX,33,25,256,2520
84,lessinform,SubgraphX,34,25,256,2520
85,lessinform,SubgraphX,35,25,256,2520
86,lessinform,SubgraphX,36,25,256,2520
87,lessinform,SubgraphX,37,25,256,2520
88,lessinform,SubgraphX,38,25,256,2520
89,lessinform,SubgraphX,39,25,256,2520
90,lessinform,SubgraphX,40,25,256,2520
91,lessinform,SubgraphX,41,25,256,2520
92,lessinform,SubgraphX,42,25,256,2520
93,lessinform,SubgraphX,43,25,256,2520
94,lessinform,SubgraphX,44,25,256,2520
95,lessinform,SubgraphX,45,25,256,2520
96,lessinform,SubgraphX,46,25,256,2520
97,lessinform,SubgraphX,47,25,256,2520
98,lessinform,SubgraphX,48,25,256,2520
99,lessinform,SubgraphX,49,25,256,2520
100,lessinform,GNN,0,25,33209,115308
101,lessinform,GNN,1,25,4545,115735
102,lessinform,GNN,2,25,3697,114852
103,lessinform,GNN,3,25,3789,114756
104,lessinform,GNN,4,25,3904,114989
105,lessinform,GNN,5,25,3470,114587
106,lessinform,GNN,6,25,3783,114865
107,lessinform,GNN,7,25,3655,114855
108,lessinform,GNN,8,25,3696,115014
109,lessinform,GNN,9,25,3213,114547
110,lessinform,GNN,10,25,3481,114831
111,lessinform,GNN,11,25,3355,114823
112,lessinform,GNN,12,25,3382,114815
113,lessinform,GNN,13,25,2948,114362
114,lessinform,GNN,14,25,3049,114479
115,lessinform,GNN,15,25,3082,114579
116,lessinform,GNN,16,25,3344,114857
117,lessinform,GNN,17,25,3048,114730
118,lessinform,GNN,18,25,2894,114606
119,lessinform,GNN,19,25,2847,114408
120,lessinform,GNN,20,25,2817,114445
121,lessinform,GNN,21,25,2697,114357
122,lessinform,GNN,22,25,2987,114561
123,lessinform,GNN,23,25,2651,114241
124,lessinform,GNN,24,25,2745,114241
125,lessinform,GNN,25,25,2833,114329
126,lessinform,GNN,26,25,3124,114564
127,lessinform,GNN,27,25,2606,114153
128,lessinform,GNN,28,25,2949,114547
129,lessinform,GNN,29,25,2847,114445
130,lessinform,GNN,30,25,3014,114663
131,lessinform,GNN,31,25,2963,114561
132,lessinform,GNN,32,25,2980,114629
133,lessinform,GNN,33,25,3014,114510
134,lessinform,GNN,34,25,2949,114547
135,lessinform,GNN,35,25,3116,114663
136,lessinform,GNN,36,25,3031,114578
137,lessinform,GNN,37,25,3153,114700
138,lessinform,GNN,38,25,2847,114343
139,lessinform,GNN,39,25,2949,114445
140,lessinform,GNN,40,25,2660,114156
141,lessinform,GNN,41,25,2898,114394
142,lessinform,GNN,42,25,2425,113819
143,lessinform,GNN,43,25,2759,114102
144,lessinform,GNN,44,25,2827,114235
145,lessinform,GNN,45,25,3102,114700
146,lessinform,GNN,46,25,3000,114700
147,lessinform,GNN,47,25,2912,114663
148,lessinform,GNN,48,25,4088,115955
149,lessinform,GNN,49,25,2963,114765
