,Data,Explainer,Experiment,# Epochs,Current Memory,Peak Memory
0,unfair,Beta,0,25,58802,90354
1,unfair,Beta,1,25,31710,63517
2,unfair,Beta,2,25,29088,60770
3,unfair,Beta,3,25,27618,59034
4,unfair,Beta,4,25,28717,60128
5,unfair,Beta,5,25,29909,61131
6,unfair,Beta,6,25,29570,60956
7,unfair,Beta,7,25,30872,62192
8,unfair,Beta,8,25,27512,58699
9,unfair,Beta,9,25,29008,60171
10,unfair,Beta,10,25,27899,59093
11,unfair,Beta,11,25,26385,57551
12,unfair,Beta,12,25,29004,60149
13,unfair,Beta,13,25,28148,59323
14,unfair,Beta,14,25,27878,59023
15,unfair,Beta,15,25,27125,58176
16,unfair,Beta,16,25,28090,59018
17,unfair,Beta,17,25,24039,55164
18,unfair,Beta,18,25,26434,57381
19,unfair,Beta,19,25,28667,59605
20,unfair,Beta,20,25,28396,59311
21,unfair,Beta,21,25,25499,56406
22,unfair,Beta,22,25,26941,57942
23,unfair,Beta,23,25,29735,60733
24,unfair,Beta,24,25,29744,60643
25,unfair,Beta,25,25,27858,58757
26,unfair,Beta,26,25,29578,60528
27,unfair,Beta,27,25,28343,59395
28,unfair,Beta,28,25,27273,58335
29,unfair,Beta,29,25,26763,57720
30,unfair,Beta,30,25,27622,58623
31,unfair,Beta,31,25,27955,58854
32,unfair,Beta,32,25,27915,58970
33,unfair,Beta,33,25,28767,59615
34,unfair,Beta,34,25,27848,58754
35,unfair,Beta,35,25,29516,60418
36,unfair,Beta,36,25,26646,57551
37,unfair,Beta,37,25,28587,59486
38,unfair,Beta,38,25,28723,59833
39,unfair,Beta,39,25,26214,57164
40,unfair,Beta,40,25,28687,59790
41,unfair,Beta,41,25,28972,60131
42,unfair,Beta,42,25,25012,55962
43,unfair,Beta,43,25,26432,57280
44,unfair,Beta,44,25,27588,58588
45,unfair,Beta,45,25,28558,59614
46,unfair,Beta,46,25,27283,58233
47,unfair,Beta,47,25,26568,57569
48,unfair,Beta,48,25,26358,57308
49,unfair,Beta,49,25,26084,57085
50,unfair,SubgraphX,0,25,368,2632
51,unfair,SubgraphX,1,25,360,2624
52,unfair,SubgraphX,2,25,352,2616
53,unfair,SubgraphX,3,25,344,2608
54,unfair,SubgraphX,4,25,336,2600
55,unfair,SubgraphX,5,25,328,2592
56,unfair,SubgraphX,6,25,320,2584
57,unfair,SubgraphX,7,25,304,2568
58,unfair,SubgraphX,8,25,296,2560
59,unfair,SubgraphX,9,25,288,2552
60,unfair,SubgraphX,10,25,280,2544
61,unfair,SubgraphX,11,25,272,2536
62,unfair,SubgraphX,12,25,264,2528
63,unfair,SubgraphX,13,25,256,2520
64,unfair,SubgraphX,14,25,256,2520
65,unfair,SubgraphX,15,25,256,2520
66,unfair,SubgraphX,16,25,256,2520
67,unfair,SubgraphX,17,25,256,2520
68,unfair,SubgraphX,18,25,256,2520
69,unfair,SubgraphX,19,25,256,2520
70,unfair,SubgraphX,20,25,256,2520
71,unfair,SubgraphX,21,25,256,2520
72,unfair,SubgraphX,22,25,256,2520
73,unfair,SubgraphX,23,25,256,2520
74,unfair,SubgraphX,24,25,256,2520
75,unfair,SubgraphX,25,25,256,2520
76,unfair,SubgraphX,26,25,256,2520
77,unfair,SubgraphX,27,25,256,2520
78,unfair,SubgraphX,28,25,256,2520
79,unfair,SubgraphX,29,25,256,2520
80,unfair,SubgraphX,30,25,256,2520
81,unfair,SubgraphX,31,25,256,2520
82,unfair,SubgraphX,32,25,256,2520
83,unfair,SubgraphX,33,25,256,2520
84,unfair,SubgraphX,34,25,256,2520
85,unfair,SubgraphX,35,25,256,2520
86,unfair,SubgraphX,36,25,256,2520
87,unfair,SubgraphX,37,25,256,2520
88,unfair,SubgraphX,38,25,256,2520
89,unfair,SubgraphX,39,25,256,2520
90,unfair,SubgraphX,40,25,256,2520
91,unfair,SubgraphX,41,25,256,2520
92,unfair,SubgraphX,42,25,256,2520
93,unfair,SubgraphX,43,25,256,2520
94,unfair,SubgraphX,44,25,256,2520
95,unfair,SubgraphX,45,25,256,2520
96,unfair,SubgraphX,46,25,256,2520
97,unfair,SubgraphX,47,25,256,2520
98,unfair,SubgraphX,48,25,256,2520
99,unfair,SubgraphX,49,25,256,2520
100,unfair,GNN,0,25,32801,114645
101,unfair,GNN,1,25,3926,114963
102,unfair,GNN,2,25,3405,114560
103,unfair,GNN,3,25,3024,114144
104,unfair,GNN,4,25,3541,114391
105,unfair,GNN,5,25,3062,114281
106,unfair,GNN,6,25,3432,114732
107,unfair,GNN,7,25,3057,114206
108,unfair,GNN,8,25,3217,114433
109,unfair,GNN,9,25,2958,114190
110,unfair,GNN,10,25,2920,114117
111,unfair,GNN,11,25,3012,114174
112,unfair,GNN,12,25,3019,114146
113,unfair,GNN,13,25,2832,114042
114,unfair,GNN,14,25,2757,113983
115,unfair,GNN,15,25,2943,114236
116,unfair,GNN,16,25,3108,114417
117,unfair,GNN,17,25,2895,114220
118,unfair,GNN,18,25,2820,114263
119,unfair,GNN,19,25,2745,114153
120,unfair,GNN,20,25,2811,114235
121,unfair,GNN,21,25,2567,113921
122,unfair,GNN,22,25,2885,114255
123,unfair,GNN,23,25,2849,114235
124,unfair,GNN,24,25,2657,114153
125,unfair,GNN,25,25,2555,113949
126,unfair,GNN,26,25,2490,114000
127,unfair,GNN,27,25,2739,114133
128,unfair,GNN,28,25,2861,114255
129,unfair,GNN,29,25,2657,114051
130,unfair,GNN,30,25,2657,114051
131,unfair,GNN,31,25,2943,114388
132,unfair,GNN,32,25,2643,114153
133,unfair,GNN,33,25,2759,114153
134,unfair,GNN,34,25,2541,113986
135,unfair,GNN,35,25,2892,114337
136,unfair,GNN,36,25,2657,114051
137,unfair,GNN,37,25,2439,113884
138,unfair,GNN,38,25,2643,114088
139,unfair,GNN,39,25,2813,114207
140,unfair,GNN,40,25,2657,114102
141,unfair,GNN,41,25,2490,113884
142,unfair,GNN,42,25,3045,114490
143,unfair,GNN,43,25,2592,114037
144,unfair,GNN,44,25,2759,114204
145,unfair,GNN,45,25,2541,114037
146,unfair,GNN,46,25,2878,114374
147,unfair,GNN,47,25,2606,114153
148,unfair,GNN,48,25,2504,114000
149,unfair,GNN,49,25,2606,114153
