,Data,Explainer,Experiment,# Epochs,Full Runtime,Average Runtime
0,CiteSeer,Beta,0,50,76.00179934501648,1.5200359869003295
1,CiteSeer,Beta,1,50,75.05371165275574,1.5010742330551148
2,CiteSeer,Beta,2,50,71.48956418037415,1.4297912836074829
3,CiteSeer,Beta,3,50,71.4428699016571,1.428857398033142
4,CiteSeer,Beta,4,50,76.74848747253418,1.5349697494506835
5,CiteSeer,Beta,5,50,71.40696024894714,1.428139204978943
6,CiteSeer,Beta,6,50,71.22717428207397,1.4245434856414796
7,CiteSeer,Beta,7,50,72.83711624145508,1.4567423248291016
8,CiteSeer,Beta,8,50,71.5251533985138,1.430503067970276
9,CiteSeer,Beta,9,50,73.8799397945404,1.4775987958908081
10,CiteSeer,Beta,10,50,77.16278409957886,1.5432556819915773
11,CiteSeer,Beta,11,50,74.32801365852356,1.4865602731704712
12,CiteSeer,Beta,12,50,74.2761480808258,1.4855229616165162
13,CiteSeer,Beta,13,50,81.40779137611389,1.6281558275222778
14,CiteSeer,Beta,14,50,77.32961320877075,1.546592264175415
15,CiteSeer,Beta,15,50,68.05295848846436,1.361059169769287
16,CiteSeer,Beta,16,50,63.10940384864807,1.2621880769729614
17,CiteSeer,Beta,17,50,64.46567869186401,1.2893135738372803
18,CiteSeer,Beta,18,50,70.76652765274048,1.4153305530548095
19,CiteSeer,Beta,19,50,65.29688143730164,1.3059376287460327
20,CiteSeer,Beta,20,50,65.76940965652466,1.3153881931304932
21,CiteSeer,Beta,21,50,62.69611477851868,1.2539222955703735
22,CiteSeer,Beta,22,50,61.898459672927856,1.237969193458557
23,CiteSeer,Beta,23,50,59.05417847633362,1.1810835695266724
24,CiteSeer,Beta,24,50,61.30911564826965,1.226182312965393
