,Data,Explainer,Experiment,# Epochs,Full Runtime,Average Runtime
0,CiteSeer,GNN,0,50,5.843594074249268,0.11687188148498535
1,CiteSeer,GNN,1,50,8.422829627990723,0.16845659255981446
2,CiteSeer,GNN,2,50,7.495861530303955,0.1499172306060791
3,CiteSeer,GNN,3,50,7.226541757583618,0.14453083515167237
4,CiteSeer,GNN,4,50,6.537808895111084,0.1307561779022217
5,CiteSeer,GNN,5,50,8.743613004684448,0.17487226009368897
6,CiteSeer,GNN,6,50,7.55907416343689,0.1511814832687378
7,CiteSeer,GNN,7,50,8.624617338180542,0.17249234676361083
8,CiteSeer,GNN,8,50,5.987683296203613,0.11975366592407227
9,CiteSeer,GNN,9,50,6.551316738128662,0.13102633476257325
10,CiteSeer,GNN,10,50,8.024682760238647,0.16049365520477296
11,CiteSeer,GNN,11,50,7.698931455612183,0.15397862911224366
12,CiteSeer,GNN,12,50,8.42002272605896,0.1684004545211792
13,CiteSeer,GNN,13,50,7.152361869812012,0.14304723739624023
14,CiteSeer,GNN,14,50,5.689215898513794,0.11378431797027588
15,CiteSeer,GNN,15,50,5.7780375480651855,0.11556075096130371
16,CiteSeer,GNN,16,50,7.549388408660889,0.15098776817321777
17,CiteSeer,GNN,17,50,5.944890022277832,0.11889780044555665
18,CiteSeer,GNN,18,50,6.107304096221924,0.12214608192443847
19,CiteSeer,GNN,19,50,6.034568548202515,0.12069137096405029
20,CiteSeer,GNN,20,50,5.497335433959961,0.10994670867919921
21,CiteSeer,GNN,21,50,6.333146333694458,0.12666292667388915
22,CiteSeer,GNN,22,50,7.370406150817871,0.14740812301635742
23,CiteSeer,GNN,23,50,8.001752138137817,0.16003504276275635
24,CiteSeer,GNN,24,50,7.0037736892700195,0.1400754737854004
