,Data,Explainer,Experiment,# Epochs,Full Runtime,Average Runtime
0,Cora,Beta,0,50,78.16480159759521,1.5632960319519043
1,Cora,Beta,1,50,78.0229389667511,1.560458779335022
2,Cora,Beta,2,50,75.11025261878967,1.5022050523757935
3,Cora,Beta,3,50,75.98059701919556,1.5196119403839112
4,Cora,Beta,4,50,75.93623733520508,1.5187247467041016
5,Cora,Beta,5,50,78.07214617729187,1.5614429235458374
6,Cora,Beta,6,50,75.3810727596283,1.507621455192566
7,Cora,Beta,7,50,75.08339524269104,1.5016679048538208
8,Cora,Beta,8,50,77.74491238594055,1.5548982477188111
9,Cora,Beta,9,50,78.3898696899414,1.567797393798828
10,Cora,Beta,10,50,79.01506447792053,1.5803012895584105
11,Cora,Beta,11,50,80.45752000808716,1.6091504001617432
12,Cora,Beta,12,50,83.66468691825867,1.6732937383651734
13,Cora,Beta,13,50,81.06293988227844,1.6212587976455688
14,Cora,Beta,14,50,81.17188549041748,1.6234377098083497
15,Cora,Beta,15,50,91.09216570854187,1.8218433141708374
16,Cora,Beta,16,50,87.46666526794434,1.7493333053588866
17,Cora,Beta,17,50,80.73619985580444,1.614723997116089
18,Cora,Beta,18,50,84.05773329734802,1.6811546659469605
19,Cora,Beta,19,50,84.63712310791016,1.6927424621582032
20,Cora,Beta,20,50,77.09660959243774,1.541932191848755
21,Cora,Beta,21,50,86.44200730323792,1.7288401460647582
22,Cora,Beta,22,50,84.31743049621582,1.6863486099243163
23,Cora,Beta,23,50,83.37257051467896,1.6674514102935791
24,Cora,Beta,24,50,86.86486053466797,1.7372972106933593
