,Data,Explainer,Experiment,# Epochs,Full Runtime,Average Runtime
0,Questions,GNN,0,50,112.23273158073425,2.244654631614685
1,Questions,GNN,1,50,119.85428595542908,2.3970857191085817
2,Questions,GNN,2,50,123.01393008232117,2.4602786016464235
3,Questions,GNN,3,50,118.19535231590271,2.363907046318054
4,Questions,GNN,4,50,123.6322329044342,2.4726446580886843
5,Questions,GNN,5,50,128.2391712665558,2.564783425331116
6,Questions,GNN,6,50,119.35381627082825,2.387076325416565
7,Questions,GNN,7,50,116.83388185501099,2.3366776371002196
8,Questions,GNN,8,50,118.91732001304626,2.3783464002609254
9,Questions,GNN,9,50,123.37965631484985,2.4675931262969972
10,Questions,GNN,10,50,131.0564262866974,2.6211285257339476
11,Questions,GNN,11,50,126.53782868385315,2.530756573677063
12,Questions,GNN,12,50,126.01242876052856,2.520248575210571
13,Questions,GNN,13,50,126.2158145904541,2.524316291809082
14,Questions,GNN,14,50,125.09159183502197,2.5018318367004393
15,Questions,GNN,15,50,114.78585171699524,2.295717034339905
16,Questions,GNN,16,50,127.74059653282166,2.554811930656433
17,Questions,GNN,17,50,127.42807364463806,2.5485614728927612
18,Questions,GNN,18,50,125.68650722503662,2.5137301445007325
19,Questions,GNN,19,50,130.79549860954285,2.615909972190857
20,Questions,GNN,20,50,123.2245728969574,2.464491457939148
21,Questions,GNN,21,50,121.24792098999023,2.424958419799805
22,Questions,GNN,22,50,127.94162130355835,2.558832426071167
23,Questions,GNN,23,50,113.81742072105408,2.2763484144210815
24,Questions,GNN,24,50,114.88957023620605,2.297791404724121
