,Data,Explainer,Experiment,# Epochs,Full Runtime,Average Runtime
0,25,Beta,0,50,51.39921689033508,1.0279843378067017
1,25,Beta,1,50,84.98006916046143,1.6996013832092285
2,25,Beta,2,50,53.29438638687134,1.0658877277374268
3,25,Beta,3,50,51.54861354827881,1.0309722709655762
4,25,Beta,4,50,63.407684326171875,1.2681536865234375
5,25,Beta,5,50,55.84564781188965,1.116912956237793
6,25,Beta,6,50,58.24919271469116,1.1649838542938233
7,25,Beta,7,50,49.06514048576355,0.981302809715271
8,25,Beta,8,50,49.525206565856934,0.9905041313171387
9,25,Beta,9,50,56.04599952697754,1.1209199905395508
10,25,Beta,10,50,62.786885499954224,1.2557377099990845
11,25,Beta,11,50,53.18119955062866,1.0636239910125733
12,25,Beta,12,50,54.76095795631409,1.0952191591262816
13,25,Beta,13,50,47.86514759063721,0.9573029518127442
14,25,Beta,14,50,49.57120180130005,0.9914240360260009
15,25,Beta,15,50,49.13146662712097,0.9826293325424195
16,25,Beta,16,50,53.72076940536499,1.0744153881072998
17,25,Beta,17,50,49.36300826072693,0.9872601652145385
18,25,Beta,18,50,49.93959450721741,0.9987918901443481
19,25,Beta,19,50,55.045101165771484,1.1009020233154296
20,25,Beta,20,50,70.22365975379944,1.4044731950759888
21,25,Beta,21,50,65.62556529045105,1.312511305809021
22,25,Beta,22,50,64.99767303466797,1.2999534606933594
23,25,Beta,23,50,70.00606489181519,1.4001212978363038
24,25,Beta,24,50,60.540348529815674,1.2108069705963134
