,Data,Explainer,Experiment,# Epochs,Full Runtime,Average Runtime
0,25,Beta,0,50,486.19801783561707,9.723960356712341
1,25,Beta,1,50,498.30827951431274,9.966165590286256
2,25,Beta,2,50,477.70806789398193,9.55416135787964
3,25,Beta,3,50,465.0561647415161,9.301123294830322
4,25,Beta,4,50,484.5200264453888,9.690400528907777
5,25,Beta,5,50,478.37987065315247,9.56759741306305
6,25,Beta,6,50,495.24795389175415,9.904959077835082
7,25,Beta,7,50,493.13615369796753,9.862723073959351
8,25,Beta,8,50,577.2242460250854,11.54448492050171
9,25,Beta,9,50,744.7148630619049,14.894297261238098
10,25,Beta,10,50,619.4106562137604,12.388213124275207
11,25,Beta,11,50,559.9342653751373,11.198685307502746
12,25,Beta,12,50,539.7620437145233,10.795240874290466
13,25,Beta,13,50,705.7249565124512,14.114499130249023
14,25,Beta,14,50,557.2830290794373,11.145660581588745
15,25,Beta,15,50,469.7769124507904,9.395538249015807
16,25,Beta,16,50,459.6867895126343,9.193735790252685
17,25,Beta,17,50,451.73000025749207,9.03460000514984
18,25,Beta,18,50,445.7686560153961,8.915373120307923
19,25,Beta,19,50,457.15512442588806,9.143102488517762
20,25,Beta,20,50,450.5617051124573,9.011234102249146
21,25,Beta,21,50,511.88727259635925,10.237745451927186
22,25,Beta,22,50,487.2968370914459,9.745936741828919
23,25,Beta,23,50,459.829302072525,9.1965860414505
24,25,Beta,24,50,495.74881649017334,9.914976329803467
