,Data,Explainer,Experiment,# Epochs,Full Runtime,Average Runtime
0,50,GNN,0,25,0.13009333610534668,0.005203733444213867
1,50,GNN,1,25,0.17998695373535156,0.007199478149414062
2,50,GNN,2,25,0.22531533241271973,0.009012613296508789
3,50,GNN,3,25,0.21197962760925293,0.008479185104370117
4,50,GNN,4,25,0.18370604515075684,0.007348241806030273
5,50,GNN,5,25,0.17765402793884277,0.007106161117553711
6,50,GNN,6,25,0.17577242851257324,0.00703089714050293
7,50,GNN,7,25,0.2642824649810791,0.010571298599243164
8,50,GNN,8,25,0.22907185554504395,0.009162874221801757
9,50,GNN,9,25,0.3184046745300293,0.012736186981201172
10,50,GNN,10,25,0.2305622100830078,0.009222488403320312
11,50,GNN,11,25,0.189314603805542,0.00757258415222168
12,50,GNN,12,25,0.22884202003479004,0.009153680801391601
13,50,GNN,13,25,0.22060537338256836,0.008824214935302735
14,50,GNN,14,25,0.20383214950561523,0.00815328598022461
15,50,GNN,15,25,0.2030503749847412,0.008122014999389648
16,50,GNN,16,25,0.1857297420501709,0.007429189682006836
17,50,GNN,17,25,0.21147418022155762,0.008458967208862305
18,50,GNN,18,25,0.29250597953796387,0.011700239181518555
19,50,GNN,19,25,0.20310163497924805,0.008124065399169923
20,50,GNN,20,25,0.18503189086914062,0.007401275634765625
21,50,GNN,21,25,0.1823105812072754,0.0072924232482910155
22,50,GNN,22,25,0.19344186782836914,0.007737674713134766
23,50,GNN,23,25,0.1885080337524414,0.007540321350097657
24,50,GNN,24,25,0.17394638061523438,0.006957855224609375
