,Data,Explainer,Experiment,# Epochs,Full Runtime,Average Runtime
0,Texas,Beta,0,50,1.068788766860962,0.02137577533721924
1,Texas,Beta,1,50,1.1029958724975586,0.022059917449951172
2,Texas,Beta,2,50,1.1440317630767822,0.022880635261535644
3,Texas,Beta,3,50,1.0509324073791504,0.02101864814758301
4,Texas,Beta,4,50,1.006537675857544,0.02013075351715088
5,Texas,Beta,5,50,1.0198464393615723,0.020396928787231445
6,Texas,Beta,6,50,1.1830780506134033,0.023661561012268066
7,Texas,Beta,7,50,1.4225120544433594,0.02845024108886719
8,Texas,Beta,8,50,0.9632868766784668,0.019265737533569336
9,Texas,Beta,9,50,1.1288399696350098,0.022576799392700197
10,Texas,Beta,10,50,1.0589954853057861,0.02117990970611572
11,Texas,Beta,11,50,1.114250898361206,0.02228501796722412
12,Texas,Beta,12,50,1.4487881660461426,0.028975763320922852
13,Texas,Beta,13,50,1.1340436935424805,0.02268087387084961
14,Texas,Beta,14,50,0.9988219738006592,0.019976439476013182
15,Texas,Beta,15,50,1.2606163024902344,0.02521232604980469
16,Texas,Beta,16,50,1.1471703052520752,0.022943406105041503
17,Texas,Beta,17,50,1.505927324295044,0.030118546485900878
18,Texas,Beta,18,50,1.9869358539581299,0.0397387170791626
19,Texas,Beta,19,50,1.9946317672729492,0.039892635345458984
20,Texas,Beta,20,50,2.0259530544281006,0.040519061088562014
21,Texas,Beta,21,50,2.0247879028320312,0.04049575805664062
22,Texas,Beta,22,50,2.6629738807678223,0.053259477615356446
23,Texas,Beta,23,50,2.2200491428375244,0.04440098285675049
24,Texas,Beta,24,50,1.7146878242492676,0.03429375648498535
