,Data,Explainer,Experiment,# Epochs,Full Runtime,Average Runtime
0,Texas,GNN,182,50,0.3512306213378906,0.007024612426757813
1,Texas,GNN,182,50,0.36974620819091797,0.00739492416381836
2,Texas,GNN,182,50,0.41200780868530273,0.008240156173706055
3,Texas,GNN,182,50,0.3995811939239502,0.007991623878479005
4,Texas,GNN,182,50,0.48050951957702637,0.009610190391540527
5,Texas,GNN,182,50,0.42793989181518555,0.00855879783630371
6,Texas,GNN,182,50,0.4115886688232422,0.008231773376464843
7,Texas,GNN,182,50,0.4186069965362549,0.008372139930725098
8,Texas,GNN,182,50,0.44162440299987793,0.008832488059997558
9,Texas,GNN,182,50,0.4433562755584717,0.008867125511169433
10,Texas,GNN,182,50,0.4858083724975586,0.009716167449951171
11,Texas,GNN,182,50,0.5066869258880615,0.010133738517761231
12,Texas,GNN,182,50,0.5041794776916504,0.010083589553833008
13,Texas,GNN,182,50,0.44295191764831543,0.008859038352966309
14,Texas,GNN,182,50,0.4351487159729004,0.008702974319458007
15,Texas,GNN,182,50,0.42136216163635254,0.00842724323272705
16,Texas,GNN,182,50,0.41848182678222656,0.008369636535644532
17,Texas,GNN,182,50,0.4496126174926758,0.008992252349853515
18,Texas,GNN,182,50,0.4236481189727783,0.008472962379455566
19,Texas,GNN,182,50,0.41850972175598145,0.008370194435119629
20,Texas,GNN,182,50,0.4201362133026123,0.008402724266052247
21,Texas,GNN,182,50,0.427234411239624,0.00854468822479248
22,Texas,GNN,182,50,0.4267151355743408,0.008534302711486816
23,Texas,GNN,182,50,0.42397284507751465,0.008479456901550293
24,Texas,GNN,182,50,0.4091510772705078,0.008183021545410157
