,Data,Explainer,Experiment,# Epochs,Full Runtime,Average Runtime
0,50,GNN,0,50,2.0100173950195312,0.04020034790039063
1,50,GNN,1,50,1.8536920547485352,0.0370738410949707
2,50,GNN,2,50,2.088590383529663,0.04177180767059326
3,50,GNN,3,50,2.356318950653076,0.04712637901306152
4,50,GNN,4,50,2.3868608474731445,0.04773721694946289
5,50,GNN,5,50,2.7350494861602783,0.05470098972320556
6,50,GNN,6,50,2.5447404384613037,0.05089480876922607
7,50,GNN,7,50,2.670567750930786,0.05341135501861572
8,50,GNN,8,50,2.513709783554077,0.050274195671081545
9,50,GNN,9,50,2.4822888374328613,0.04964577674865723
10,50,GNN,10,50,1.9792916774749756,0.03958583354949951
11,50,GNN,11,50,2.5145905017852783,0.05029181003570557
12,50,GNN,12,50,2.0385541915893555,0.04077108383178711
13,50,GNN,13,50,2.2143590450286865,0.04428718090057373
14,50,GNN,14,50,2.167106866836548,0.04334213733673096
15,50,GNN,15,50,2.370358943939209,0.04740717887878418
16,50,GNN,16,50,2.387115716934204,0.04774231433868408
17,50,GNN,17,50,2.21441650390625,0.044288330078125
18,50,GNN,18,50,1.4754810333251953,0.029509620666503908
19,50,GNN,19,50,2.042809009552002,0.04085618019104004
20,50,GNN,20,50,2.1205036640167236,0.04241007328033447
21,50,GNN,21,50,1.7893903255462646,0.035787806510925294
22,50,GNN,22,50,1.8380725383758545,0.03676145076751709
23,50,GNN,23,50,2.182304620742798,0.04364609241485596
24,50,GNN,24,50,2.1312460899353027,0.042624921798706056
