,Data,Explainer,Experiment,# Epochs,Full Runtime,Average Runtime
0,Wisconsin,Beta,0,50,0.9114425182342529,0.018228850364685058
1,Wisconsin,Beta,1,50,1.4075803756713867,0.028151607513427733
2,Wisconsin,Beta,2,50,1.2990515232086182,0.025981030464172362
3,Wisconsin,Beta,3,50,1.4870860576629639,0.02974172115325928
4,Wisconsin,Beta,4,50,1.4589738845825195,0.029179477691650392
5,Wisconsin,Beta,5,50,1.5340721607208252,0.030681443214416505
6,Wisconsin,Beta,6,50,1.480945110321045,0.029618902206420897
7,Wisconsin,Beta,7,50,1.3543753623962402,0.027087507247924806
8,Wisconsin,Beta,8,50,1.438225507736206,0.028764510154724122
9,Wisconsin,Beta,9,50,1.4322938919067383,0.028645877838134767
10,Wisconsin,Beta,10,50,1.4558351039886475,0.02911670207977295
11,Wisconsin,Beta,11,50,1.384899616241455,0.027697992324829102
12,Wisconsin,Beta,12,50,1.599543571472168,0.03199087142944336
13,Wisconsin,Beta,13,50,1.3727695941925049,0.027455391883850096
14,Wisconsin,Beta,14,50,1.6652956008911133,0.033305912017822265
15,Wisconsin,Beta,15,50,1.7473132610321045,0.03494626522064209
16,Wisconsin,Beta,16,50,1.6127934455871582,0.03225586891174317
17,Wisconsin,Beta,17,50,1.5350990295410156,0.030701980590820313
18,Wisconsin,Beta,18,50,1.4798023700714111,0.029596047401428224
19,Wisconsin,Beta,19,50,1.5585789680480957,0.031171579360961914
20,Wisconsin,Beta,20,50,1.4700093269348145,0.02940018653869629
21,Wisconsin,Beta,21,50,1.4684703350067139,0.029369406700134278
22,Wisconsin,Beta,22,50,1.7181971073150635,0.03436394214630127
23,Wisconsin,Beta,23,50,1.5109717845916748,0.030219435691833496
24,Wisconsin,Beta,24,50,1.3573780059814453,0.027147560119628905
