,Data,Explainer,Experiment,# Epochs,Full Runtime,Average Runtime
0,Wisconsin,GNN,250,50,0.4580507278442383,0.009161014556884766
1,Wisconsin,GNN,250,50,0.5391623973846436,0.010783247947692871
2,Wisconsin,GNN,250,50,0.5139937400817871,0.010279874801635742
3,Wisconsin,GNN,250,50,0.5195081233978271,0.010390162467956543
4,Wisconsin,GNN,250,50,0.5796079635620117,0.011592159271240235
5,Wisconsin,GNN,250,50,0.5212578773498535,0.01042515754699707
6,Wisconsin,GNN,250,50,0.4378662109375,0.00875732421875
7,Wisconsin,GNN,250,50,0.4621753692626953,0.009243507385253907
8,Wisconsin,GNN,250,50,0.443744421005249,0.008874888420104981
9,Wisconsin,GNN,250,50,0.5204212665557861,0.010408425331115722
10,Wisconsin,GNN,250,50,0.5401391983032227,0.010802783966064454
11,Wisconsin,GNN,250,50,0.5484097003936768,0.010968194007873536
12,Wisconsin,GNN,250,50,0.5138661861419678,0.010277323722839356
13,Wisconsin,GNN,250,50,0.44956064224243164,0.008991212844848632
14,Wisconsin,GNN,250,50,0.4020071029663086,0.008040142059326173
15,Wisconsin,GNN,250,50,0.43454480171203613,0.008690896034240723
16,Wisconsin,GNN,250,50,0.45738959312438965,0.009147791862487794
17,Wisconsin,GNN,250,50,0.49251413345336914,0.009850282669067383
18,Wisconsin,GNN,250,50,0.4299447536468506,0.008598895072937011
19,Wisconsin,GNN,250,50,0.4718348979949951,0.009436697959899902
20,Wisconsin,GNN,250,50,0.469745397567749,0.00939490795135498
21,Wisconsin,GNN,250,50,0.4646596908569336,0.009293193817138673
22,Wisconsin,GNN,250,50,0.42716002464294434,0.008543200492858886
23,Wisconsin,GNN,250,50,0.43555712699890137,0.008711142539978027
24,Wisconsin,GNN,250,50,0.4629549980163574,0.00925909996032715
