,Data,Explainer,Experiment,# Epochs,Full Runtime,Average Runtime
0,base,Beta,0,50,9.968496322631836,0.1993699264526367
1,base,Beta,1,50,10.184717893600464,0.2036943578720093
2,base,Beta,2,50,10.735833406448364,0.21471666812896728
3,base,Beta,3,50,11.787098169326782,0.23574196338653564
4,base,Beta,4,50,11.969849586486816,0.23939699172973633
5,base,Beta,5,50,11.986132383346558,0.23972264766693116
6,base,Beta,6,50,11.310240268707275,0.2262048053741455
7,base,Beta,7,50,11.456645011901855,0.22913290023803712
8,base,Beta,8,50,11.543869495391846,0.2308773899078369
9,base,Beta,9,50,11.320192098617554,0.22640384197235108
10,base,Beta,10,50,11.175343036651611,0.22350686073303222
11,base,Beta,11,50,9.033413887023926,0.18066827774047853
12,base,Beta,12,50,8.983674764633179,0.17967349529266358
13,base,Beta,13,50,10.307018518447876,0.20614037036895752
14,base,Beta,14,50,10.887440204620361,0.21774880409240724
15,base,Beta,15,50,11.073715448379517,0.22147430896759032
16,base,Beta,16,50,10.946602582931519,0.21893205165863036
17,base,Beta,17,50,11.351313352584839,0.2270262670516968
18,base,Beta,18,50,11.345276832580566,0.22690553665161134
19,base,Beta,19,50,11.70533299446106,0.2341066598892212
20,base,Beta,20,50,11.6803879737854,0.233607759475708
21,base,Beta,21,50,8.818248510360718,0.17636497020721437
22,base,Beta,22,50,11.4359450340271,0.228718900680542
23,base,Beta,23,50,11.596648216247559,0.23193296432495117
24,base,Beta,24,50,11.616263389587402,0.23232526779174806
25,base,Beta,25,50,12.227218627929688,0.24454437255859374
26,base,Beta,26,50,11.848670482635498,0.23697340965270997
27,base,Beta,27,50,11.66396188735962,0.2332792377471924
28,base,Beta,28,50,11.029963254928589,0.22059926509857178
29,base,Beta,29,50,10.773343801498413,0.21546687602996825
30,base,Beta,30,50,11.472998142242432,0.22945996284484863
31,base,Beta,31,50,11.145625114440918,0.22291250228881837
32,base,Beta,32,50,11.018512725830078,0.22037025451660155
33,base,Beta,33,50,11.115890264511108,0.22231780529022216
34,base,Beta,34,50,10.784558534622192,0.21569117069244384
35,base,Beta,35,50,10.925812005996704,0.2185162401199341
36,base,Beta,36,50,11.247030973434448,0.22494061946868896
37,base,Beta,37,50,10.78458046913147,0.2156916093826294
38,base,Beta,38,50,11.352344274520874,0.2270468854904175
39,base,Beta,39,50,11.84823203086853,0.2369646406173706
40,base,Beta,40,50,11.824331283569336,0.23648662567138673
41,base,Beta,41,50,11.518592834472656,0.23037185668945312
42,base,Beta,42,50,11.333195686340332,0.22666391372680664
43,base,Beta,43,50,11.53186297416687,0.2306372594833374
44,base,Beta,44,50,11.028526067733765,0.22057052135467528
45,base,Beta,45,50,11.188493013381958,0.22376986026763915
46,base,Beta,46,50,11.722037076950073,0.23444074153900146
47,base,Beta,47,50,11.90837550163269,0.2381675100326538
48,base,Beta,48,50,11.94603419303894,0.2389206838607788
49,base,Beta,49,50,11.563930988311768,0.23127861976623534
