,Data,Explainer,Experiment,# Epochs,Full Runtime,Average Runtime
0,base,GNN,0,50,3.2335121631622314,0.06467024326324462
1,base,GNN,1,50,2.405524969100952,0.04811049938201904
2,base,GNN,2,50,1.9160234928131104,0.03832046985626221
3,base,GNN,3,50,1.9272956848144531,0.03854591369628906
4,base,GNN,4,50,1.790858507156372,0.03581717014312744
5,base,GNN,5,50,1.7959582805633545,0.03591916561126709
6,base,GNN,6,50,2.344172477722168,0.04688344955444336
7,base,GNN,7,50,2.5810770988464355,0.05162154197692871
8,base,GNN,8,50,2.1163363456726074,0.04232672691345215
9,base,GNN,9,50,2.12170672416687,0.0424341344833374
10,base,GNN,10,50,1.9286410808563232,0.03857282161712647
11,base,GNN,11,50,2.143589735031128,0.04287179470062256
12,base,GNN,12,50,2.083936929702759,0.04167873859405517
13,base,GNN,13,50,2.332509994506836,0.04665019989013672
14,base,GNN,14,50,2.251380681991577,0.04502761363983154
15,base,GNN,15,50,1.9177420139312744,0.038354840278625485
16,base,GNN,16,50,2.2732841968536377,0.04546568393707275
17,base,GNN,17,50,1.7706949710845947,0.035413899421691895
18,base,GNN,18,50,2.1288115978240967,0.042576231956481934
19,base,GNN,19,50,2.1579911708831787,0.04315982341766358
20,base,GNN,20,50,2.1239352226257324,0.04247870445251465
21,base,GNN,21,50,1.7994656562805176,0.03598931312561035
22,base,GNN,22,50,1.6102676391601562,0.03220535278320313
23,base,GNN,23,50,2.054262638092041,0.04108525276184082
24,base,GNN,24,50,2.1277060508728027,0.04255412101745606
25,base,GNN,25,50,1.9244091510772705,0.038488183021545413
26,base,GNN,26,50,2.205660343170166,0.04411320686340332
27,base,GNN,27,50,2.0264065265655518,0.04052813053131103
28,base,GNN,28,50,2.089195728302002,0.04178391456604004
29,base,GNN,29,50,2.0751779079437256,0.041503558158874514
30,base,GNN,30,50,2.0025241374969482,0.04005048274993896
31,base,GNN,31,50,1.8960380554199219,0.03792076110839844
32,base,GNN,32,50,1.914806604385376,0.03829613208770752
33,base,GNN,33,50,2.073500633239746,0.04147001266479492
34,base,GNN,34,50,2.285696029663086,0.045713920593261716
35,base,GNN,35,50,2.2480573654174805,0.04496114730834961
36,base,GNN,36,50,2.317849636077881,0.04635699272155762
37,base,GNN,37,50,2.0152931213378906,0.040305862426757814
38,base,GNN,38,50,1.7664196491241455,0.03532839298248291
39,base,GNN,39,50,2.328883409500122,0.04657766819000244
40,base,GNN,40,50,1.8226079940795898,0.0364521598815918
41,base,GNN,41,50,2.011221408843994,0.040224428176879885
42,base,GNN,42,50,2.24945068359375,0.044989013671875
43,base,GNN,43,50,2.1924192905426025,0.04384838581085205
44,base,GNN,44,50,1.7727742195129395,0.035455484390258786
45,base,GNN,45,50,2.0165650844573975,0.04033130168914795
46,base,GNN,46,50,2.226979970932007,0.044539599418640136
47,base,GNN,47,50,2.213593006134033,0.04427186012268067
48,base,GNN,48,50,1.9493811130523682,0.038987622261047364
49,base,GNN,49,50,2.085552453994751,0.04171104907989502
