,Data,Explainer,Experiment,# Epochs,Full Runtime,Average Runtime
0,base,Beta,0,n/a,21.75659203529358,n/a
1,base,Beta,1,n/a,22.85972809791565,n/a
2,base,Beta,2,n/a,22.459404945373535,n/a
3,base,Beta,3,n/a,20.00451636314392,n/a
4,base,Beta,4,n/a,21.783478021621704,n/a
5,base,Beta,5,n/a,20.07999348640442,n/a
6,base,Beta,6,n/a,20.027926445007324,n/a
7,base,Beta,7,n/a,19.656028509140015,n/a
8,base,Beta,8,n/a,19.67721676826477,n/a
9,base,Beta,9,n/a,18.584530353546143,n/a
10,base,Beta,10,n/a,17.990872144699097,n/a
11,base,Beta,11,n/a,17.851417064666748,n/a
12,base,Beta,12,n/a,18.860116243362427,n/a
13,base,Beta,13,n/a,18.518474102020264,n/a
14,base,Beta,14,n/a,19.634066343307495,n/a
15,base,Beta,15,n/a,19.665555000305176,n/a
16,base,Beta,16,n/a,18.287562370300293,n/a
17,base,Beta,17,n/a,18.07925796508789,n/a
18,base,Beta,18,n/a,18.008888244628906,n/a
19,base,Beta,19,n/a,20.276589393615723,n/a
20,base,Beta,20,n/a,20.448241233825684,n/a
21,base,Beta,21,n/a,21.181774139404297,n/a
22,base,Beta,22,n/a,20.840038537979126,n/a
23,base,Beta,23,n/a,20.239646911621094,n/a
24,base,Beta,24,n/a,20.972018718719482,n/a
25,base,Beta,25,n/a,20.847781896591187,n/a
26,base,Beta,26,n/a,20.829848766326904,n/a
27,base,Beta,27,n/a,20.753066062927246,n/a
28,base,Beta,28,n/a,21.19295883178711,n/a
29,base,Beta,29,n/a,20.32033634185791,n/a
30,base,Beta,30,n/a,20.173142194747925,n/a
31,base,Beta,31,n/a,21.3901789188385,n/a
32,base,Beta,32,n/a,21.069623947143555,n/a
33,base,Beta,33,n/a,20.189975023269653,n/a
34,base,Beta,34,n/a,20.780075311660767,n/a
35,base,Beta,35,n/a,19.86956810951233,n/a
36,base,Beta,36,n/a,20.251408100128174,n/a
37,base,Beta,37,n/a,20.312998294830322,n/a
38,base,Beta,38,n/a,20.943467617034912,n/a
39,base,Beta,39,n/a,20.386384963989258,n/a
40,base,Beta,40,n/a,20.710076332092285,n/a
41,base,Beta,41,n/a,22.842529296875,n/a
42,base,Beta,42,n/a,20.46941375732422,n/a
43,base,Beta,43,n/a,20.39739155769348,n/a
44,base,Beta,44,n/a,21.971917152404785,n/a
45,base,Beta,45,n/a,21.090734243392944,n/a
46,base,Beta,46,n/a,18.030027627944946,n/a
47,base,Beta,47,n/a,17.483039140701294,n/a
48,base,Beta,48,n/a,18.052700757980347,n/a
49,base,Beta,49,n/a,17.826882123947144,n/a
