,Data,Explainer,Experiment,# Epochs,Full Runtime,Average Runtime
0,hetero,Beta,0,50,14.853222846984863,0.29706445693969724
1,hetero,Beta,1,50,14.735121011734009,0.2947024202346802
2,hetero,Beta,2,50,15.661216497421265,0.3132243299484253
3,hetero,Beta,3,50,13.74643349647522,0.2749286699295044
4,hetero,Beta,4,50,14.979628324508667,0.29959256649017335
5,hetero,Beta,5,50,15.138857126235962,0.3027771425247192
6,hetero,Beta,6,50,14.961011171340942,0.29922022342681887
7,hetero,Beta,7,50,14.712960243225098,0.29425920486450197
8,hetero,Beta,8,50,13.848067045211792,0.27696134090423585
9,hetero,Beta,9,50,14.54793381690979,0.2909586763381958
10,hetero,Beta,10,50,14.619751453399658,0.29239502906799314
11,hetero,Beta,11,50,14.211506605148315,0.2842301321029663
12,hetero,Beta,12,50,14.167956829071045,0.2833591365814209
13,hetero,Beta,13,50,13.925590991973877,0.27851181983947754
14,hetero,Beta,14,50,14.637632608413696,0.29275265216827395
15,hetero,Beta,15,50,14.546255111694336,0.29092510223388673
16,hetero,Beta,16,50,14.587215423583984,0.2917443084716797
17,hetero,Beta,17,50,14.434894561767578,0.28869789123535156
18,hetero,Beta,18,50,15.338988304138184,0.3067797660827637
19,hetero,Beta,19,50,14.855527400970459,0.29711054801940917
20,hetero,Beta,20,50,14.871742725372314,0.2974348545074463
21,hetero,Beta,21,50,15.009358644485474,0.3001871728897095
22,hetero,Beta,22,50,17.883994579315186,0.3576798915863037
23,hetero,Beta,23,50,15.291166543960571,0.30582333087921143
24,hetero,Beta,24,50,14.862932443618774,0.29725864887237546
25,hetero,Beta,25,50,15.022439956665039,0.3004487991333008
26,hetero,Beta,26,50,15.099454641342163,0.3019890928268433
27,hetero,Beta,27,50,16.157255172729492,0.32314510345458985
28,hetero,Beta,28,50,15.25758695602417,0.3051517391204834
29,hetero,Beta,29,50,15.221996545791626,0.30443993091583255
30,hetero,Beta,30,50,17.28558325767517,0.34571166515350343
31,hetero,Beta,31,50,16.146408319473267,0.3229281663894653
32,hetero,Beta,32,50,17.041836261749268,0.34083672523498537
33,hetero,Beta,33,50,15.018894672393799,0.30037789344787597
34,hetero,Beta,34,50,15.181508779525757,0.30363017559051514
35,hetero,Beta,35,50,15.00704288482666,0.3001408576965332
36,hetero,Beta,36,50,14.527951955795288,0.29055903911590575
37,hetero,Beta,37,50,20.5262508392334,0.41052501678466796
38,hetero,Beta,38,50,16.374282360076904,0.3274856472015381
39,hetero,Beta,39,50,16.63448166847229,0.3326896333694458
40,hetero,Beta,40,50,16.103520154953003,0.32207040309906004
41,hetero,Beta,41,50,15.439739227294922,0.3087947845458984
42,hetero,Beta,42,50,16.518577098846436,0.3303715419769287
43,hetero,Beta,43,50,16.245826721191406,0.3249165344238281
44,hetero,Beta,44,50,16.212676763534546,0.3242535352706909
45,hetero,Beta,45,50,16.6306049823761,0.332612099647522
46,hetero,Beta,46,50,16.554264545440674,0.3310852909088135
47,hetero,Beta,47,50,16.30880379676819,0.3261760759353638
48,hetero,Beta,48,50,14.259254693984985,0.2851850938796997
49,hetero,Beta,49,50,15.712498426437378,0.31424996852874754
