,Data,Explainer,Experiment,# Epochs,Full Runtime,Average Runtime
0,hetero,GNN,0,50,3.3277015686035156,0.06655403137207032
1,hetero,GNN,1,50,4.071007490158081,0.08142014980316162
2,hetero,GNN,2,50,2.784512519836426,0.055690250396728515
3,hetero,GNN,3,50,3.269937038421631,0.06539874076843262
4,hetero,GNN,4,50,3.8790290355682373,0.07758058071136474
5,hetero,GNN,5,50,3.864711284637451,0.07729422569274902
6,hetero,GNN,6,50,3.265768051147461,0.06531536102294921
7,hetero,GNN,7,50,2.3949007987976074,0.04789801597595215
8,hetero,GNN,8,50,2.8160626888275146,0.05632125377655029
9,hetero,GNN,9,50,3.5142600536346436,0.07028520107269287
10,hetero,GNN,10,50,3.9824302196502686,0.07964860439300538
11,hetero,GNN,11,50,2.7522404193878174,0.05504480838775635
12,hetero,GNN,12,50,2.9747533798217773,0.059495067596435545
13,hetero,GNN,13,50,3.5063581466674805,0.07012716293334961
14,hetero,GNN,14,50,3.8602285385131836,0.07720457077026367
15,hetero,GNN,15,50,3.686124563217163,0.07372249126434326
16,hetero,GNN,16,50,4.271058797836304,0.08542117595672608
17,hetero,GNN,17,50,3.3900270462036133,0.06780054092407227
18,hetero,GNN,18,50,2.366398334503174,0.04732796669006348
19,hetero,GNN,19,50,2.876248359680176,0.05752496719360352
20,hetero,GNN,20,50,4.625834941864014,0.09251669883728027
21,hetero,GNN,21,50,3.7083845138549805,0.07416769027709962
22,hetero,GNN,22,50,4.377576589584351,0.08755153179168701
23,hetero,GNN,23,50,3.424351215362549,0.06848702430725098
24,hetero,GNN,24,50,3.4841160774230957,0.06968232154846192
25,hetero,GNN,25,50,2.8543179035186768,0.05708635807037354
26,hetero,GNN,26,50,2.9292306900024414,0.058584613800048826
27,hetero,GNN,27,50,3.701629400253296,0.07403258800506592
28,hetero,GNN,28,50,2.8246326446533203,0.0564926528930664
29,hetero,GNN,29,50,3.468735933303833,0.06937471866607665
30,hetero,GNN,30,50,3.433680772781372,0.06867361545562745
31,hetero,GNN,31,50,2.832172393798828,0.05664344787597656
32,hetero,GNN,32,50,4.08198618888855,0.081639723777771
33,hetero,GNN,33,50,3.757671356201172,0.07515342712402344
34,hetero,GNN,34,50,2.962735652923584,0.05925471305847168
35,hetero,GNN,35,50,3.4641666412353516,0.06928333282470703
36,hetero,GNN,36,50,3.4574551582336426,0.06914910316467285
37,hetero,GNN,37,50,2.5694994926452637,0.05138998985290527
38,hetero,GNN,38,50,3.623009204864502,0.07246018409729003
39,hetero,GNN,39,50,2.892840623855591,0.057856812477111816
40,hetero,GNN,40,50,2.7623252868652344,0.05524650573730469
41,hetero,GNN,41,50,3.0342013835906982,0.06068402767181397
42,hetero,GNN,42,50,2.5556578636169434,0.051113157272338866
43,hetero,GNN,43,50,2.685870409011841,0.05371740818023682
44,hetero,GNN,44,50,3.143141984939575,0.0628628396987915
45,hetero,GNN,45,50,4.254391670227051,0.08508783340454101
46,hetero,GNN,46,50,3.666382074356079,0.07332764148712158
47,hetero,GNN,47,50,3.4575188159942627,0.06915037631988526
48,hetero,GNN,48,50,2.985135555267334,0.05970271110534668
49,hetero,GNN,49,50,3.5024280548095703,0.07004856109619141
