,Data,Explainer,Experiment,# Epochs,Full Runtime,Average Runtime
0,hetero,Beta,0,n/a,0.4505608081817627,n/a
1,hetero,Beta,1,n/a,0.5664019584655762,n/a
2,hetero,Beta,2,n/a,0.28254151344299316,n/a
3,hetero,Beta,3,n/a,0.5740468502044678,n/a
4,hetero,Beta,4,n/a,0.26096510887145996,n/a
5,hetero,Beta,5,n/a,0.4302680492401123,n/a
6,hetero,Beta,6,n/a,0.6451013088226318,n/a
7,hetero,Beta,7,n/a,0.35478806495666504,n/a
8,hetero,Beta,8,n/a,0.34664034843444824,n/a
9,hetero,Beta,9,n/a,0.7488722801208496,n/a
10,hetero,Beta,10,n/a,0.3540046215057373,n/a
11,hetero,Beta,11,n/a,0.6566128730773926,n/a
12,hetero,Beta,12,n/a,0.3618137836456299,n/a
13,hetero,Beta,13,n/a,0.3455514907836914,n/a
14,hetero,Beta,14,n/a,0.5969295501708984,n/a
15,hetero,Beta,15,n/a,0.36150050163269043,n/a
16,hetero,Beta,16,n/a,0.3126487731933594,n/a
17,hetero,Beta,17,n/a,0.4874141216278076,n/a
18,hetero,Beta,18,n/a,0.2831416130065918,n/a
19,hetero,Beta,19,n/a,0.30733513832092285,n/a
20,hetero,Beta,20,n/a,0.5841748714447021,n/a
21,hetero,Beta,21,n/a,0.4099009037017822,n/a
22,hetero,Beta,22,n/a,0.6282176971435547,n/a
23,hetero,Beta,23,n/a,0.3780171871185303,n/a
24,hetero,Beta,24,n/a,0.3610982894897461,n/a
25,hetero,Beta,25,n/a,0.6606152057647705,n/a
26,hetero,Beta,26,n/a,0.3621535301208496,n/a
27,hetero,Beta,27,n/a,0.6763765811920166,n/a
28,hetero,Beta,28,n/a,0.3620002269744873,n/a
29,hetero,Beta,29,n/a,0.37476658821105957,n/a
30,hetero,Beta,30,n/a,0.6785385608673096,n/a
31,hetero,Beta,31,n/a,0.37729811668395996,n/a
32,hetero,Beta,32,n/a,0.6467547416687012,n/a
33,hetero,Beta,33,n/a,0.35883593559265137,n/a
34,hetero,Beta,34,n/a,0.37711143493652344,n/a
35,hetero,Beta,35,n/a,0.6297516822814941,n/a
36,hetero,Beta,36,n/a,0.37841796875,n/a
37,hetero,Beta,37,n/a,0.691662073135376,n/a
38,hetero,Beta,38,n/a,0.37868189811706543,n/a
39,hetero,Beta,39,n/a,0.36197757720947266,n/a
40,hetero,Beta,40,n/a,0.6597850322723389,n/a
41,hetero,Beta,41,n/a,0.3713195323944092,n/a
42,hetero,Beta,42,n/a,0.36834120750427246,n/a
43,hetero,Beta,43,n/a,0.6703011989593506,n/a
44,hetero,Beta,44,n/a,0.3516523838043213,n/a
45,hetero,Beta,45,n/a,0.3614683151245117,n/a
46,hetero,Beta,46,n/a,0.6606502532958984,n/a
47,hetero,Beta,47,n/a,0.3459172248840332,n/a
48,hetero,Beta,48,n/a,0.6165018081665039,n/a
49,hetero,Beta,49,n/a,0.3898484706878662,n/a
