,Data,Explainer,Experiment,# Epochs,Full Runtime,Average Runtime
0,lessinform,Beta,0,50,9.982374429702759,0.19964748859405518
1,lessinform,Beta,1,50,11.051437854766846,0.22102875709533693
2,lessinform,Beta,2,50,11.66585898399353,0.23331717967987062
3,lessinform,Beta,3,50,11.472402334213257,0.22944804668426513
4,lessinform,Beta,4,50,12.023611068725586,0.2404722213745117
5,lessinform,Beta,5,50,12.072940349578857,0.24145880699157715
6,lessinform,Beta,6,50,12.138144254684448,0.24276288509368896
7,lessinform,Beta,7,50,11.958235025405884,0.23916470050811767
8,lessinform,Beta,8,50,12.29637622833252,0.2459275245666504
9,lessinform,Beta,9,50,12.514618635177612,0.25029237270355226
10,lessinform,Beta,10,50,12.785292863845825,0.2557058572769165
11,lessinform,Beta,11,50,12.574796915054321,0.2514959383010864
12,lessinform,Beta,12,50,11.986340761184692,0.23972681522369385
13,lessinform,Beta,13,50,11.243543863296509,0.22487087726593016
14,lessinform,Beta,14,50,11.058143377304077,0.22116286754608155
15,lessinform,Beta,15,50,11.179442167282104,0.22358884334564208
16,lessinform,Beta,16,50,10.969747066497803,0.21939494132995604
17,lessinform,Beta,17,50,11.062382936477661,0.2212476587295532
18,lessinform,Beta,18,50,10.936952590942383,0.21873905181884765
19,lessinform,Beta,19,50,11.176784038543701,0.22353568077087402
20,lessinform,Beta,20,50,11.000831604003906,0.22001663208007813
21,lessinform,Beta,21,50,11.00674557685852,0.2201349115371704
22,lessinform,Beta,22,50,10.913866519927979,0.21827733039855957
23,lessinform,Beta,23,50,11.221395492553711,0.22442790985107422
24,lessinform,Beta,24,50,11.80821967124939,0.2361643934249878
25,lessinform,Beta,25,50,11.46017599105835,0.229203519821167
26,lessinform,Beta,26,50,11.49231219291687,0.2298462438583374
27,lessinform,Beta,27,50,11.619929552078247,0.23239859104156493
28,lessinform,Beta,28,50,11.671289920806885,0.2334257984161377
29,lessinform,Beta,29,50,11.37918996810913,0.22758379936218262
30,lessinform,Beta,30,50,11.806523084640503,0.23613046169281005
31,lessinform,Beta,31,50,11.488794088363647,0.22977588176727295
32,lessinform,Beta,32,50,11.31960940361023,0.2263921880722046
33,lessinform,Beta,33,50,11.473829746246338,0.22947659492492675
34,lessinform,Beta,34,50,11.464097499847412,0.22928194999694823
35,lessinform,Beta,35,50,11.336257219314575,0.22672514438629152
36,lessinform,Beta,36,50,11.338982820510864,0.22677965641021727
37,lessinform,Beta,37,50,10.915382862091064,0.2183076572418213
38,lessinform,Beta,38,50,11.098263502120972,0.22196527004241942
39,lessinform,Beta,39,50,11.30184268951416,0.2260368537902832
40,lessinform,Beta,40,50,11.149085760116577,0.22298171520233154
41,lessinform,Beta,41,50,11.187748432159424,0.22375496864318847
42,lessinform,Beta,42,50,10.833540201187134,0.21667080402374267
43,lessinform,Beta,43,50,10.917948722839355,0.21835897445678712
44,lessinform,Beta,44,50,11.022183895111084,0.2204436779022217
45,lessinform,Beta,45,50,11.619460582733154,0.23238921165466309
46,lessinform,Beta,46,50,11.392075300216675,0.2278415060043335
47,lessinform,Beta,47,50,11.611486434936523,0.23222972869873046
48,lessinform,Beta,48,50,11.769230842590332,0.23538461685180664
49,lessinform,Beta,49,50,11.315241813659668,0.22630483627319337
