,Data,Explainer,Experiment,# Epochs,Full Runtime,Average Runtime
0,lessinform,GNN,0,50,3.8257527351379395,0.0765150547027588
1,lessinform,GNN,1,50,3.1375739574432373,0.06275147914886475
2,lessinform,GNN,2,50,3.093437671661377,0.061868753433227536
3,lessinform,GNN,3,50,2.635490894317627,0.05270981788635254
4,lessinform,GNN,4,50,2.7595484256744385,0.05519096851348877
5,lessinform,GNN,5,50,3.542252779006958,0.07084505558013916
6,lessinform,GNN,6,50,2.9981446266174316,0.059962892532348634
7,lessinform,GNN,7,50,2.8373005390167236,0.05674601078033447
8,lessinform,GNN,8,50,2.7776308059692383,0.055552616119384765
9,lessinform,GNN,9,50,2.9159433841705322,0.058318867683410644
10,lessinform,GNN,10,50,2.752732515335083,0.05505465030670166
11,lessinform,GNN,11,50,2.9739739894866943,0.059479479789733884
12,lessinform,GNN,12,50,3.208099365234375,0.0641619873046875
13,lessinform,GNN,13,50,3.602332592010498,0.07204665184020996
14,lessinform,GNN,14,50,2.8338122367858887,0.05667624473571777
15,lessinform,GNN,15,50,2.7408499717712402,0.054816999435424806
16,lessinform,GNN,16,50,2.773630142211914,0.05547260284423828
17,lessinform,GNN,17,50,3.1541686058044434,0.06308337211608887
18,lessinform,GNN,18,50,3.4529941082000732,0.06905988216400147
19,lessinform,GNN,19,50,2.5741589069366455,0.05148317813873291
20,lessinform,GNN,20,50,2.839695453643799,0.05679390907287598
21,lessinform,GNN,21,50,3.1013095378875732,0.06202619075775147
22,lessinform,GNN,22,50,2.7780826091766357,0.05556165218353271
23,lessinform,GNN,23,50,3.021385908126831,0.06042771816253662
24,lessinform,GNN,24,50,2.9774270057678223,0.059548540115356444
25,lessinform,GNN,25,50,2.838625431060791,0.05677250862121582
26,lessinform,GNN,26,50,2.728034019470215,0.054560680389404294
27,lessinform,GNN,27,50,3.1441762447357178,0.06288352489471435
28,lessinform,GNN,28,50,2.7601611614227295,0.05520322322845459
29,lessinform,GNN,29,50,3.340064287185669,0.06680128574371338
30,lessinform,GNN,30,50,2.724579095840454,0.054491581916809084
31,lessinform,GNN,31,50,3.2329540252685547,0.0646590805053711
32,lessinform,GNN,32,50,2.681623697280884,0.053632473945617674
33,lessinform,GNN,33,50,2.9290390014648438,0.058580780029296876
34,lessinform,GNN,34,50,3.3973047733306885,0.06794609546661377
35,lessinform,GNN,35,50,3.1426596641540527,0.06285319328308106
36,lessinform,GNN,36,50,2.885667324066162,0.057713346481323244
37,lessinform,GNN,37,50,2.743119716644287,0.05486239433288574
38,lessinform,GNN,38,50,2.6716859340667725,0.05343371868133545
39,lessinform,GNN,39,50,2.3528449535369873,0.04705689907073975
40,lessinform,GNN,40,50,2.842181444168091,0.056843628883361814
41,lessinform,GNN,41,50,2.520953416824341,0.050419068336486815
42,lessinform,GNN,42,50,2.7083873748779297,0.054167747497558594
43,lessinform,GNN,43,50,2.8370964527130127,0.05674192905426025
44,lessinform,GNN,44,50,2.769339084625244,0.05538678169250488
45,lessinform,GNN,45,50,2.676245927810669,0.05352491855621338
46,lessinform,GNN,46,50,3.8303444385528564,0.07660688877105713
47,lessinform,GNN,47,50,2.7652089595794678,0.05530417919158936
48,lessinform,GNN,48,50,3.0274617671966553,0.060549235343933104
49,lessinform,GNN,49,50,3.300065755844116,0.06600131511688233
