,Data,Explainer,Experiment,# Epochs,Full Runtime,Average Runtime
0,lessinform,Beta,0,n/a,2.4376280307769775,n/a
1,lessinform,Beta,1,n/a,1.5846490859985352,n/a
2,lessinform,Beta,2,n/a,1.9277753829956055,n/a
3,lessinform,Beta,3,n/a,2.0601577758789062,n/a
4,lessinform,Beta,4,n/a,1.7930395603179932,n/a
5,lessinform,Beta,5,n/a,1.561218023300171,n/a
6,lessinform,Beta,6,n/a,1.795471429824829,n/a
7,lessinform,Beta,7,n/a,1.4429376125335693,n/a
8,lessinform,Beta,8,n/a,2.735549211502075,n/a
9,lessinform,Beta,9,n/a,1.40535306930542,n/a
10,lessinform,Beta,10,n/a,1.434051275253296,n/a
11,lessinform,Beta,11,n/a,2.805054187774658,n/a
12,lessinform,Beta,12,n/a,2.105390787124634,n/a
13,lessinform,Beta,13,n/a,2.0635929107666016,n/a
14,lessinform,Beta,14,n/a,2.3468141555786133,n/a
15,lessinform,Beta,15,n/a,2.040186882019043,n/a
16,lessinform,Beta,16,n/a,2.9952242374420166,n/a
17,lessinform,Beta,17,n/a,1.685760259628296,n/a
18,lessinform,Beta,18,n/a,1.6693143844604492,n/a
19,lessinform,Beta,19,n/a,2.7768714427948,n/a
20,lessinform,Beta,20,n/a,2.7409982681274414,n/a
21,lessinform,Beta,21,n/a,3.374345064163208,n/a
22,lessinform,Beta,22,n/a,3.0210018157958984,n/a
23,lessinform,Beta,23,n/a,2.384345531463623,n/a
24,lessinform,Beta,24,n/a,2.9048867225646973,n/a
25,lessinform,Beta,25,n/a,2.2035233974456787,n/a
26,lessinform,Beta,26,n/a,1.8109729290008545,n/a
27,lessinform,Beta,27,n/a,2.3947370052337646,n/a
28,lessinform,Beta,28,n/a,1.4353227615356445,n/a
29,lessinform,Beta,29,n/a,2.9500844478607178,n/a
30,lessinform,Beta,30,n/a,2.2086799144744873,n/a
31,lessinform,Beta,31,n/a,1.4486701488494873,n/a
32,lessinform,Beta,32,n/a,1.7688138484954834,n/a
33,lessinform,Beta,33,n/a,1.7936804294586182,n/a
34,lessinform,Beta,34,n/a,2.4948644638061523,n/a
35,lessinform,Beta,35,n/a,2.5600664615631104,n/a
36,lessinform,Beta,36,n/a,2.301581621170044,n/a
37,lessinform,Beta,37,n/a,2.778412342071533,n/a
38,lessinform,Beta,38,n/a,2.2275755405426025,n/a
39,lessinform,Beta,39,n/a,2.1174933910369873,n/a
40,lessinform,Beta,40,n/a,2.514148712158203,n/a
41,lessinform,Beta,41,n/a,1.6849207878112793,n/a
42,lessinform,Beta,42,n/a,1.8014075756072998,n/a
43,lessinform,Beta,43,n/a,1.9747538566589355,n/a
44,lessinform,Beta,44,n/a,2.457085371017456,n/a
45,lessinform,Beta,45,n/a,2.312898874282837,n/a
46,lessinform,Beta,46,n/a,1.7244207859039307,n/a
47,lessinform,Beta,47,n/a,2.043536424636841,n/a
48,lessinform,Beta,48,n/a,3.829875946044922,n/a
49,lessinform,Beta,49,n/a,2.4955451488494873,n/a
