,Data,Explainer,Experiment,# Epochs,Full Runtime,Average Runtime
0,moreinform,Beta,0,50,34.98147201538086,0.6996294403076172
1,moreinform,Beta,1,50,31.83004641532898,0.6366009283065795
2,moreinform,Beta,2,50,32.9163498878479,0.658326997756958
3,moreinform,Beta,3,50,35.67579889297485,0.713515977859497
4,moreinform,Beta,4,50,33.20342421531677,0.6640684843063355
5,moreinform,Beta,5,50,33.04807376861572,0.6609614753723144
6,moreinform,Beta,6,50,32.907150983810425,0.6581430196762085
7,moreinform,Beta,7,50,31.095659732818604,0.6219131946563721
8,moreinform,Beta,8,50,21.50558853149414,0.4301117706298828
9,moreinform,Beta,9,50,11.150285005569458,0.22300570011138915
10,moreinform,Beta,10,50,11.188963890075684,0.22377927780151366
11,moreinform,Beta,11,50,11.327658891677856,0.22655317783355713
12,moreinform,Beta,12,50,11.085439682006836,0.2217087936401367
13,moreinform,Beta,13,50,11.352462530136108,0.22704925060272216
14,moreinform,Beta,14,50,11.176805973052979,0.22353611946105956
15,moreinform,Beta,15,50,10.499580144882202,0.20999160289764404
16,moreinform,Beta,16,50,11.473623275756836,0.22947246551513673
17,moreinform,Beta,17,50,11.45683240890503,0.2291366481781006
18,moreinform,Beta,18,50,11.325456142425537,0.22650912284851074
19,moreinform,Beta,19,50,11.41059684753418,0.2282119369506836
20,moreinform,Beta,20,50,11.57095193862915,0.23141903877258302
21,moreinform,Beta,21,50,11.125611066818237,0.22251222133636475
22,moreinform,Beta,22,50,11.204263687133789,0.22408527374267578
23,moreinform,Beta,23,50,11.528796195983887,0.23057592391967774
24,moreinform,Beta,24,50,10.527312278747559,0.21054624557495116
25,moreinform,Beta,25,50,8.945773601531982,0.17891547203063965
26,moreinform,Beta,26,50,10.428948640823364,0.20857897281646728
27,moreinform,Beta,27,50,10.25690484046936,0.20513809680938722
28,moreinform,Beta,28,50,9.953693628311157,0.19907387256622314
29,moreinform,Beta,29,50,9.652865409851074,0.1930573081970215
30,moreinform,Beta,30,50,9.416286706924438,0.18832573413848877
31,moreinform,Beta,31,50,9.91342282295227,0.19826845645904542
32,moreinform,Beta,32,50,9.69073748588562,0.1938147497177124
33,moreinform,Beta,33,50,9.38156795501709,0.1876313591003418
34,moreinform,Beta,34,50,9.51852560043335,0.190370512008667
35,moreinform,Beta,35,50,9.532307386398315,0.19064614772796631
36,moreinform,Beta,36,50,9.15927529335022,0.18318550586700438
37,moreinform,Beta,37,50,9.53545069694519,0.1907090139389038
38,moreinform,Beta,38,50,10.018348455429077,0.20036696910858154
39,moreinform,Beta,39,50,9.728131532669067,0.19456263065338134
40,moreinform,Beta,40,50,9.183247566223145,0.1836649513244629
41,moreinform,Beta,41,50,8.788469314575195,0.1757693862915039
42,moreinform,Beta,42,50,9.107963800430298,0.18215927600860596
43,moreinform,Beta,43,50,9.644725322723389,0.19289450645446776
44,moreinform,Beta,44,50,9.405524730682373,0.18811049461364746
45,moreinform,Beta,45,50,9.368589878082275,0.18737179756164551
46,moreinform,Beta,46,50,8.991108179092407,0.17982216358184813
47,moreinform,Beta,47,50,10.011727333068848,0.20023454666137697
48,moreinform,Beta,48,50,10.145550727844238,0.20291101455688476
49,moreinform,Beta,49,50,9.844895839691162,0.19689791679382324
