,Data,Explainer,Experiment,# Epochs,Full Runtime,Average Runtime
0,moreinform,GNN,0,50,2.566709041595459,0.05133418083190918
1,moreinform,GNN,1,50,2.2447192668914795,0.04489438533782959
2,moreinform,GNN,2,50,1.9003026485443115,0.03800605297088623
3,moreinform,GNN,3,50,1.9597053527832031,0.03919410705566406
4,moreinform,GNN,4,50,1.9225399494171143,0.038450798988342284
5,moreinform,GNN,5,50,2.170630693435669,0.04341261386871338
6,moreinform,GNN,6,50,2.106762647628784,0.04213525295257568
7,moreinform,GNN,7,50,2.1350884437561035,0.04270176887512207
8,moreinform,GNN,8,50,2.0781424045562744,0.04156284809112549
9,moreinform,GNN,9,50,2.1336042881011963,0.04267208576202393
10,moreinform,GNN,10,50,1.9811086654663086,0.03962217330932617
11,moreinform,GNN,11,50,1.9961371421813965,0.03992274284362793
12,moreinform,GNN,12,50,2.0114681720733643,0.040229363441467283
13,moreinform,GNN,13,50,2.120353937149048,0.042407078742980955
14,moreinform,GNN,14,50,1.9108469486236572,0.03821693897247314
15,moreinform,GNN,15,50,2.08235764503479,0.0416471529006958
16,moreinform,GNN,16,50,1.891721487045288,0.03783442974090576
17,moreinform,GNN,17,50,1.9978196620941162,0.039956393241882326
18,moreinform,GNN,18,50,1.9168274402618408,0.03833654880523682
19,moreinform,GNN,19,50,2.1476876735687256,0.04295375347137451
20,moreinform,GNN,20,50,1.7844398021697998,0.035688796043396
21,moreinform,GNN,21,50,2.242464780807495,0.0448492956161499
22,moreinform,GNN,22,50,2.268793821334839,0.04537587642669678
23,moreinform,GNN,23,50,2.2933945655822754,0.04586789131164551
24,moreinform,GNN,24,50,1.9847960472106934,0.03969592094421387
25,moreinform,GNN,25,50,1.979421854019165,0.0395884370803833
26,moreinform,GNN,26,50,2.247209072113037,0.04494418144226074
27,moreinform,GNN,27,50,2.071882724761963,0.04143765449523926
28,moreinform,GNN,28,50,2.1168782711029053,0.042337565422058104
29,moreinform,GNN,29,50,2.048661470413208,0.04097322940826416
30,moreinform,GNN,30,50,2.1057238578796387,0.042114477157592776
31,moreinform,GNN,31,50,2.1399569511413574,0.04279913902282715
32,moreinform,GNN,32,50,2.05195689201355,0.041039137840270995
33,moreinform,GNN,33,50,1.9313716888427734,0.03862743377685547
34,moreinform,GNN,34,50,1.952113389968872,0.039042267799377445
35,moreinform,GNN,35,50,1.9742941856384277,0.03948588371276855
36,moreinform,GNN,36,50,2.15889573097229,0.0431779146194458
37,moreinform,GNN,37,50,1.9156394004821777,0.03831278800964356
38,moreinform,GNN,38,50,2.0337717533111572,0.04067543506622315
39,moreinform,GNN,39,50,2.1034345626831055,0.04206869125366211
40,moreinform,GNN,40,50,1.9636170864105225,0.03927234172821045
41,moreinform,GNN,41,50,1.937992811203003,0.03875985622406006
42,moreinform,GNN,42,50,1.9163076877593994,0.03832615375518799
43,moreinform,GNN,43,50,1.889385461807251,0.03778770923614502
44,moreinform,GNN,44,50,2.2540016174316406,0.04508003234863281
45,moreinform,GNN,45,50,2.384763240814209,0.04769526481628418
46,moreinform,GNN,46,50,2.223572015762329,0.04447144031524658
47,moreinform,GNN,47,50,2.1557183265686035,0.04311436653137207
48,moreinform,GNN,48,50,2.0359058380126953,0.04071811676025391
49,moreinform,GNN,49,50,2.1738204956054688,0.043476409912109375
