,Data,Explainer,Experiment,# Epochs,Full Runtime,Average Runtime
0,test,Beta,0,n/a,0.06292557716369629,n/a
1,test,Beta,1,n/a,0.06423521041870117,n/a
2,test,Beta,2,n/a,0.04577183723449707,n/a
3,test,Beta,3,n/a,0.06435561180114746,n/a
4,test,Beta,4,n/a,0.06139349937438965,n/a
5,test,Beta,5,n/a,0.06319808959960938,n/a
6,test,Beta,6,n/a,0.06325101852416992,n/a
7,test,Beta,7,n/a,0.07816672325134277,n/a
8,test,Beta,8,n/a,0.03165245056152344,n/a
9,test,Beta,9,n/a,0.0629570484161377,n/a
10,test,Beta,10,n/a,0.0628976821899414,n/a
11,test,Beta,11,n/a,0.06335091590881348,n/a
12,test,Beta,12,n/a,0.07861781120300293,n/a
13,test,Beta,13,n/a,0.06290531158447266,n/a
14,test,Beta,14,n/a,0.06321239471435547,n/a
15,test,Beta,15,n/a,0.06250953674316406,n/a
16,test,Beta,16,n/a,0.06294512748718262,n/a
17,test,Beta,17,n/a,0.04687380790710449,n/a
18,test,Beta,18,n/a,0.0629575252532959,n/a
19,test,Beta,19,n/a,0.06438541412353516,n/a
20,test,Beta,20,n/a,0.06139397621154785,n/a
21,test,Beta,21,n/a,0.06320714950561523,n/a
22,test,Beta,22,n/a,0.06752824783325195,n/a
23,test,Beta,23,n/a,0.058307647705078125,n/a
24,test,Beta,24,n/a,0.06288647651672363,n/a
25,test,Beta,25,n/a,0.06301140785217285,n/a
26,test,Beta,26,n/a,0.07882380485534668,n/a
27,test,Beta,27,n/a,0.06290507316589355,n/a
28,test,Beta,28,n/a,0.06290626525878906,n/a
29,test,Beta,29,n/a,0.06316685676574707,n/a
30,test,Beta,30,n/a,0.06293106079101562,n/a
31,test,Beta,31,n/a,0.06406927108764648,n/a
32,test,Beta,32,n/a,0.04619407653808594,n/a
33,test,Beta,33,n/a,0.07552933692932129,n/a
34,test,Beta,34,n/a,0.06551551818847656,n/a
35,test,Beta,35,n/a,0.06261515617370605,n/a
36,test,Beta,36,n/a,0.07200479507446289,n/a
37,test,Beta,37,n/a,0.06951332092285156,n/a
38,test,Beta,38,n/a,0.06331038475036621,n/a
39,test,Beta,39,n/a,0.06751728057861328,n/a
40,test,Beta,40,n/a,0.07391166687011719,n/a
41,test,Beta,41,n/a,0.06447339057922363,n/a
42,test,Beta,42,n/a,0.061896562576293945,n/a
43,test,Beta,43,n/a,0.06273007392883301,n/a
44,test,Beta,44,n/a,0.047304391860961914,n/a
45,test,Beta,45,n/a,0.06300830841064453,n/a
46,test,Beta,46,n/a,0.051387786865234375,n/a
47,test,Beta,47,n/a,0.06323075294494629,n/a
48,test,Beta,48,n/a,0.07831621170043945,n/a
49,test,Beta,49,n/a,0.04727578163146973,n/a
