,Data,Explainer,Experiment,# Epochs,Full Runtime,Average Runtime
0,unfair,Beta,0,n/a,2.3124091625213623,n/a
1,unfair,Beta,1,n/a,2.5415704250335693,n/a
2,unfair,Beta,2,n/a,3.7705254554748535,n/a
3,unfair,Beta,3,n/a,2.7795586585998535,n/a
4,unfair,Beta,4,n/a,2.370037794113159,n/a
5,unfair,Beta,5,n/a,3.5901763439178467,n/a
6,unfair,Beta,6,n/a,2.59987473487854,n/a
7,unfair,Beta,7,n/a,3.6933562755584717,n/a
8,unfair,Beta,8,n/a,2.832533597946167,n/a
9,unfair,Beta,9,n/a,2.848609447479248,n/a
10,unfair,Beta,10,n/a,2.289879322052002,n/a
11,unfair,Beta,11,n/a,2.825561761856079,n/a
12,unfair,Beta,12,n/a,3.364182949066162,n/a
13,unfair,Beta,13,n/a,3.3179752826690674,n/a
14,unfair,Beta,14,n/a,2.422194004058838,n/a
15,unfair,Beta,15,n/a,2.5195658206939697,n/a
16,unfair,Beta,16,n/a,2.3799593448638916,n/a
17,unfair,Beta,17,n/a,2.134911298751831,n/a
18,unfair,Beta,18,n/a,3.5519511699676514,n/a
19,unfair,Beta,19,n/a,2.9604127407073975,n/a
20,unfair,Beta,20,n/a,2.0757086277008057,n/a
21,unfair,Beta,21,n/a,3.029006242752075,n/a
22,unfair,Beta,22,n/a,2.9599101543426514,n/a
23,unfair,Beta,23,n/a,2.235274314880371,n/a
24,unfair,Beta,24,n/a,3.4328536987304688,n/a
25,unfair,Beta,25,n/a,2.415241241455078,n/a
26,unfair,Beta,26,n/a,2.9202325344085693,n/a
27,unfair,Beta,27,n/a,2.124805450439453,n/a
28,unfair,Beta,28,n/a,2.291642427444458,n/a
29,unfair,Beta,29,n/a,2.938478946685791,n/a
30,unfair,Beta,30,n/a,3.485285997390747,n/a
31,unfair,Beta,31,n/a,2.622002363204956,n/a
32,unfair,Beta,32,n/a,2.6624155044555664,n/a
33,unfair,Beta,33,n/a,2.1776511669158936,n/a
34,unfair,Beta,34,n/a,2.917449712753296,n/a
35,unfair,Beta,35,n/a,2.6702914237976074,n/a
36,unfair,Beta,36,n/a,2.487881660461426,n/a
37,unfair,Beta,37,n/a,2.352139472961426,n/a
38,unfair,Beta,38,n/a,2.4798331260681152,n/a
39,unfair,Beta,39,n/a,2.8396730422973633,n/a
40,unfair,Beta,40,n/a,2.547813653945923,n/a
41,unfair,Beta,41,n/a,2.7149405479431152,n/a
42,unfair,Beta,42,n/a,3.1221370697021484,n/a
43,unfair,Beta,43,n/a,1.990138292312622,n/a
44,unfair,Beta,44,n/a,2.9272425174713135,n/a
45,unfair,Beta,45,n/a,2.094913959503174,n/a
46,unfair,Beta,46,n/a,2.6550416946411133,n/a
47,unfair,Beta,47,n/a,2.79001784324646,n/a
48,unfair,Beta,48,n/a,2.4096031188964844,n/a
49,unfair,Beta,49,n/a,2.4904730319976807,n/a
