Dataset,Explainer,Seed,Phen Pos Fidelity,Phen Neg Fidelity,Model Pos Fidelity,Model Neg Fidelity,Unfaithfulness,Exp Size Percent
Cora,Beta,68268,0.089734121,0.092319055,0.093426883,0.097119645,1,0.513357332
Cora,Beta,43567,0.086779911,0.096011817,0.091949778,0.09859675,1,0.518283441
Cora,Beta,42613,0.095642541,0.080871492,0.098966027,0.086779911,1,0.517525578
Cora,Beta,45891,0.088257016,0.09379616,0.091580502,0.097119645,1,0.510136415
Cora,Beta,21243,0.086779911,0.087518464,0.091580502,0.091211226,1,0.521599091
Cora,Beta,95939,0.09379616,0.091949778,0.098966027,0.095642541,1,0.516862448
Cora,Beta,97639,0.086041359,0.081240768,0.090472674,0.08493353,1,0.522356953
Cora,Beta,41993,0.088257016,0.080871492,0.093057607,0.084564254,1,0.512694202
Cora,Beta,86293,0.092319055,0.083087149,0.095642541,0.088626292,1,0.519325502
Cora,Beta,55026,0.084194978,0.088995569,0.087518464,0.092688331,1,0.519609701
