Dataset,Explainer,Run,Phen Pos Fidelity,Phen Neg Fidelity,Model Pos Fidelity,Model Neg Fidelity,Unfaithfulness,Exp Size Percent
Cora,Beta,16,0.101181684,0.080132939,0.104874446,0.082717873,1,0.504736643
Cora,Beta,15,0.098227474,0.084564254,0.103397341,0.089364845,1,0.512315271
Cora,Beta,17,0.096381093,0.09084195,0.100812408,0.096381093,1,0.500284199
Cora,Beta,19,0.094165436,0.083087149,0.099335303,0.08788774,1,0.512220538
Cora,Beta,37,0.093426883,0.083456425,0.099335303,0.087518464,1,0.514304661
Cora,Beta,40,0.093057607,0.079763663,0.097119645,0.083456425,1,0.510989011
Cora,Beta,44,0.093057607,0.082717873,0.097119645,0.086410635,1,0.518283441
Cora,Beta,11,0.092688331,0.089734121,0.094534712,0.094534712,1,0.50530504
Cora,Beta,27,0.092319055,0.080132939,0.095273264,0.08493353,1,0.507104964
Cora,Beta,1,0.091949778,0.080502216,0.097488922,0.083825702,1,0.499052671
Cora,Beta,8,0.091580502,0.075701625,0.096381093,0.080132939,1,0.509473285
Cora,Beta,13,0.091580502,0.080871492,0.096011817,0.086410635,1,0.505778704
Cora,Beta,18,0.091211226,0.073485968,0.095642541,0.077548006,1,0.506062903
Cora,Beta,45,0.091211226,0.081240768,0.095642541,0.085672083,1,0.510894278
Cora,Beta,14,0.09084195,0.080502216,0.096011817,0.085672083,1,0.507768094
Cora,Beta,39,0.09084195,0.091211226,0.09379616,0.094903988,1,0.512694202
Cora,Beta,47,0.090472674,0.095273264,0.096381093,0.09859675,1,0.511652141
Cora,Beta,2,0.090103397,0.081240768,0.094903988,0.086410635,1,0.500378931
Cora,Beta,49,0.090103397,0.082717873,0.094165436,0.088626292,1,0.512125805
Cora,Beta,41,0.090103397,0.083456425,0.093426883,0.087518464,1,0.516294051
Cora,Beta,21,0.089734121,0.08493353,0.092319055,0.09084195,1,0.504262978
Cora,Beta,36,0.089364845,0.092319055,0.095273264,0.095642541,1,0.516388784
Cora,Beta,23,0.088995569,0.083456425,0.091211226,0.089734121,1,0.510704812
Cora,Beta,22,0.088626292,0.086041359,0.09379616,0.09084195,1,0.503694581
Cora,Beta,46,0.08788774,0.087149188,0.095642541,0.091949778,1,0.506062903
Cora,Beta,5,0.08788774,0.088257016,0.093426883,0.090472674,1,0.50464191
Cora,Beta,34,0.087518464,0.088257016,0.092688331,0.091949778,1,0.519988632
Cora,Beta,20,0.086779911,0.083825702,0.092319055,0.087149188,1,0.50795756
Cora,Beta,31,0.086779911,0.084564254,0.091211226,0.089364845,1,0.503789314
Cora,Beta,3,0.086410635,0.084194978,0.092688331,0.086779911,1,0.506915498
Cora,Beta,12,0.086410635,0.086779911,0.094165436,0.089734121,1,0.506536567
Cora,Beta,6,0.086410635,0.087149188,0.09084195,0.090103397,1,0.495737022
Cora,Beta,38,0.086041359,0.079394387,0.089734121,0.083456425,1,0.517620311
Cora,Beta,32,0.085672083,0.086410635,0.091949778,0.090103397,1,0.509757484
Cora,Beta,7,0.085302806,0.080132939,0.089364845,0.08493353,1,0.50198939
Cora,Beta,48,0.085302806,0.083456425,0.089734121,0.08788774,1,0.514304661
Cora,Beta,26,0.085302806,0.087149188,0.089364845,0.093057607,1,0.51193634
Cora,Beta,28,0.08493353,0.079763663,0.088626292,0.08493353,1,0.507768094
Cora,Beta,4,0.08493353,0.083087149,0.088257016,0.087149188,1,0.497821144
Cora,Beta,30,0.08493353,0.085302806,0.089364845,0.089734121,1,0.512883668
Cora,Beta,43,0.08493353,0.086041359,0.088995569,0.09084195,1,0.512599469
Cora,Beta,42,0.083825702,0.090103397,0.088626292,0.094534712,1,0.518283441
Cora,Beta,33,0.083825702,0.095273264,0.088626292,0.099704579,1,0.512504737
Cora,Beta,25,0.083456425,0.090472674,0.086041359,0.094903988,1,0.514588859
Cora,Beta,50,0.081979321,0.08493353,0.08493353,0.091211226,1,0.513167867
Cora,Beta,35,0.081979321,0.087149188,0.085672083,0.091949778,1,0.511462675
Cora,Beta,29,0.081610044,0.093426883,0.08493353,0.097858198,1,0.511557408
Cora,Beta,10,0.080132939,0.08788774,0.084194978,0.091211226,1,0.499905267
Cora,Beta,24,0.079394387,0.085672083,0.083087149,0.091949778,1,0.505873437
Cora,Beta,9,0.079025111,0.084194978,0.083825702,0.089734121,1,0.5066313
