Dataset,Explainer,Seed,Phen Pos Fidelity,Phen Neg Fidelity,Model Pos Fidelity,Model Neg Fidelity,Unfaithfulness,Exp Size Percent
Texas,Beta,79691,0.016393443,0.021857923,0.016393443,0.027322404,0.903298818,0.686153846
Texas,Beta,19709,0.021857923,0.010928962,0.021857923,0.016393443,0.897844978,0.673846154
Texas,Beta,40177,0.027322404,0.005464481,0.032786885,0.005464481,0.716275007,0.723076923
Texas,Beta,36482,0.027322404,0.010928962,0.027322404,0.016393443,0.87831673,0.692307692
Texas,Beta,75011,0.021857923,0.016393443,0.021857923,0.021857923,0.95419661,0.68
Texas,Beta,77644,0.021857923,0.021857923,0.027322404,0.021857923,0.967808705,0.670769231
Texas,Beta,61872,0.016393443,0.016393443,0.016393443,0.021857923,0.903817669,0.692307692
Texas,Beta,65814,0.021857923,0.021857923,0.021857923,0.027322404,0.947010811,0.676923077
Texas,Beta,81844,0.016393443,0.016393443,0.016393443,0.021857923,0.892287597,0.683076923
Texas,Beta,20109,0.021857923,0.021857923,0.021857923,0.027322404,0.947840191,0.655384615
