Dataset,Explainer,Run,Phen Pos Fidelity,Phen Neg Fidelity,Model Pos Fidelity,Model Neg Fidelity,Unfaithfulness,Exp Size Percent
Texas,Beta,16,0.032786885,0.005464481,0.038251366,0.005464481,0.990564789,0.627692308
Texas,Beta,2,0.032786885,0.010928962,0.038251366,0.010928962,0.99999979,0.476923077
Texas,Beta,14,0.027322404,0.005464481,0.027322404,0.010928962,0.995361297,0.649230769
Texas,Beta,40,0.027322404,0.010928962,0.027322404,0.016393443,0.908220991,0.707692308
Texas,Beta,10,0.027322404,0.010928962,0.027322404,0.016393443,0.999731886,0.6
Texas,Beta,33,0.027322404,0.027322404,0.032786885,0.027322404,0.96114682,0.664615385
Texas,Beta,4,0.021857923,0.005464481,0.027322404,0.005464481,0.999989147,0.581538462
Texas,Beta,37,0.021857923,0.005464481,0.021857923,0.010928962,0.849531382,0.692307692
Texas,Beta,32,0.021857923,0.005464481,0.021857923,0.010928962,0.928211451,0.68
Texas,Beta,35,0.021857923,0.010928962,0.027322404,0.010928962,0.943833865,0.683076923
Texas,Beta,15,0.021857923,0.010928962,0.027322404,0.010928962,0.994296224,0.68
Texas,Beta,48,0.021857923,0.010928962,0.021857923,0.016393443,0.832772344,0.673846154
Texas,Beta,39,0.021857923,0.010928962,0.021857923,0.016393443,0.959252238,0.695384615
Texas,Beta,1,0.021857923,0.010928962,0.021857923,0.016393443,0.999989549,0.556923077
Texas,Beta,19,0.021857923,0.016393443,0.027322404,0.016393443,0.995617455,0.670769231
Texas,Beta,12,0.021857923,0.016393443,0.027322404,0.016393443,0.999894118,0.544615385
Texas,Beta,47,0.021857923,0.021857923,0.027322404,0.021857923,0.958187923,0.68
Texas,Beta,44,0.021857923,0.021857923,0.021857923,0.027322404,0.941774156,0.646153846
Texas,Beta,9,0.016393443,0.005464481,0.021857923,0.005464481,0.99974862,0.575384615
Texas,Beta,28,0.016393443,0.005464481,0.016393443,0.010928962,0.89443361,0.686153846
Texas,Beta,42,0.016393443,0.010928962,0.016393443,0.016393443,0.924697086,0.683076923
Texas,Beta,34,0.016393443,0.010928962,0.016393443,0.016393443,0.928048536,0.704615385
Texas,Beta,38,0.016393443,0.010928962,0.016393443,0.016393443,0.96131013,0.658461538
Texas,Beta,23,0.016393443,0.010928962,0.016393443,0.016393443,0.971730804,0.643076923
Texas,Beta,21,0.016393443,0.016393443,0.021857923,0.016393443,0.967250172,0.658461538
Texas,Beta,7,0.016393443,0.016393443,0.021857923,0.016393443,0.999963546,0.572307692
Texas,Beta,6,0.016393443,0.016393443,0.021857923,0.016393443,0.999993898,0.538461538
Texas,Beta,43,0.016393443,0.016393443,0.016393443,0.021857923,0.926900089,0.692307692
Texas,Beta,17,0.016393443,0.016393443,0.016393443,0.021857923,0.993123738,0.664615385
Texas,Beta,13,0.016393443,0.016393443,0.016393443,0.021857923,0.994213523,0.612307692
Texas,Beta,24,0.016393443,0.021857923,0.021857923,0.021857923,0.93399775,0.621538462
Texas,Beta,5,0.016393443,0.021857923,0.021857923,0.021857923,0.999998209,0.516923077
Texas,Beta,45,0.016393443,0.021857923,0.016393443,0.027322404,0.927326031,0.683076923
Texas,Beta,36,0.016393443,0.021857923,0.016393443,0.027322404,0.97228645,0.649230769
Texas,Beta,22,0.016393443,0.021857923,0.016393443,0.027322404,0.981126303,0.658461538
Texas,Beta,50,0.016393443,0.027322404,0.021857923,0.027322404,0.919113591,0.704615385
Texas,Beta,25,0.016393443,0.027322404,0.021857923,0.027322404,0.958019733,0.661538462
Texas,Beta,29,0.016393443,0.027322404,0.016393443,0.032786885,0.94625387,0.707692308
Texas,Beta,8,0.016393443,0.027322404,0.016393443,0.032786885,0.999985009,0.538461538
Texas,Beta,11,0.010928962,0.010928962,0.010928962,0.016393443,0.998786684,0.624615385
Texas,Beta,31,0.010928962,0.016393443,0.016393443,0.016393443,0.939091209,0.636923077
Texas,Beta,20,0.010928962,0.016393443,0.010928962,0.021857923,0.969641862,0.68
Texas,Beta,18,0.010928962,0.016393443,0.010928962,0.021857923,0.986189838,0.664615385
Texas,Beta,46,0.010928962,0.021857923,0.010928962,0.027322404,0.971347759,0.729230769
Texas,Beta,30,0.010928962,0.027322404,0.016393443,0.027322404,0.961445455,0.701538462
Texas,Beta,49,0.010928962,0.027322404,0.010928962,0.032786885,0.969714899,0.68
Texas,Beta,26,0.010928962,0.027322404,0.010928962,0.032786885,0.991949096,0.621538462
Texas,Beta,27,0.010928962,0.032786885,0.016393443,0.032786885,0.988970388,0.670769231
Texas,Beta,3,0.010928962,0.032786885,0.016393443,0.032786885,0.999999144,0.489230769
Texas,Beta,41,0.005464481,0.027322404,0.010928962,0.027322404,0.958532196,0.710769231
