Source,Explainer,Probability,P1,P2,Run
Texas,Beta,0.50316304,56,84,1
Texas,Beta,0.49678296,56,39,1
Texas,Beta,0.50076413,56,9,1
Texas,Beta,0.50372106,56,77,1
Texas,Beta,0.4937394,56,89,1
Texas,Beta,0.49974486,56,61,1
Texas,Beta,0.49702427,56,125,1
Texas,Beta,0.50052154,56,94,1
Texas,Beta,0.5019048,56,64,1
Texas,Beta,0.5011404,56,52,1
Texas,Beta,0.50380796,56,27,1
Texas,Beta,0.5074688,56,112,1
Texas,Beta,0.5003836,56,21,1
Texas,Beta,0.49614823,56,154,1
Texas,Beta,0.500819,56,31,1
Texas,Beta,0.5020041,56,109,1
Texas,Beta,0.5022386,56,57,1
Texas,Beta,0.5026924,56,59,1
Texas,Beta,0.5015716,56,22,1
Texas,Beta,0.49855927,56,90,1
Texas,Beta,0.49929702,56,68,1
Texas,Beta,0.5046016,56,91,1
Texas,Beta,0.49705264,56,63,1
Texas,Beta,0.49780893,56,85,1
Texas,Beta,0.50046885,56,116,1
Texas,Beta,0.5006864,56,32,1
Texas,Beta,0.49696928,56,143,1
Texas,Beta,0.5019413,56,181,1
Texas,Beta,0.49536493,56,54,1
Texas,Beta,0.50100183,56,69,1
Texas,Beta,0.50135183,56,3,1
Texas,Beta,0.5054745,56,139,1
Texas,Beta,0.50114906,56,104,1
Texas,Beta,0.49998057,56,128,1
Texas,Beta,0.49804556,56,137,1
Texas,Beta,0.50176567,56,172,1
Texas,Beta,0.4992251,56,93,1
Texas,Beta,0.50149566,56,179,1
Texas,Beta,0.5013103,56,132,1
Texas,Beta,0.50000095,56,134,1
Texas,Beta,0.5015309,56,178,1
Texas,Beta,0.49897882,56,144,1
Texas,Beta,0.4980107,56,74,1
Texas,Beta,0.49874803,56,46,1
Texas,Beta,0.5016099,56,11,1
Texas,Beta,0.50594556,56,80,1
Texas,Beta,0.49774706,56,124,1
Texas,Beta,0.49896088,56,135,1
Texas,Beta,0.5006237,56,97,1
Texas,Beta,0.49387714,56,98,1
Texas,Beta,0.4947116,56,79,1
Texas,Beta,0.5008789,56,23,1
Texas,Beta,0.49883574,56,118,1
Texas,Beta,0.4969226,56,167,1
Texas,Beta,0.501945,56,131,1
Texas,Beta,0.49823388,56,153,1
Texas,Beta,0.5069549,56,33,1
Texas,Beta,0.49576014,56,149,1
Texas,Beta,0.5053839,56,161,1
Texas,Beta,0.5020289,56,127,1
Texas,Beta,0.5009316,56,34,1
Texas,Beta,0.4999832,56,136,1
Texas,Beta,0.5022773,56,169,1
Texas,Beta,0.50384235,56,150,1
Texas,Beta,0.5033162,56,62,1
Texas,Beta,0.50061846,56,26,1
Texas,Beta,0.5075065,56,82,1
Texas,Beta,0.50117165,56,12,1
Texas,Beta,0.4978976,56,47,1
Texas,Beta,0.49957526,56,166,1
Texas,Beta,0.49886006,56,171,1
Texas,Beta,0.49977192,56,6,1
Texas,Beta,0.49825156,56,17,1
Texas,Beta,0.5027078,56,53,1
Texas,Beta,0.50234765,56,117,1
Texas,Beta,0.50570005,56,87,1
Texas,Beta,0.5005708,56,146,1
Texas,Beta,0.50096077,56,49,1
Texas,Beta,0.49561265,56,159,1
Texas,Beta,0.50217956,56,119,1
Texas,Beta,0.49577978,56,170,1
Texas,Beta,0.49348652,56,38,1
Texas,Beta,0.50106895,56,55,1
Texas,Beta,0.50246704,56,30,1
Texas,Beta,0.49839893,56,165,1
Texas,Beta,0.50078505,56,103,1
Texas,Beta,0.5028436,56,155,1
Texas,Beta,0.50286895,56,110,1
Texas,Beta,0.50167894,56,16,1
Texas,Beta,0.5005493,56,44,1
Texas,Beta,0.49886647,56,75,1
Texas,Beta,0.5036147,56,41,1
Texas,Beta,0.5032909,56,29,1
Texas,Beta,0.50066936,56,35,1
Texas,Beta,0.5019854,56,65,1
Texas,Beta,0.5014896,56,19,1
Texas,Beta,0.5004228,56,142,1
Texas,Beta,0.5008748,56,129,1
Texas,Beta,0.50040835,56,37,1
Texas,Beta,0.5003488,56,24,1
Texas,Beta,0.4980857,56,43,1
Texas,Beta,0.4960994,56,5,1
Texas,Beta,0.49839434,56,81,1
Texas,Beta,0.5021407,56,147,1
Texas,Beta,0.50167924,84,31,1
Texas,Beta,0.49998048,84,23,1
Texas,Beta,0.50199836,84,153,1
Texas,Beta,0.5011462,84,127,1
Texas,Beta,0.49584013,84,34,1
Texas,Beta,0.50609666,84,62,1
Texas,Beta,0.501579,84,47,1
Texas,Beta,0.5015074,84,147,1
Texas,Beta,0.50301546,39,140,1
Texas,Beta,0.49985835,106,9,1
Texas,Beta,0.49949506,89,151,1
Texas,Beta,0.5023779,61,84,1
Texas,Beta,0.5051622,114,49,1
Texas,Beta,0.49998724,83,39,1
Texas,Beta,0.4959123,83,140,1
Texas,Beta,0.50532746,83,37,1
Texas,Beta,0.5003819,125,54,1
Texas,Beta,0.49989673,64,82,1
Texas,Beta,0.506293,10,108,1
Texas,Beta,0.5050924,182,29,1
Texas,Beta,0.5001842,140,39,1
Texas,Beta,0.49401578,140,83,1
Texas,Beta,0.50308347,140,90,1
Texas,Beta,0.5009167,45,45,1
Texas,Beta,0.49227723,45,108,1
Texas,Beta,0.49618238,108,45,1
Texas,Beta,0.5029066,108,11,1
Texas,Beta,0.49929574,108,72,1
Texas,Beta,0.4984819,73,73,1
Texas,Beta,0.5006383,73,158,1
Texas,Beta,0.5035431,73,66,1
Texas,Beta,0.5030035,158,73,1
Texas,Beta,0.50471604,107,108,1
Texas,Beta,0.5019026,126,18,1
Texas,Beta,0.49533778,126,16,1
