Dataset,Explainer,Run,Phen Pos Fidelity,Phen Neg Fidelity,Model Pos Fidelity,Model Neg Fidelity,Unfaithfulness,Exp Size Percent
Wisconsin,GNN,39,0.03187251,0.007968127,0.03187251,0.007968127,0.999667038,0.487378641
Wisconsin,GNN,16,0.023904382,0.003984064,0.027888446,0.003984064,0.999844729,0.469902913
Wisconsin,GNN,9,0.023904382,0.011952191,0.027888446,0.011952191,0.999751814,0.485436893
Wisconsin,GNN,19,0.023904382,0.011952191,0.027888446,0.011952191,0.999829259,0.483495146
Wisconsin,GNN,48,0.023904382,0.015936255,0.023904382,0.019920319,0.999868593,0.47961165
Wisconsin,GNN,50,0.019920319,0.003984064,0.023904382,0.003984064,0.998727919,0.553398058
Wisconsin,GNN,24,0.019920319,0.007968127,0.019920319,0.007968127,0.99929293,0.516504854
Wisconsin,GNN,2,0.019920319,0.007968127,0.019920319,0.007968127,0.999691566,0.497087379
Wisconsin,GNN,27,0.019920319,0.011952191,0.019920319,0.011952191,0.999468882,0.510679612
Wisconsin,GNN,45,0.019920319,0.011952191,0.019920319,0.011952191,0.999871942,0.47961165
Wisconsin,GNN,6,0.019920319,0.011952191,0.019920319,0.011952191,0.999983776,0.466019417
Wisconsin,GNN,29,0.019920319,0.011952191,0.019920319,0.015936255,0.999568677,0.462135922
Wisconsin,GNN,1,0.019920319,0.011952191,0.019920319,0.015936255,0.999935409,0.506796117
Wisconsin,GNN,47,0.019920319,0.015936255,0.019920319,0.015936255,0.999854894,0.506796117
Wisconsin,GNN,3,0.019920319,0.019920319,0.023904382,0.019920319,0.999966895,0.508737864
Wisconsin,GNN,11,0.019920319,0.019920319,0.019920319,0.023904382,0.999841052,0.495145631
Wisconsin,GNN,44,0.015936255,0.011952191,0.015936255,0.015936255,0.999500537,0.499029126
Wisconsin,GNN,4,0.015936255,0.015936255,0.019920319,0.015936255,0.999510763,0.47961165
Wisconsin,GNN,23,0.015936255,0.015936255,0.019920319,0.015936255,0.999893692,0.444660194
Wisconsin,GNN,34,0.015936255,0.015936255,0.019920319,0.015936255,0.999917325,0.450485437
Wisconsin,GNN,42,0.015936255,0.015936255,0.015936255,0.015936255,0.999310073,0.473786408
Wisconsin,GNN,33,0.015936255,0.015936255,0.015936255,0.015936255,0.999769897,0.485436893
Wisconsin,GNN,12,0.015936255,0.015936255,0.015936255,0.015936255,0.999909271,0.495145631
Wisconsin,GNN,22,0.015936255,0.015936255,0.015936255,0.015936255,0.99997243,0.495145631
Wisconsin,GNN,7,0.015936255,0.015936255,0.015936255,0.019920319,0.999843031,0.473786408
Wisconsin,GNN,26,0.015936255,0.023904382,0.019920319,0.023904382,0.999830425,0.495145631
Wisconsin,GNN,28,0.015936255,0.023904382,0.019920319,0.023904382,0.999932642,0.452427184
Wisconsin,GNN,21,0.015936255,0.023904382,0.015936255,0.027888446,0.999814272,0.473786408
Wisconsin,GNN,30,0.011952191,0.011952191,0.011952191,0.011952191,0.999809426,0.52815534
Wisconsin,GNN,43,0.011952191,0.011952191,0.011952191,0.011952191,0.999918754,0.473786408
Wisconsin,GNN,14,0.011952191,0.015936255,0.011952191,0.015936255,0.999871022,0.504854369
Wisconsin,GNN,5,0.011952191,0.015936255,0.011952191,0.015936255,0.999951466,0.448543689
Wisconsin,GNN,37,0.011952191,0.015936255,0.011952191,0.019920319,0.999959116,0.47961165
Wisconsin,GNN,38,0.011952191,0.019920319,0.011952191,0.019920319,0.999191992,0.489320388
Wisconsin,GNN,36,0.011952191,0.019920319,0.011952191,0.019920319,0.999602771,0.506796117
Wisconsin,GNN,41,0.011952191,0.019920319,0.011952191,0.023904382,0.999972064,0.454368932
Wisconsin,GNN,17,0.011952191,0.023904382,0.011952191,0.027888446,0.999963444,0.462135922
Wisconsin,GNN,25,0.011952191,0.027888446,0.011952191,0.027888446,0.999943383,0.497087379
Wisconsin,GNN,13,0.007968127,0.011952191,0.011952191,0.011952191,0.999783807,0.506796117
Wisconsin,GNN,8,0.007968127,0.015936255,0.007968127,0.015936255,0.999919064,0.489320388
Wisconsin,GNN,15,0.007968127,0.015936255,0.007968127,0.015936255,0.999928432,0.47184466
Wisconsin,GNN,20,0.007968127,0.015936255,0.007968127,0.015936255,0.99996131,0.493203883
Wisconsin,GNN,46,0.007968127,0.019920319,0.011952191,0.019920319,0.999902778,0.444660194
Wisconsin,GNN,31,0.007968127,0.019920319,0.007968127,0.019920319,0.999791561,0.502912621
Wisconsin,GNN,32,0.007968127,0.027888446,0.007968127,0.027888446,0.999887241,0.475728155
Wisconsin,GNN,18,0.007968127,0.027888446,0.007968127,0.027888446,0.999949698,0.487378641
Wisconsin,GNN,35,0.007968127,0.027888446,0.007968127,0.027888446,0.99998328,0.436893204
Wisconsin,GNN,40,0.007968127,0.03187251,0.007968127,0.035856574,0.999601418,0.489320388
Wisconsin,GNN,49,0.003984064,0.027888446,0.003984064,0.027888446,0.999945297,0.504854369
Wisconsin,GNN,10,0.003984064,0.039840637,0.003984064,0.039840637,0.999964671,0.46407767
