Source,Explainer,Probability,P1,P2,Run
Texas,Beta,0.48819178,56,84,1
Texas,Beta,0.5059854,56,39,1
Texas,Beta,0.5075516,56,9,1
Texas,Beta,0.50524026,56,77,1
Texas,Beta,0.5496382,56,89,1
Texas,Beta,0.53249294,56,61,1
Texas,Beta,0.5129366,56,125,1
Texas,Beta,0.47602206,56,94,1
Texas,Beta,0.51239634,56,64,1
Texas,Beta,0.4811794,56,52,1
Texas,Beta,0.5273637,56,27,1
Texas,Beta,0.53427875,56,112,1
Texas,Beta,0.47590253,56,21,1
Texas,Beta,0.5305639,56,154,1
Texas,Beta,0.49036855,56,31,1
Texas,Beta,0.47242343,56,109,1
Texas,Beta,0.5058848,56,57,1
Texas,Beta,0.50516117,56,59,1
Texas,Beta,0.48517948,56,22,1
Texas,Beta,0.4601438,56,90,1
Texas,Beta,0.49016953,56,68,1
Texas,Beta,0.48564184,56,91,1
Texas,Beta,0.5651511,56,63,1
Texas,Beta,0.4519916,56,85,1
Texas,Beta,0.47754464,56,116,1
Texas,Beta,0.5012372,56,32,1
Texas,Beta,0.54496664,56,143,1
Texas,Beta,0.5100607,56,181,1
Texas,Beta,0.48854688,56,54,1
Texas,Beta,0.49731934,56,69,1
Texas,Beta,0.5344317,56,3,1
Texas,Beta,0.53269774,56,139,1
Texas,Beta,0.48867017,56,104,1
Texas,Beta,0.4917285,56,128,1
Texas,Beta,0.5128934,56,137,1
Texas,Beta,0.5050268,56,172,1
Texas,Beta,0.4491318,56,93,1
Texas,Beta,0.4698482,56,179,1
Texas,Beta,0.4654918,56,132,1
Texas,Beta,0.45507002,56,134,1
Texas,Beta,0.4622223,56,178,1
Texas,Beta,0.48306298,56,144,1
Texas,Beta,0.53025365,56,74,1
Texas,Beta,0.5422951,56,46,1
Texas,Beta,0.5255994,56,11,1
Texas,Beta,0.5018489,56,80,1
Texas,Beta,0.5191756,56,124,1
Texas,Beta,0.46707025,56,135,1
Texas,Beta,0.5022949,56,97,1
Texas,Beta,0.4698259,56,98,1
Texas,Beta,0.4656671,56,79,1
Texas,Beta,0.47448814,56,23,1
Texas,Beta,0.4990827,56,118,1
Texas,Beta,0.48254448,56,167,1
Texas,Beta,0.48696366,56,131,1
Texas,Beta,0.4640317,56,153,1
Texas,Beta,0.43637753,56,33,1
Texas,Beta,0.5546359,56,149,1
Texas,Beta,0.48025703,56,161,1
Texas,Beta,0.4808293,56,127,1
Texas,Beta,0.5144579,56,34,1
Texas,Beta,0.4931425,56,136,1
Texas,Beta,0.47802725,56,169,1
Texas,Beta,0.51255715,56,150,1
Texas,Beta,0.49157158,56,62,1
Texas,Beta,0.4698897,56,26,1
Texas,Beta,0.49582353,56,82,1
Texas,Beta,0.45846182,56,12,1
Texas,Beta,0.48335913,56,47,1
Texas,Beta,0.5184892,56,166,1
Texas,Beta,0.46870732,56,171,1
Texas,Beta,0.4207173,56,6,1
Texas,Beta,0.48646176,56,17,1
Texas,Beta,0.415414,56,53,1
Texas,Beta,0.4709711,56,117,1
Texas,Beta,0.47285885,56,87,1
Texas,Beta,0.4984715,56,146,1
Texas,Beta,0.47224483,56,49,1
Texas,Beta,0.46864608,56,159,1
Texas,Beta,0.4585875,56,119,1
Texas,Beta,0.50191265,56,170,1
Texas,Beta,0.52691674,56,38,1
Texas,Beta,0.50887996,56,55,1
Texas,Beta,0.52672833,56,30,1
Texas,Beta,0.5100318,56,165,1
Texas,Beta,0.46589732,56,103,1
Texas,Beta,0.43891773,56,155,1
Texas,Beta,0.44890118,56,110,1
Texas,Beta,0.4741496,56,16,1
Texas,Beta,0.538626,56,44,1
Texas,Beta,0.44334307,56,75,1
Texas,Beta,0.5133081,56,41,1
Texas,Beta,0.49344406,56,29,1
Texas,Beta,0.49049655,56,35,1
Texas,Beta,0.49748793,56,65,1
Texas,Beta,0.5529632,56,19,1
Texas,Beta,0.52335495,56,142,1
Texas,Beta,0.4991748,56,129,1
Texas,Beta,0.4889896,56,37,1
Texas,Beta,0.49958223,56,24,1
Texas,Beta,0.48790845,56,43,1
Texas,Beta,0.49558786,56,5,1
Texas,Beta,0.46710292,56,81,1
Texas,Beta,0.4758192,56,147,1
Texas,Beta,0.5248052,84,31,1
Texas,Beta,0.5085972,84,23,1
Texas,Beta,0.4968336,84,153,1
Texas,Beta,0.51508087,84,127,1
Texas,Beta,0.5482,84,34,1
Texas,Beta,0.52486575,84,62,1
Texas,Beta,0.51787764,84,47,1
Texas,Beta,0.5097455,84,147,1
Texas,Beta,0.510873,39,140,1
Texas,Beta,0.587276,106,9,1
Texas,Beta,0.5553477,89,151,1
Texas,Beta,0.4732561,61,84,1
Texas,Beta,0.49768412,114,49,1
Texas,Beta,0.513972,83,39,1
Texas,Beta,0.50562567,83,140,1
Texas,Beta,0.49654296,83,37,1
Texas,Beta,0.5130937,125,54,1
Texas,Beta,0.5079933,64,82,1
Texas,Beta,0.54298276,10,108,1
Texas,Beta,0.5267714,182,29,1
Texas,Beta,0.5131473,140,39,1
Texas,Beta,0.50009775,140,83,1
Texas,Beta,0.4670749,140,90,1
Texas,Beta,0.5173527,45,45,1
Texas,Beta,0.4901302,45,108,1
Texas,Beta,0.49360308,108,45,1
Texas,Beta,0.5134316,108,11,1
Texas,Beta,0.5246335,108,72,1
Texas,Beta,0.5244196,73,73,1
Texas,Beta,0.47134325,73,158,1
Texas,Beta,0.48693696,73,66,1
Texas,Beta,0.51886594,158,73,1
Texas,Beta,0.48518553,107,108,1
Texas,Beta,0.48718706,126,18,1
Texas,Beta,0.46997172,126,16,1
Texas,Beta,0.4891879,126,29,1
Texas,Beta,0.47981694,57,22,1
Texas,Beta,0.50553244,57,67,1
Texas,Beta,0.49710456,57,170,1
Texas,Beta,0.5048967,57,165,1
Texas,Beta,0.44413593,57,110,1
Texas,Beta,0.5009363,57,15,1
Texas,Beta,0.49225307,57,65,1
Texas,Beta,0.44492745,59,159,1
Texas,Beta,0.45211503,59,16,1
Texas,Beta,0.52024734,120,140,1
Texas,Beta,0.53988016,120,156,1
Texas,Beta,0.54321027,156,156,1
Texas,Beta,0.4789918,99,94,1
Texas,Beta,0.46751767,99,132,1
Texas,Beta,0.46903187,99,79,1
Texas,Beta,0.4999795,90,140,1
Texas,Beta,0.4606867,90,90,1
Texas,Beta,0.47783032,63,58,1
Texas,Beta,0.44886327,175,175,1
Texas,Beta,0.4812771,85,16,1
Texas,Beta,0.4403295,111,85,1
Texas,Beta,0.5217997,0,58,1
Texas,Beta,0.4886987,0,121,1
Texas,Beta,0.49666083,141,116,1
Texas,Beta,0.5047316,141,48,1
Texas,Beta,0.49227303,116,76,1
Texas,Beta,0.50584835,54,125,1
Texas,Beta,0.46788427,139,18,1
Texas,Beta,0.52786726,18,126,1
Texas,Beta,0.4830602,172,113,1
Texas,Beta,0.49847236,1,80,1
Texas,Beta,0.4498939,148,148,1
Texas,Beta,0.5058535,148,146,1
Texas,Beta,0.47621518,148,159,1
Texas,Beta,0.50994337,134,134,1
Texas,Beta,0.5242358,144,82,1
Texas,Beta,0.49242333,105,144,1
Texas,Beta,0.4887328,180,84,1
Texas,Beta,0.47754467,180,180,1
Texas,Beta,0.48480693,180,47,1
Texas,Beta,0.4730563,180,66,1
Texas,Beta,0.47445512,60,21,1
Texas,Beta,0.47320947,60,16,1
Texas,Beta,0.4857666,36,21,1
Texas,Beta,0.5286097,36,60,1
Texas,Beta,0.492796,74,22,1
Texas,Beta,0.49335596,74,48,1
Texas,Beta,0.5095709,46,95,1
Texas,Beta,0.42214635,4,164,1
Texas,Beta,0.44265693,4,66,1
Texas,Beta,0.46646774,4,146,1
Texas,Beta,0.51653606,164,146,1
Texas,Beta,0.45280492,11,94,1
Texas,Beta,0.45599756,11,108,1
Texas,Beta,0.46506968,80,66,1
Texas,Beta,0.47816133,176,80,1
Texas,Beta,0.5142816,28,80,1
Texas,Beta,0.50965625,28,146,1
Texas,Beta,0.5179391,122,167,1
Texas,Beta,0.49229467,163,163,1
Texas,Beta,0.44458526,163,58,1
Texas,Beta,0.46631593,79,82,1
Texas,Beta,0.51820177,23,127,1
Texas,Beta,0.5118425,23,147,1
Texas,Beta,0.5524828,151,89,1
Texas,Beta,0.47478047,151,66,1
Texas,Beta,0.51967084,151,152,1
Texas,Beta,0.50641125,133,64,1
Texas,Beta,0.4566661,133,178,1
Texas,Beta,0.49031523,133,82,1
Texas,Beta,0.4681414,133,16,1
Texas,Beta,0.50960267,173,84,1
Texas,Beta,0.36464313,173,96,1
Texas,Beta,0.4685285,173,175,1
Texas,Beta,0.50838184,173,131,1
Texas,Beta,0.529058,173,55,1
Texas,Beta,0.5394181,173,145,1
Texas,Beta,0.50883853,173,8,1
Texas,Beta,0.5182135,131,84,1
Texas,Beta,0.5352564,131,138,1
Texas,Beta,0.5322062,131,168,1
Texas,Beta,0.47243398,131,100,1
Texas,Beta,0.5017518,131,66,1
Texas,Beta,0.5118371,168,131,1
Texas,Beta,0.46831772,100,131,1
Texas,Beta,0.43897203,51,116,1
Texas,Beta,0.54782593,161,116,1
Texas,Beta,0.48142236,2,8,1
Texas,Beta,0.51835227,127,84,1
Texas,Beta,0.5204377,127,31,1
Texas,Beta,0.5053127,127,23,1
Texas,Beta,0.49295497,127,153,1
Texas,Beta,0.5219216,127,62,1
Texas,Beta,0.49849814,127,171,1
Texas,Beta,0.5382045,127,55,1
Texas,Beta,0.53037465,127,129,1
Texas,Beta,0.48095244,34,84,1
Texas,Beta,0.5066188,34,34,1
Texas,Beta,0.4653841,34,66,1
Texas,Beta,0.41725016,42,93,1
Texas,Beta,0.48271054,42,34,1
Texas,Beta,0.52739465,7,14,1
Texas,Beta,0.52456355,7,34,1
Texas,Beta,0.5112507,78,34,1
Texas,Beta,0.4941777,78,146,1
Texas,Beta,0.46406114,50,68,1
Texas,Beta,0.4886551,50,34,1
Texas,Beta,0.48642516,50,150,1
Texas,Beta,0.53862834,58,163,1
Texas,Beta,0.48059925,58,119,1
Texas,Beta,0.49488202,58,13,1
Texas,Beta,0.495877,58,102,1
Texas,Beta,0.5273633,58,88,1
Texas,Beta,0.51563925,67,67,1
Texas,Beta,0.53699166,177,84,1
Texas,Beta,0.56549907,177,156,1
Texas,Beta,0.53173137,177,167,1
Texas,Beta,0.5382806,82,64,1
Texas,Beta,0.50943166,82,144,1
Texas,Beta,0.49220327,82,79,1
Texas,Beta,0.52505964,82,133,1
Texas,Beta,0.48914063,47,84,1
Texas,Beta,0.47712713,47,180,1
Texas,Beta,0.49204296,95,157,1
Texas,Beta,0.559457,95,46,1
Texas,Beta,0.5020315,95,95,1
Texas,Beta,0.48991144,95,66,1
Texas,Beta,0.49513257,95,76,1
Texas,Beta,0.5835287,66,86,1
Texas,Beta,0.53322375,72,108,1
Texas,Beta,0.48631734,171,84,1
Texas,Beta,0.47092953,171,66,1
Texas,Beta,0.48077935,171,113,1
Texas,Beta,0.41791803,171,6,1
Texas,Beta,0.49675015,171,129,1
Texas,Beta,0.52158076,17,29,1
Texas,Beta,0.54468757,86,86,1
Texas,Beta,0.45980117,53,71,1
Texas,Beta,0.4755583,117,146,1
Texas,Beta,0.49082637,87,116,1
Texas,Beta,0.51785797,159,59,1
Texas,Beta,0.52451134,159,150,1
Texas,Beta,0.5510929,159,44,1
Texas,Beta,0.52539504,119,58,1
Texas,Beta,0.46017665,55,116,1
Texas,Beta,0.5176913,30,146,1
Texas,Beta,0.48917827,30,159,1
Texas,Beta,0.5164646,25,84,1
Texas,Beta,0.51044637,25,167,1
Texas,Beta,0.44259107,145,168,1
Texas,Beta,0.52917475,160,116,1
Texas,Beta,0.524729,40,24,1
Texas,Beta,0.48160064,13,58,1
Texas,Beta,0.48538888,13,13,1
Texas,Beta,0.5373312,123,16,1
Texas,Beta,0.42182267,44,159,1
Texas,Beta,0.4974154,70,147,1
