,Source,Explainer,Probability,P1,P2,Run
0,Wisconsin,Beta,0.62708205,63,78,1
1,Wisconsin,Beta,0.53058267,63,92,1
2,Wisconsin,Beta,0.55277693,27,63,1
3,Wisconsin,Beta,0.47240302,27,111,1
4,Wisconsin,Beta,0.73768145,110,12,1
5,Wisconsin,Beta,0.59296614,98,63,1
6,Wisconsin,Beta,0.59790754,98,27,1
7,Wisconsin,Beta,0.522543,98,244,1
8,Wisconsin,Beta,0.5270249,98,147,1
9,Wisconsin,Beta,0.53518957,98,86,1
10,Wisconsin,Beta,0.6436928,98,163,1
11,Wisconsin,Beta,0.556721,98,132,1
12,Wisconsin,Beta,0.64742416,98,175,1
13,Wisconsin,Beta,0.61621267,98,19,1
14,Wisconsin,Beta,0.5225011,98,17,1
15,Wisconsin,Beta,0.57311374,98,190,1
16,Wisconsin,Beta,0.61127394,98,102,1
17,Wisconsin,Beta,0.5770369,98,114,1
18,Wisconsin,Beta,0.57416934,98,170,1
19,Wisconsin,Beta,0.5052966,98,243,1
20,Wisconsin,Beta,0.5459286,98,6,1
21,Wisconsin,Beta,0.53687435,98,57,1
22,Wisconsin,Beta,0.594759,98,67,1
23,Wisconsin,Beta,0.50140136,98,211,1
24,Wisconsin,Beta,0.4930103,98,29,1
25,Wisconsin,Beta,0.5100793,98,33,1
26,Wisconsin,Beta,0.56941444,98,144,1
27,Wisconsin,Beta,0.50415415,98,109,1
28,Wisconsin,Beta,0.67670286,98,96,1
29,Wisconsin,Beta,0.54230726,98,204,1
30,Wisconsin,Beta,0.5542947,98,52,1
31,Wisconsin,Beta,0.5269745,98,59,1
32,Wisconsin,Beta,0.46062294,98,60,1
33,Wisconsin,Beta,0.6086293,98,4,1
34,Wisconsin,Beta,0.5079061,98,131,1
35,Wisconsin,Beta,0.60540706,98,174,1
36,Wisconsin,Beta,0.6421891,98,113,1
37,Wisconsin,Beta,0.6270416,98,82,1
38,Wisconsin,Beta,0.5691206,98,25,1
39,Wisconsin,Beta,0.6338124,98,54,1
40,Wisconsin,Beta,0.5522544,98,138,1
41,Wisconsin,Beta,0.5574769,98,213,1
42,Wisconsin,Beta,0.51264113,98,41,1
43,Wisconsin,Beta,0.610865,98,177,1
44,Wisconsin,Beta,0.56232727,98,171,1
45,Wisconsin,Beta,0.5586758,98,172,1
46,Wisconsin,Beta,0.5353421,98,125,1
47,Wisconsin,Beta,0.5318711,98,8,1
48,Wisconsin,Beta,0.5946715,98,123,1
49,Wisconsin,Beta,0.49386334,98,145,1
50,Wisconsin,Beta,0.51158166,98,111,1
51,Wisconsin,Beta,0.55177414,98,139,1
52,Wisconsin,Beta,0.5359653,98,137,1
53,Wisconsin,Beta,0.5409371,98,76,1
54,Wisconsin,Beta,0.5402305,98,45,1
55,Wisconsin,Beta,0.5261354,98,238,1
56,Wisconsin,Beta,0.5616587,98,15,1
57,Wisconsin,Beta,0.5850183,98,153,1
58,Wisconsin,Beta,0.4930538,98,32,1
59,Wisconsin,Beta,0.58191246,98,235,1
60,Wisconsin,Beta,0.5950316,98,230,1
61,Wisconsin,Beta,0.6045963,98,237,1
62,Wisconsin,Beta,0.58186877,98,192,1
63,Wisconsin,Beta,0.5042493,98,168,1
64,Wisconsin,Beta,0.49275607,98,173,1
65,Wisconsin,Beta,0.54815555,98,28,1
66,Wisconsin,Beta,0.52523047,98,104,1
67,Wisconsin,Beta,0.57622063,98,124,1
68,Wisconsin,Beta,0.53736067,98,135,1
69,Wisconsin,Beta,0.50100017,98,2,1
70,Wisconsin,Beta,0.52810585,98,68,1
71,Wisconsin,Beta,0.5117013,98,205,1
72,Wisconsin,Beta,0.5648935,98,169,1
73,Wisconsin,Beta,0.59008944,98,229,1
74,Wisconsin,Beta,0.52462524,98,88,1
75,Wisconsin,Beta,0.54407996,98,16,1
76,Wisconsin,Beta,0.5075439,98,157,1
77,Wisconsin,Beta,0.4252181,98,1,1
78,Wisconsin,Beta,0.6667582,98,227,1
79,Wisconsin,Beta,0.55201536,98,154,1
80,Wisconsin,Beta,0.5585216,98,10,1
81,Wisconsin,Beta,0.53398746,98,184,1
82,Wisconsin,Beta,0.5865947,98,22,1
83,Wisconsin,Beta,0.50210744,98,75,1
84,Wisconsin,Beta,0.64520437,98,220,1
85,Wisconsin,Beta,0.5096515,98,216,1
86,Wisconsin,Beta,0.55649585,98,12,1
87,Wisconsin,Beta,0.6377261,98,80,1
88,Wisconsin,Beta,0.48437124,98,146,1
89,Wisconsin,Beta,0.6341084,98,95,1
90,Wisconsin,Beta,0.49097982,98,209,1
91,Wisconsin,Beta,0.6217895,98,94,1
92,Wisconsin,Beta,0.5417889,98,133,1
93,Wisconsin,Beta,0.6461088,98,187,1
94,Wisconsin,Beta,0.66259223,98,55,1
95,Wisconsin,Beta,0.52613103,98,129,1
96,Wisconsin,Beta,0.5920235,98,78,1
97,Wisconsin,Beta,0.5428479,98,189,1
98,Wisconsin,Beta,0.57412213,98,93,1
99,Wisconsin,Beta,0.49255243,98,92,1
100,Wisconsin,Beta,0.5019217,98,182,1
101,Wisconsin,Beta,0.50245136,98,14,1
102,Wisconsin,Beta,0.5813142,98,11,1
103,Wisconsin,Beta,0.52825403,98,47,1
104,Wisconsin,Beta,0.5601686,98,193,1
105,Wisconsin,Beta,0.5426741,98,126,1
106,Wisconsin,Beta,0.564266,98,37,1
107,Wisconsin,Beta,0.49768075,98,40,1
108,Wisconsin,Beta,0.4685545,98,99,1
109,Wisconsin,Beta,0.61596847,98,130,1
110,Wisconsin,Beta,0.5935329,98,18,1
111,Wisconsin,Beta,0.51518154,98,155,1
