Dataset,Explainer,Seed,Phen Pos Fidelity,Phen Neg Fidelity,Model Pos Fidelity,Model Neg Fidelity,Unfaithfulness,Exp Size Percent
Wisconsin,GNN,14000,0.023904382,0.007968127,0.023904382,0.007968127,0.999657454,0.518446602
Wisconsin,GNN,22637,0.019920319,0.011952191,0.019920319,0.011952191,0.999948287,0.481553398
Wisconsin,GNN,48417,0.003984064,0.027888446,0.003984064,0.03187251,0.999982253,0.491262136
Wisconsin,GNN,59358,0.011952191,0.023904382,0.015936255,0.023904382,0.999891201,0.485436893
Wisconsin,GNN,55366,0.015936255,0.019920319,0.015936255,0.019920319,0.999970151,0.452427184
Wisconsin,GNN,41030,0.015936255,0.011952191,0.015936255,0.015936255,0.999293822,0.506796117
Wisconsin,GNN,97558,0.015936255,0.007968127,0.015936255,0.011952191,0.999910839,0.466019417
Wisconsin,GNN,55391,0.011952191,0.019920319,0.011952191,0.023904382,0.999921795,0.47961165
Wisconsin,GNN,34887,0.003984064,0.019920319,0.003984064,0.019920319,0.999909597,0.47961165
Wisconsin,GNN,8559,0.007968127,0.019920319,0.011952191,0.019920319,0.999867258,0.483495146
