Dataset,Run,Explainer,TP,TN,FP,FN,Torch Accuracy,Torch Recall,Torch Precision,Faithfulness,Accuracy,Precision,Recall,Torch F1,F1
25,29,beta,32,115,3,105,0.980000019,1,0.914285719,1,0.576470588,0.914285714,0.233576642,0.955223883,0.372093023
25,30,beta,32,115,3,105,0.980000019,1,0.914285719,1,0.576470588,0.914285714,0.233576642,0.955223883,0.372093023
25,31,beta,32,115,3,105,0.980000019,1,0.914285719,1,0.576470588,0.914285714,0.233576642,0.955223883,0.372093023
25,32,beta,32,115,3,105,0.980000019,1,0.914285719,1,0.576470588,0.914285714,0.233576642,0.955223883,0.372093023
25,33,beta,32,115,3,105,0.980000019,1,0.914285719,1,0.576470588,0.914285714,0.233576642,0.955223883,0.372093023
25,34,beta,32,115,3,105,0.980000019,1,0.914285719,1,0.576470588,0.914285714,0.233576642,0.955223883,0.372093023
25,35,beta,32,115,3,105,0.980000019,1,0.914285719,1,0.576470588,0.914285714,0.233576642,0.955223883,0.372093023
25,36,beta,32,115,3,105,0.980000019,1,0.914285719,1,0.576470588,0.914285714,0.233576642,0.955223883,0.372093023
25,37,beta,32,115,3,105,0.980000019,1,0.914285719,1,0.576470588,0.914285714,0.233576642,0.955223883,0.372093023
25,38,beta,32,115,3,105,0.980000019,1,0.914285719,1,0.576470588,0.914285714,0.233576642,0.955223883,0.372093023
25,39,beta,32,115,3,105,0.980000019,1,0.914285719,1,0.576470588,0.914285714,0.233576642,0.955223883,0.372093023
25,40,beta,32,115,3,105,0.980000019,1,0.914285719,1,0.576470588,0.914285714,0.233576642,0.955223883,0.372093023
25,41,beta,32,115,3,105,0.980000019,1,0.914285719,1,0.576470588,0.914285714,0.233576642,0.955223883,0.372093023
25,42,beta,32,115,3,105,0.980000019,1,0.914285719,1,0.576470588,0.914285714,0.233576642,0.955223883,0.372093023
25,43,beta,32,115,3,105,0.980000019,1,0.914285719,1,0.576470588,0.914285714,0.233576642,0.955223883,0.372093023
25,44,beta,32,115,3,105,0.980000019,1,0.914285719,1,0.576470588,0.914285714,0.233576642,0.955223883,0.372093023
25,45,beta,32,115,3,105,0.980000019,1,0.914285719,1,0.576470588,0.914285714,0.233576642,0.955223883,0.372093023
