Dataset,GT,Probability,P1,P2,Run
25,0,0,7,18,1
25,1,0,9,12,1
25,1,0,9,14,1
25,1,0,9,17,1
25,0,0,9,18,1
25,1,0,9,23,1
25,0,0,9,32,1
25,1,0,9,40,1
25,1,0.5318539,9,51,1
25,1,0,9,54,1
25,1,0.5492052,9,61,1
25,1,0,9,62,1
25,1,0,9,69,1
25,1,0,9,71,1
25,1,0,9,97,1
25,0,0,12,9,1
25,0,0,14,9,1
25,0,0,17,9,1
25,0,0,17,54,1
25,1,0,18,7,1
25,0,0,18,9,1
25,1,0,18,19,1
25,1,0,18,20,1
25,1,0,18,22,1
25,1,0,18,24,1
25,1,0,18,25,1
25,1,0,18,26,1
25,1,0,18,30,1
25,1,0,18,31,1
25,1,0,18,32,1
25,1,0,18,33,1
25,1,0,18,39,1
25,1,0,18,42,1
25,1,0,18,46,1
25,1,0,18,50,1
25,1,0,18,53,1
25,1,0,18,60,1
25,1,0,18,74,1
25,1,0,18,76,1
25,1,0,18,98,1
25,0,0,19,18,1
25,0,0,20,18,1
25,0,0,22,18,1
25,0,0,22,32,1
25,0,0,22,33,1
25,0,0,23,9,1
25,0,0,24,18,1
25,0,0,24,25,1
25,0,0,24,26,1
25,0,0,24,30,1
25,0,0,24,31,1
25,0,0,24,32,1
25,0,0,24,33,1
25,0,0,24,74,1
25,0,0,24,98,1
25,0,0,25,18,1
25,0,0,25,24,1
25,0,0,25,26,1
25,0,0,25,32,1
25,0,0,25,42,1
25,0,0,25,60,1
25,0,0,26,18,1
25,0,0,26,24,1
25,0,0,26,25,1
25,0,0,26,31,1
25,0,0,26,32,1
25,0,0,26,33,1
25,0,0,26,39,1
25,0,0,26,42,1
25,0,0,26,74,1
25,0,0,26,76,1
25,0,0,26,98,1
25,0,0,30,18,1
25,0,0,30,24,1
25,0,0,30,33,1
25,0,0,31,18,1
25,0,0,31,24,1
25,0,0,31,26,1
25,0,0,31,32,1
25,0,0,31,33,1
25,0,0,31,42,1
25,0,0,31,50,1
25,0,0,31,74,1
25,0,0,31,98,1
25,0,0,32,9,1
25,0,0,32,18,1
25,0,0,32,22,1
25,0,0,32,24,1
25,0,0,32,25,1
25,0,0,32,26,1
25,0,0,32,31,1
25,0,0,32,33,1
25,0,0,32,46,1
25,0,0,32,98,1
25,0,0,33,18,1
25,0,0,33,22,1
25,0,0,33,24,1
25,0,0,33,26,1
25,0,0,33,30,1
25,0,0,33,31,1
25,0,0,33,32,1
25,0,0,33,42,1
25,0,0,33,74,1
25,0,0,33,98,1
25,0,0,39,18,1
25,0,0,39,26,1
25,0,0,39,42,1
25,0,0,40,9,1
25,0,0,42,18,1
25,0,0,42,25,1
25,0,0,42,26,1
25,0,0,42,31,1
25,0,0,42,33,1
25,0,0,42,39,1
25,0,0,46,18,1
25,0,0,46,32,1
25,0,0,46,50,1
25,0,0,46,98,1
25,0,0,50,18,1
25,0,0,50,31,1
25,0,0,50,46,1
25,0,0,51,9,1
25,0,0,53,18,1
25,0,0,54,9,1
25,0,0,54,17,1
25,0,0,60,18,1
25,0,0,60,25,1
25,0,0,60,98,1
25,0,0,61,9,1
25,0,0,62,9,1
25,0,0,69,9,1
25,0,0,71,9,1
25,0,0,74,18,1
25,0,0,74,24,1
25,0,0,74,26,1
25,0,0,74,31,1
25,0,0,74,33,1
25,0,0,74,98,1
25,0,0,76,18,1
25,0,0,76,26,1
25,0,0,97,9,1
25,0,0,98,18,1
25,0,0,98,24,1
25,0,0,98,26,1
25,0,0,98,31,1
25,0,0,98,32,1
25,0,0,98,33,1
25,0,0,98,46,1
25,0,0,98,60,1
25,0,0,98,74,1
25,0,0,7,18,2
25,1,0,9,12,2
25,1,0,9,14,2
25,1,0,9,17,2
25,0,0,9,18,2
25,1,0.5366559,9,23,2
25,0,0,9,32,2
25,1,0,9,40,2
25,1,0.57660615,9,51,2
25,1,0,9,54,2
25,1,0,9,61,2
25,1,0,9,62,2
25,1,0,9,69,2
25,1,0,9,71,2
25,1,0,9,97,2
25,0,0,12,9,2
25,0,0,14,9,2
25,0,0,17,9,2
25,0,0,17,54,2
25,1,0,18,7,2
25,0,0,18,9,2
25,1,0,18,19,2
25,1,0,18,20,2
25,1,0,18,22,2
25,1,0,18,24,2
25,1,0,18,25,2
25,1,0,18,26,2
25,1,0,18,30,2
25,1,0,18,31,2
25,1,0,18,32,2
25,1,0,18,33,2
25,1,0,18,39,2
25,1,0,18,42,2
25,1,0,18,46,2
25,1,0,18,50,2
25,1,0,18,53,2
25,1,0,18,60,2
25,1,0,18,74,2
25,1,0,18,76,2
25,1,0,18,98,2
25,0,0,19,18,2
25,0,0,20,18,2
25,0,0,22,18,2
25,0,0,22,32,2
25,0,0,22,33,2
25,0,0,23,9,2
25,0,0,24,18,2
25,0,0,24,25,2
25,0,0,24,26,2
25,0,0,24,30,2
25,0,0,24,31,2
25,0,0,24,32,2
25,0,0,24,33,2
25,0,0,24,74,2
25,0,0,24,98,2
25,0,0,25,18,2
25,0,0,25,24,2
25,0,0,25,26,2
25,0,0,25,32,2
25,0,0,25,42,2
25,0,0,25,60,2
25,0,0,26,18,2
25,0,0,26,24,2
25,0,0,26,25,2
25,0,0,26,31,2
25,0,0,26,32,2
25,0,0,26,33,2
25,0,0,26,39,2
25,0,0,26,42,2
25,0,0,26,74,2
25,0,0,26,76,2
25,0,0,26,98,2
25,0,0,30,18,2
25,0,0,30,24,2
25,0,0,30,33,2
25,0,0,31,18,2
25,0,0,31,24,2
25,0,0,31,26,2
25,0,0,31,32,2
25,0,0,31,33,2
25,0,0,31,42,2
25,0,0,31,50,2
25,0,0,31,74,2
25,0,0,31,98,2
25,0,0,32,9,2
25,0,0,32,18,2
25,0,0,32,22,2
25,0,0,32,24,2
25,0,0,32,25,2
25,0,0,32,26,2
25,0,0,32,31,2
25,0,0,32,33,2
25,0,0,32,46,2
25,0,0,32,98,2
25,0,0,33,18,2
25,0,0,33,22,2
25,0,0,33,24,2
25,0,0,33,26,2
25,0,0,33,30,2
25,0,0,33,31,2
25,0,0,33,32,2
25,0,0,33,42,2
25,0,0,33,74,2
25,0,0,33,98,2
25,0,0,39,18,2
25,0,0,39,26,2
25,0,0,39,42,2
25,0,0,40,9,2
25,0,0,42,18,2
25,0,0,42,25,2
25,0,0,42,26,2
25,0,0,42,31,2
25,0,0,42,33,2
