Run,Prob,GT,P1,P2
1,0,0,7,18
1,0,1,9,12
1,0,1,9,14
1,0,1,9,17
1,0,0,9,18
1,0,1,9,23
1,0,0,9,32
1,0,1,9,40
1,0,1,9,51
1,0,1,9,54
1,0,1,9,61
1,0,1,9,62
1,0,1,9,69
1,0,1,9,71
1,0,1,9,97
1,0,0,12,9
1,0,0,14,9
1,0,0,17,9
1,0,0,17,54
1,0,1,18,7
1,0,0,18,9
1,0,1,18,19
1,0,1,18,20
1,0,1,18,22
1,0,1,18,24
1,0,1,18,25
1,0,1,18,26
1,0,1,18,30
1,0,1,18,31
1,0,1,18,32
1,0,1,18,33
1,0,1,18,39
1,0,1,18,42
1,0,1,18,46
1,0,1,18,50
1,0,1,18,53
1,0,1,18,60
1,0,1,18,74
1,0,1,18,76
1,0,1,18,98
1,0,0,19,18
1,0,0,20,18
1,0,0,22,18
1,0,0,22,32
1,0,0,22,33
1,0,0,23,9
1,0,0,24,18
1,0,0,24,25
1,0,0,24,26
1,0,0,24,30
1,0,0,24,31
1,0,0,24,32
1,0,0,24,33
1,0,0,24,74
1,0,0,24,98
1,0,0,25,18
1,0,0,25,24
1,0,0,25,26
1,0,0,25,32
1,0,0,25,42
1,0,0,25,60
1,0,0,26,18
1,0,0,26,24
1,0,0,26,25
1,0,0,26,31
1,0,0,26,32
1,0,0,26,33
1,0,0,26,39
1,0,0,26,42
1,0,0,26,74
1,0,0,26,76
1,0,0,26,98
1,0,0,30,18
1,0,0,30,24
1,0,0,30,33
1,0,0,31,18
1,0,0,31,24
1,0,0,31,26
1,0,0,31,32
1,0,0,31,33
1,0,0,31,42
1,0,0,31,50
1,0,0,31,74
1,0,0,31,98
1,0,0,32,9
1,0,0,32,18
1,0,0,32,22
1,0,0,32,24
1,0,0,32,25
1,0,0,32,26
1,0,0,32,31
1,0,0,32,33
1,0,0,32,46
1,0,0,32,98
1,0,0,33,18
1,0,0,33,22
1,0,0,33,24
1,0,0,33,26
1,0,0,33,30
1,0,0,33,31
1,0,0,33,32
1,0,0,33,42
1,0,0,33,74
1,0,0,33,98
1,0,0,39,18
1,0,0,39,26
1,0,0,39,42
1,0,0,40,9
1,0,0,42,18
1,0,0,42,25
1,0,0,42,26
1,0,0,42,31
1,0,0,42,33
1,0,0,42,39
1,0,0,46,18
1,0,0,46,32
1,0,0,46,50
1,0,0,46,98
1,0,0,50,18
1,0,0,50,31
1,0,0,50,46
1,0,0,51,9
1,0,0,53,18
1,0,0,54,9
1,0,0,54,17
1,0,0,60,18
1,0,0,60,25
1,0,0,60,98
1,0,0,61,9
1,0,0,62,9
1,0,0,69,9
1,0,0,71,9
1,0,0,74,18
1,0,0,74,24
1,0,0,74,26
1,0,0,74,31
1,0,0,74,33
1,0,0,74,98
1,0,0,76,18
1,0,0,76,26
1,0,0,97,9
1,0,0,98,18
1,0,0,98,24
1,0,0,98,26
1,0,0,98,31
1,0,0,98,32
1,0,0,98,33
1,0,0,98,46
1,0,0,98,60
1,0,0,98,74
2,0,0,7,18
2,0,1,9,12
2,0,1,9,14
2,0,1,9,17
2,0,0,9,18
2,0,1,9,23
2,0,0,9,32
2,0,1,9,40
2,0,1,9,51
2,0,1,9,54
2,0,1,9,61
2,0,1,9,62
2,0,1,9,69
2,0,1,9,71
2,0,1,9,97
2,0,0,12,9
2,0,0,14,9
2,0,0,17,9
2,0,0,17,54
2,0,1,18,7
2,0,0,18,9
2,0,1,18,19
2,0,1,18,20
2,0,1,18,22
2,0,1,18,24
2,0,1,18,25
2,0,1,18,26
2,0,1,18,30
2,0,1,18,31
2,0,1,18,32
2,0,1,18,33
2,0,1,18,39
2,0,1,18,42
2,0,1,18,46
2,0,1,18,50
2,0,1,18,53
2,0,1,18,60
2,0,1,18,74
2,0,1,18,76
2,0,1,18,98
2,0,0,19,18
2,0,0,20,18
2,0,0,22,18
2,0,0,22,32
2,0,0,22,33
2,0,0,23,9
2,0,0,24,18
2,0,0,24,25
2,0,0,24,26
2,0,0,24,30
2,0,0,24,31
2,0,0,24,32
2,0,0,24,33
2,0,0,24,74
2,0,0,24,98
2,0,0,25,18
2,0,0,25,24
2,0,0,25,26
2,0,0,25,32
2,0,0,25,42
2,0,0,25,60
2,0,0,26,18
2,0,0,26,24
2,0,0,26,25
2,0,0,26,31
2,0,0,26,32
2,0,0,26,33
2,0,0,26,39
2,0,0,26,42
2,0,0,26,74
2,0,0,26,76
2,0,0,26,98
2,0,0,30,18
2,0,0,30,24
2,0,0,30,33
2,0,0,31,18
2,0,0,31,24
2,0,0,31,26
2,0,0,31,32
2,0,0,31,33
2,0,0,31,42
2,0,0,31,50
2,0,0,31,74
2,0,0,31,98
2,0,0,32,9
2,0,0,32,18
2,0,0,32,22
2,0,0,32,24
2,0,0,32,25
2,0,0,32,26
2,0,0,32,31
2,0,0,32,33
2,0,0,32,46
2,0,0,32,98
2,0,0,33,18
2,0,0,33,22
2,0,0,33,24
2,0,0,33,26
2,0,0,33,30
2,0,0,33,31
2,0,0,33,32
2,0,0,33,42
2,0,0,33,74
2,0,0,33,98
2,0,0,39,18
2,0,0,39,26
2,0,0,39,42
2,0,0,40,9
2,0,0,42,18
2,0,0,42,25
2,0,0,42,26
2,0,0,42,31
2,0,0,42,33
2,0,0,42,39
2,0,0,46,18
2,0,0,46,32
2,0,0,46,50
2,0,0,46,98
2,0,0,50,18
2,0,0,50,31
2,0,0,50,46
2,0,0,51,9
2,0,0,53,18
2,0,0,54,9
2,0,0,54,17
2,0,0,60,18
2,0,0,60,25
2,0,0,60,98
2,0,0,61,9
2,0,0,62,9
2,0,0,69,9
2,0,0,71,9
2,0,0,74,18
2,0,0,74,24
2,0,0,74,26
2,0,0,74,31
2,0,0,74,33
2,0,0,74,98
2,0,0,76,18
2,0,0,76,26
2,0,0,97,9
2,0,0,98,18
2,0,0,98,24
2,0,0,98,26
2,0,0,98,31
2,0,0,98,32
2,0,0,98,33
2,0,0,98,46
2,0,0,98,60
2,0,0,98,74
3,0,0,7,18
3,0,1,9,12
3,0,1,9,14
3,0,1,9,17
3,0,0,9,18
3,0,1,9,23
3,0,0,9,32
3,0,1,9,40
3,0,1,9,51
3,0,1,9,54
3,0,1,9,61
3,0,1,9,62
3,0,1,9,69
3,0,1,9,71
3,0,1,9,97
3,0,0,12,9
3,0,0,14,9
3,0,0,17,9
3,0,0,17,54
3,0,1,18,7
3,0,0,18,9
3,0,1,18,19
3,0,1,18,20
3,0,1,18,22
3,0,1,18,24
3,0,1,18,25
3,0,1,18,26
3,0,1,18,30
3,0,1,18,31
3,0,1,18,32
3,0,1,18,33
3,0,1,18,39
3,0,1,18,42
3,0,1,18,46
3,0,1,18,50
3,0,1,18,53
3,0,1,18,60
3,0,1,18,74
3,0,1,18,76
3,0,1,18,98
3,0,0,19,18
3,0,0,20,18
3,0,0,22,18
3,0,0,22,32
3,0,0,22,33
3,0,0,23,9
3,0,0,24,18
3,0,0,24,25
3,0,0,24,26
3,0,0,24,30
3,0,0,24,31
3,0,0,24,32
3,0,0,24,33
3,0,0,24,74
3,0,0,24,98
3,0,0,25,18
3,0,0,25,24
3,0,0,25,26
3,0,0,25,32
3,0,0,25,42
3,0,0,25,60
3,0,0,26,18
3,0,0,26,24
3,0,0,26,25
3,0,0,26,31
3,0,0,26,32
3,0,0,26,33
3,0,0,26,39
3,0,0,26,42
3,0,0,26,74
3,0,0,26,76
3,0,0,26,98
3,0,0,30,18
3,0,0,30,24
3,0,0,30,33
3,0,0,31,18
3,0,0,31,24
3,0,0,31,26
3,0,0,31,32
3,0,0,31,33
3,0,0,31,42
3,0,0,31,50
3,0,0,31,74
3,0,0,31,98
3,0,0,32,9
3,0,0,32,18
3,0,0,32,22
3,0,0,32,24
3,0,0,32,25
3,0,0,32,26
3,0,0,32,31
3,0,0,32,33
3,0,0,32,46
3,0,0,32,98
3,0,0,33,18
3,0,0,33,22
3,0,0,33,24
3,0,0,33,26
3,0,0,33,30
3,0,0,33,31
3,0,0,33,32
3,0,0,33,42
3,0,0,33,74
3,0,0,33,98
3,0,0,39,18
3,0,0,39,26
3,0,0,39,42
3,0,0,40,9
3,0,0,42,18
3,0,0,42,25
3,0,0,42,26
3,0,0,42,31
3,0,0,42,33
3,0,0,42,39
3,0,0,46,18
3,0,0,46,32
3,0,0,46,50
3,0,0,46,98
3,0,0,50,18
3,0,0,50,31
3,0,0,50,46
3,0,0,51,9
3,0,0,53,18
3,0,0,54,9
3,0,0,54,17
3,0,0,60,18
3,0,0,60,25
3,0,0,60,98
3,0,0,61,9
3,0,0,62,9
3,0,0,69,9
3,0,0,71,9
3,0,0,74,18
3,0,0,74,24
3,0,0,74,26
3,0,0,74,31
3,0,0,74,33
3,0,0,74,98
3,0,0,76,18
3,0,0,76,26
3,0,0,97,9
3,0,0,98,18
3,0,0,98,24
3,0,0,98,26
3,0,0,98,31
3,0,0,98,32
3,0,0,98,33
3,0,0,98,46
3,0,0,98,60
3,0,0,98,74
4,0,0,7,18
4,0,1,9,12
4,0,1,9,14
4,0,1,9,17
4,0,0,9,18
4,0,1,9,23
4,0,0,9,32
4,0,1,9,40
4,0,1,9,51
4,0,1,9,54
4,0,1,9,61
4,0,1,9,62
4,0,1,9,69
4,0,1,9,71
4,0,1,9,97
4,0,0,12,9
4,0,0,14,9
4,0,0,17,9
4,0,0,17,54
4,0,1,18,7
4,0,0,18,9
4,0,1,18,19
4,0,1,18,20
4,0,1,18,22
4,0,1,18,24
4,0,1,18,25
4,0,1,18,26
4,0,1,18,30
4,0,1,18,31
