Dataset,Run,Explainer,Full Acc,Full Prec,Full Rec,Full F1,Torch Accuracy,Torch Precision,Torch Recall,Torch F1,Faithfulness
25,0,SubgraphX,0.462745098,0,0,0,0.786666667,0,0,0,1
25,1,SubgraphX,0.462745098,0,0,0,0.786666667,0,0,0,1
25,2,SubgraphX,0.462745098,0,0,0,0.786666667,0,0,0,1
25,3,SubgraphX,0.462745098,0,0,0,0.786666667,0,0,0,1
25,4,SubgraphX,0.462745098,0,0,0,0.786666667,0,0,0,1
25,5,SubgraphX,0.462745098,0,0,0,0.786666667,0,0,0,1
25,6,SubgraphX,0.462745098,0,0,0,0.786666667,0,0,0,1
25,7,SubgraphX,0.462745098,0,0,0,0.786666667,0,0,0,1
25,8,SubgraphX,0.462745098,0,0,0,0.786666667,0,0,0,1
25,9,SubgraphX,0.462745098,0,0,0,0.786666667,0,0,0,1
