Probability,GT,P1,P2,Run
0,0,7,18,1
0,1,9,12,1
0,1,9,17,1
0,0,9,18,1
0,1,9,23,1
0,1,9,40,1
0,1,9,54,1
0,1,9,62,1
0,1,9,69,1
0,1,9,71,1
0.5558923,1,9,91,1
0,1,9,97,1
0,0,12,9,1
0,0,12,17,1
0,0,17,9,1
0,0,17,12,1
0,0,17,18,1
0,0,17,54,1
0,1,18,7,1
0,0,18,9,1
0,0,18,17,1
0,1,18,20,1
0,1,18,22,1
0,1,18,24,1
0,1,18,25,1
0,1,18,26,1
0,1,18,30,1
0,1,18,31,1
0,1,18,32,1
0,1,18,33,1
0,1,18,39,1
0,1,18,42,1
0,1,18,46,1
0,1,18,50,1
0,1,18,60,1
0,1,18,74,1
0.56468534,1,18,76,1
0,1,18,98,1
0,0,20,18,1
0,0,22,18,1
0,0,23,9,1
0,0,24,18,1
0,0,24,25,1
0,0,24,26,1
0,0,24,30,1
0,0,24,31,1
0,0,24,33,1
0,0,24,42,1
0.5343965,0,24,76,1
0,0,24,98,1
0,0,25,18,1
0,0,25,24,1
0,0,25,26,1
0,0,25,30,1
0,0,25,33,1
0,0,25,42,1
0,0,26,18,1
0,0,26,24,1
0,0,26,25,1
0,0,26,30,1
0,0,26,31,1
0,0,26,32,1
0,0,26,33,1
0,0,26,42,1
0,0,26,74,1
0,0,26,98,1
0,0,30,18,1
0,0,30,24,1
0,0,30,25,1
0,0,30,26,1
0,0,30,31,1
0,0,30,33,1
0,0,30,46,1
0.4497932,0,30,76,1
0,0,30,98,1
0,0,31,18,1
0,0,31,24,1
0,0,31,26,1
0,0,31,30,1
0,0,31,33,1
0,0,31,39,1
0,0,31,42,1
0,0,31,50,1
0,0,31,74,1
0,0,32,18,1
0,0,32,26,1
0,0,32,33,1
0,0,32,42,1
0,0,32,46,1
0,0,32,98,1
0,0,33,18,1
0,0,33,24,1
0,0,33,25,1
0,0,33,26,1
0,0,33,30,1
0,0,33,31,1
0,0,33,32,1
0,0,33,39,1
0,0,33,42,1
0,0,33,98,1
0,0,39,18,1
0,0,39,31,1
0,0,39,33,1
0,0,39,42,1
0,0,39,46,1
