Dataset,Seed,Explainer,Full Acc,Full Prec,Full Rec,Full F1,Torch Accuracy,Torch Precision,Torch Recall,Torch F1,Faithfulness
50,1818,SubgraphX,0.46692607,0,0,0,0.810810811,0,0,0,1
50,12905,SubgraphX,0.46692607,0,0,0,0.810810811,0,0,0,1
50,66320,SubgraphX,0.46692607,0,0,0,0.810810811,0,0,0,1
50,46775,SubgraphX,0.46692607,0,0,0,0.810810811,0,0,0,1
50,76879,SubgraphX,0.46692607,0,0,0,0.810810811,0,0,0,1
50,47449,SubgraphX,0.46692607,0,0,0,0.810810811,0,0,0,1
50,96475,SubgraphX,0.46692607,0,0,0,0.810810811,0,0,0,1
50,8377,SubgraphX,0.46692607,0,0,0,0.810810811,0,0,0,1
50,7769,SubgraphX,0.46692607,0,0,0,0.810810811,0,0,0,1
50,39978,SubgraphX,0.46692607,0,0,0,0.810810811,0,0,0,1
