Dataset,Seed,Explainer,TP,TN,FP,FN,Torch Accuracy,Torch Recall,Torch Precision,Faithfulness,Accuracy,Precision,Recall
75,0,Beta,2,4,0,135,1,1,1,1,0.042553191,1,0.01459854
75,1,Beta,2,4,0,135,1,1,1,1,0.042553191,1,0.01459854
75,2,Beta,2,4,0,135,1,1,1,1,0.042553191,1,0.01459854
75,3,Beta,2,4,0,135,1,1,1,1,0.042553191,1,0.01459854
75,4,Beta,2,4,0,135,1,1,1,1,0.042553191,1,0.01459854
75,5,Beta,2,4,0,135,1,1,1,1,0.042553191,1,0.01459854
75,6,Beta,2,4,0,135,1,1,1,1,0.042553191,1,0.01459854
75,7,Beta,2,4,0,135,1,1,1,1,0.042553191,1,0.01459854
75,8,Beta,2,4,0,135,1,1,1,1,0.042553191,1,0.01459854
75,9,Beta,2,4,0,135,1,1,1,1,0.042553191,1,0.01459854
75,10,Beta,2,4,0,135,1,1,1,1,0.042553191,1,0.01459854
75,15,Beta,2,4,0,135,1,1,1,1,0.042553191,1,0.01459854
75,20,Beta,2,4,0,135,1,1,1,1,0.042553191,1,0.01459854
75,25,Beta,2,4,0,135,1,1,1,1,0.042553191,1,0.01459854
75,30,Beta,2,4,0,135,1,1,1,1,0.042553191,1,0.01459854
75,40,Beta,2,4,0,135,1,1,1,1,0.042553191,1,0.01459854
75,50,Beta,2,4,0,135,1,1,1,1,0.042553191,1,0.01459854
75,60,Beta,2,4,0,135,1,1,1,1,0.042553191,1,0.01459854
75,70,Beta,2,4,0,135,1,1,1,1,0.042553191,1,0.01459854
75,80,Beta,2,4,0,135,1,1,1,1,0.042553191,1,0.01459854
75,90,Beta,2,4,0,135,1,1,1,1,0.042553191,1,0.01459854
75,100,Beta,2,4,0,135,1,1,1,1,0.042553191,1,0.01459854
75,200,Beta,2,4,0,135,1,1,1,1,0.042553191,1,0.01459854
75,300,Beta,2,4,0,135,1,1,1,1,0.042553191,1,0.01459854
75,400,Beta,2,4,0,135,1,1,1,1,0.042553191,1,0.01459854
75,500,Beta,2,4,0,135,1,1,1,1,0.042553191,1,0.01459854
75,600,Beta,2,4,0,135,1,1,1,1,0.042553191,1,0.01459854
75,700,Beta,2,4,0,135,1,1,1,1,0.042553191,1,0.01459854
75,800,Beta,2,4,0,135,1,1,1,1,0.042553191,1,0.01459854
75,900,Beta,2,4,0,135,1,1,1,1,0.042553191,1,0.01459854
75,1000,Beta,2,4,0,135,1,1,1,1,0.042553191,1,0.01459854
