,Probability,GT,P1,P2,Run
0,0.55557483,1.0,1229,1230,0
1,0.556833,1.0,1229,1231,0
2,0.5822296,1.0,1229,4366,0
3,0.58224183,1.0,1230,1229,0
4,0.59652865,1.0,1230,1232,0
5,0.627024,0.0,1230,1233,0
6,0.5462048,0.0,1230,1234,0
7,0.62508017,0.0,1230,1235,0
8,0.53464633,0.0,1230,7361,0
9,0.5979164,0.0,1230,11655,0
10,0.5252252,1.0,1231,1229,0
11,0.5455084,1.0,1231,1232,0
12,0.5347633,1.0,1231,1236,0
13,0.5748135,1.0,1232,1230,0
14,0.5698292,1.0,1232,1231,0
15,0.58902323,1.0,1232,1236,0
16,0.52368313,0.0,1233,1230,0
17,0.45777982,0.0,1234,1230,0
18,0.5600033,0.0,1235,1230,0
19,0.5704761,1.0,1236,1231,0
20,0.6079608,1.0,1236,1232,0
21,0.6003966,0.0,3507,4364,0
22,0.6173545,1.0,4361,4362,0
23,0.6182445,1.0,4361,4363,0
24,0.58758235,1.0,4362,4361,0
25,0.62301415,1.0,4362,4364,0
26,0.5229829,0.0,4362,4365,0
27,0.5849852,1.0,4362,4366,0
28,0.61349136,1.0,4363,4361,0
29,0.65560466,1.0,4363,4364,0
30,0.6326204,1.0,4363,4367,0
31,0.5640267,0.0,4364,3507,0
32,0.6215974,1.0,4364,4362,0
33,0.63561314,1.0,4364,4363,0
34,0.60060006,1.0,4364,4367,0
35,0.5560905,0.0,4365,4362,0
36,0.5004711,0.0,4365,8917,0
37,0.5527475,0.0,4365,9806,0
38,0.5787458,1.0,4366,1229,0
39,0.6122039,1.0,4366,4362,0
40,0.59457123,1.0,4367,4363,0
41,0.5961949,1.0,4367,4364,0
42,0.626062,0.0,7361,1230,0
43,0.50458455,0.0,8917,4365,0
44,0.53524435,0.0,9806,4365,0
45,0.55023915,0.0,11655,1230,0
46,0.54422057,1.0,1240,1241,1
47,0.59317285,1.0,1240,1242,1
48,0.54459804,1.0,1241,1240,1
49,0.5952071,1.0,1241,1243,1
50,0.49309576,0.0,1241,1244,1
51,0.54953456,1.0,1241,7243,1
52,0.53175676,0.0,1241,12575,1
53,0.56915647,1.0,1242,1240,1
54,0.6174896,1.0,1242,1243,1
55,0.60220313,1.0,1242,1245,1
56,0.560367,1.0,1243,1241,1
57,0.6033086,1.0,1243,1242,1
58,0.63009655,1.0,1243,1245,1
59,0.6178307,0.0,1243,1667,1
60,0.6127315,0.0,1244,1241,1
61,0.5382597,1.0,1245,1242,1
62,0.5767999,1.0,1245,1243,1
63,0.6252965,0.0,1667,1243,1
64,0.59729385,1.0,7232,7233,1
65,0.5684699,1.0,7232,7234,1
66,0.5549847,1.0,7233,7232,1
67,0.51995635,1.0,7233,7235,1
68,0.5730494,1.0,7234,7232,1
69,0.540608,1.0,7234,7235,1
70,0.56171644,1.0,7234,7239,1
71,0.57480127,0.0,7234,7240,1
72,0.5768123,0.0,7234,7241,1
73,0.62841123,1.0,7235,7233,1
74,0.5930211,1.0,7235,7234,1
75,0.59615,1.0,7235,7239,1
76,0.65263456,0.0,7235,7242,1
77,0.6083186,0.0,7235,7956,1
78,0.5739451,1.0,7239,7234,1
79,0.5590237,1.0,7239,7235,1
80,0.5825173,1.0,7239,7243,1
81,0.5592122,0.0,7240,7234,1
82,0.5585943,0.0,7241,7234,1
83,0.46287853,0.0,7242,7235,1
84,0.51259905,1.0,7243,1241,1
85,0.5620051,1.0,7243,7239,1
86,0.5047083,0.0,7956,7235,1
87,0.5367377,0.0,12567,12575,1
88,0.41535,0.0,12575,1241,1
89,0.48525426,0.0,12575,12567,1
90,0.57204103,1.0,866,867,2
91,0.6078455,1.0,866,868,2
92,0.53636456,1.0,867,866,2
93,0.5124392,1.0,867,869,2
94,0.60715336,1.0,868,866,2
95,0.5993699,1.0,868,869,2
96,0.67803293,1.0,868,871,2
97,0.67316926,0.0,868,9144,2
98,0.6181973,1.0,869,867,2
99,0.66258323,1.0,869,868,2
100,0.6661792,1.0,869,871,2
101,0.64049983,0.0,869,872,2
102,0.6506935,1.0,871,868,2
103,0.5635697,1.0,871,869,2
104,0.65271276,0.0,871,10323,2
105,0.55793226,1.0,871,12760,2
106,0.56678945,0.0,872,869,2
107,0.49992442,0.0,1677,12759,2
108,0.5303126,0.0,6135,12759,2
109,0.60029787,0.0,9144,868,2
110,0.6028746,0.0,10319,10323,2
111,0.5984415,0.0,10323,871,2
112,0.5212207,0.0,10323,10319,2
113,0.5882294,1.0,12756,12757,2
114,0.6354501,1.0,12756,12758,2
115,0.54341984,1.0,12757,12756,2
116,0.5650064,1.0,12757,12759,2
117,0.53820145,1.0,12757,12760,2
118,0.50152045,1.0,12758,12756,2
119,0.5266931,1.0,12758,12759,2
120,0.5276774,1.0,12758,12761,2
121,0.5755654,0.0,12759,1677,2
122,0.6235841,0.0,12759,6135,2
123,0.608324,1.0,12759,12757,2
124,0.65507793,1.0,12759,12758,2
125,0.57970774,1.0,12759,12761,2
126,0.5931,0.0,12759,12762,2
127,0.5695277,0.0,12759,12763,2
128,0.581063,1.0,12760,871,2
129,0.5339418,1.0,12760,12757,2
130,0.6889007,1.0,12761,12758,2
131,0.61706316,1.0,12761,12759,2
132,0.5268998,0.0,12762,12759,2
133,0.5600105,0.0,12763,12759,2
134,0.6829981,1.0,10528,10529,3
135,0.6006739,1.0,10528,10530,3
136,0.59657454,0.0,10528,10531,3
137,0.6082827,0.0,10528,10532,3
138,0.5933988,0.0,10528,10533,3
139,0.669005,0.0,10528,10534,3
140,0.5604441,1.0,10529,10528,3
141,0.5767573,1.0,10529,10535,3
142,0.530489,0.0,10529,10536,3
143,0.6056379,1.0,10529,10537,3
144,0.66196924,1.0,10530,10528,3
145,0.66605437,1.0,10530,10535,3
146,0.6770061,1.0,10530,10538,3
147,0.654175,0.0,10531,10528,3
148,0.6570128,0.0,10532,10528,3
149,0.53184336,0.0,10533,10528,3
150,0.589429,0.0,10534,10528,3
151,0.6158138,1.0,10535,10529,3
152,0.53478146,1.0,10535,10530,3
153,0.55573905,1.0,10535,10538,3
154,0.5933587,0.0,10535,10539,3
155,0.55507714,0.0,10535,10540,3
156,0.62910545,0.0,10536,10529,3
157,0.6996529,1.0,10537,10529,3
158,0.6026041,1.0,10537,12616,3
159,0.5305582,1.0,10538,10530,3
160,0.54286766,1.0,10538,10535,3
161,0.6241345,0.0,10539,10535,3
162,0.5810631,0.0,10540,10535,3
163,0.5997843,1.0,12615,12616,3
164,0.6417443,1.0,12615,12617,3
165,0.6362507,1.0,12616,10537,3
166,0.52950794,1.0,12616,12615,3
167,0.54847205,1.0,12616,12618,3
168,0.5140503,1.0,12617,12615,3
169,0.5308216,1.0,12617,12618,3
170,0.5711159,1.0,12617,12619,3
171,0.573453,1.0,12618,12616,3
172,0.6154551,1.0,12618,12617,3
173,0.59760237,1.0,12618,12619,3
174,0.59245485,0.0,12618,12624,3
175,0.6427654,0.0,12618,12625,3
176,0.58207923,1.0,12619,12617,3
177,0.51973176,1.0,12619,12618,3
178,0.541063,0.0,12624,12618,3
179,0.5754305,0.0,12625,12618,3
180,0.5957483,1.0,1240,1241,4
181,0.5517767,1.0,1240,1242,4
182,0.5664669,1.0,1241,1240,4
183,0.5373043,1.0,1241,1243,4
184,0.5803888,0.0,1241,1244,4
185,0.5230767,1.0,1241,7243,4
186,0.5958382,0.0,1241,12575,4
187,0.5638114,1.0,1242,1240,4
188,0.54094017,1.0,1242,1243,4
189,0.58103675,1.0,1242,1245,4
190,0.61698794,1.0,1243,1241,4
191,0.58386004,1.0,1243,1242,4
192,0.608064,1.0,1243,1245,4
193,0.5912255,0.0,1243,1667,4
194,0.55206805,0.0,1244,1241,4
195,0.56241727,1.0,1245,1242,4
196,0.5401909,1.0,1245,1243,4
197,0.49653262,0.0,1667,1243,4
198,0.54053277,1.0,7232,7233,4
199,0.5356255,1.0,7232,7234,4
200,0.58057046,1.0,7233,7232,4
201,0.56663084,1.0,7233,7235,4
202,0.524232,1.0,7234,7232,4
203,0.508799,1.0,7234,7235,4
204,0.565707,1.0,7234,7239,4
205,0.5244374,0.0,7234,7240,4
206,0.5409834,0.0,7234,7241,4
207,0.5591894,1.0,7235,7233,4
208,0.5419417,1.0,7235,7234,4
209,0.5688098,1.0,7235,7239,4
210,0.64064485,0.0,7235,7242,4
211,0.5270711,0.0,7235,7956,4
212,0.5600454,1.0,7239,7234,4
213,0.52996135,1.0,7239,7235,4
214,0.50513303,1.0,7239,7243,4
215,0.5714864,0.0,7240,7234,4
216,0.54117966,0.0,7241,7234,4
217,0.56919944,0.0,7242,7235,4
218,0.55616254,1.0,7243,1241,4
219,0.56599486,1.0,7243,7239,4
220,0.46846172,0.0,7956,7235,4
