,Probability,GT,P1,P2,Run
0,0.6017572,1.0,7678,7679,0
1,0.58659786,1.0,7678,7680,0
2,0.60157937,1.0,7679,7678,0
3,0.62364805,1.0,7679,7683,0
4,0.5246515,1.0,7680,7678,0
5,0.5285742,1.0,7680,7683,0
6,0.5656094,1.0,7680,7685,0
7,0.583035,1.0,7683,7679,0
8,0.5488923,1.0,7683,7680,0
9,0.57057,1.0,7683,7685,0
10,0.56724334,1.0,7685,7680,0
11,0.5505489,1.0,7685,7683,0
12,0.61377895,1.0,7685,7686,0
13,0.55243415,1.0,7686,7685,0
14,0.52923,0.0,827,2199,1
15,0.4299278,0.0,1551,2196,1
16,0.5339206,1.0,2194,2195,1
17,0.5116277,1.0,2194,2196,1
18,0.57367957,1.0,2195,2194,1
19,0.58152145,1.0,2195,2199,1
20,0.4945717,0.0,2196,1551,1
21,0.5541884,1.0,2196,2194,1
22,0.5730654,1.0,2196,2199,1
23,0.53205615,1.0,2196,2202,1
24,0.5381885,0.0,2196,2203,1
25,0.4998184,0.0,2196,9656,1
26,0.51568997,0.0,2199,827,1
27,0.5602036,1.0,2199,2195,1
28,0.5376904,1.0,2199,2196,1
29,0.52774644,1.0,2199,2202,1
30,0.5311373,1.0,2202,2196,1
31,0.5544451,1.0,2202,2199,1
32,0.489827,0.0,2202,2204,1
33,0.54075634,1.0,2202,2205,1
34,0.47663525,0.0,2203,2196,1
35,0.53662974,0.0,2204,2202,1
36,0.5680719,0.0,2204,7081,1
37,0.50709826,1.0,2205,2202,1
38,0.4436978,0.0,7081,2204,1
39,0.5134056,0.0,9656,2196,1
40,0.55100685,1.0,11220,11221,2
41,0.58501434,1.0,11220,11222,2
42,0.5460269,0.0,11220,11223,2
43,0.50833124,1.0,11221,11220,2
44,0.52050877,1.0,11221,11224,2
45,0.4685167,0.0,11221,11225,2
46,0.59918433,0.0,11221,11226,2
47,0.62424326,1.0,11221,11227,2
48,0.513664,1.0,11222,11220,2
49,0.5258264,1.0,11222,11224,2
50,0.50732785,1.0,11222,11228,2
51,0.47402242,0.0,11223,11220,2
52,0.5563299,1.0,11224,11221,2
53,0.58824414,1.0,11224,11222,2
54,0.54095906,1.0,11224,11228,2
55,0.5478628,0.0,11224,11231,2
56,0.5081791,0.0,11225,11221,2
57,0.47597823,0.0,11226,11221,2
58,0.55025095,1.0,11227,11221,2
59,0.57585466,1.0,11228,11222,2
60,0.54784304,1.0,11228,11224,2
61,0.5947905,0.0,11231,11224,2
62,0.5681025,0.0,8921,12334,3
63,0.53101194,0.0,12334,8921,3
64,0.5853608,1.0,12334,12335,3
65,0.6046405,1.0,12334,12336,3
66,0.5904082,1.0,12335,12334,3
67,0.5718563,1.0,12335,12337,3
68,0.5906656,1.0,12336,12334,3
69,0.5778019,1.0,12336,12337,3
70,0.5742009,1.0,12336,12341,3
71,0.552482,1.0,12336,12342,3
72,0.5444483,1.0,12337,12335,3
73,0.56045514,1.0,12337,12336,3
74,0.56214964,1.0,12337,12341,3
75,0.5963495,1.0,12341,12336,3
76,0.57335246,1.0,12341,12337,3
77,0.6113511,0.0,12341,12343,3
78,0.5927916,1.0,12342,12336,3
79,0.5003085,0.0,12343,12341,3
80,0.58283913,0.0,3742,6855,4
81,0.55693287,0.0,6639,6855,4
82,0.53707355,1.0,6852,6853,4
83,0.56136125,1.0,6852,6854,4
84,0.53408533,1.0,6853,6852,4
85,0.5271407,1.0,6853,6855,4
86,0.6324142,1.0,6853,6856,4
87,0.5625691,1.0,6854,6852,4
88,0.5531791,1.0,6854,6855,4
89,0.55121195,1.0,6854,6857,4
90,0.5364457,0.0,6855,3742,4
91,0.57070804,0.0,6855,6639,4
92,0.5505116,1.0,6855,6853,4
93,0.56320685,1.0,6855,6854,4
94,0.5457194,1.0,6855,6857,4
95,0.5643159,0.0,6855,6862,4
96,0.5590937,0.0,6855,6863,4
97,0.55843407,1.0,6856,6853,4
98,0.6141335,1.0,6857,6854,4
99,0.6001484,1.0,6857,6855,4
100,0.50842476,0.0,6862,6855,4
101,0.45111093,0.0,6863,6855,4
102,0.46974406,0.0,1316,1362,5
103,0.53264683,1.0,1359,1360,5
104,0.5889097,1.0,1359,1361,5
105,0.5033109,0.0,1359,1362,5
106,0.56181556,0.0,1359,8977,5
107,0.5934137,1.0,1359,13003,5
108,0.58306277,1.0,1360,1359,5
109,0.57832426,1.0,1360,1363,5
110,0.5803714,0.0,1360,1364,5
111,0.5636892,0.0,1360,10287,5
112,0.56191933,1.0,1361,1359,5
113,0.56473494,1.0,1361,1363,5
114,0.52587533,1.0,1361,1365,5
115,0.5132205,0.0,1361,5374,5
116,0.5447027,0.0,1361,5911,5
117,0.5061959,0.0,1362,1316,5
118,0.54666793,0.0,1362,1359,5
119,0.56656945,1.0,1363,1360,5
120,0.6257221,1.0,1363,1361,5
121,0.5509222,1.0,1363,1365,5
122,0.5408883,0.0,1364,1360,5
123,0.6275135,1.0,1365,1361,5
124,0.5924051,1.0,1365,1363,5
125,0.6194948,0.0,5374,1361,5
126,0.5948673,0.0,5911,1361,5
127,0.573499,0.0,8975,8977,5
128,0.5394157,0.0,8977,1359,5
129,0.48652875,0.0,8977,8975,5
130,0.5314365,0.0,8977,8979,5
131,0.52248067,0.0,8977,8980,5
132,0.4970921,0.0,8977,8981,5
133,0.5772126,0.0,8979,8977,5
134,0.5616979,0.0,8979,8980,5
135,0.5292684,0.0,8980,8977,5
136,0.51211387,0.0,8980,8979,5
137,0.5238888,0.0,8981,8977,5
138,0.5269517,0.0,10287,1360,5
139,0.60307354,0.0,12139,12996,5
140,0.60391706,0.0,12996,12139,5
141,0.5946148,1.0,12996,12997,5
142,0.60760313,1.0,12996,12998,5
143,0.53049207,0.0,12996,12999,5
144,0.56655467,0.0,12996,13000,5
145,0.5537722,1.0,12997,12996,5
146,0.5202708,1.0,12997,13001,5
147,0.64409417,1.0,12998,12996,5
148,0.6087756,1.0,12998,13001,5
149,0.63517815,1.0,12998,13002,5
150,0.6417946,1.0,12998,13003,5
151,0.5568765,0.0,12999,12996,5
152,0.59401774,0.0,13000,12996,5
153,0.6418971,1.0,13001,12997,5
154,0.66267926,1.0,13001,12998,5
155,0.6390806,1.0,13001,13002,5
156,0.6003161,1.0,13002,12998,5
157,0.53649956,1.0,13002,13001,5
158,0.5334482,0.0,13002,13004,5
159,0.5829334,1.0,13003,1359,5
160,0.6424726,1.0,13003,12998,5
161,0.59806633,0.0,13004,13002,5
162,0.51300025,0.0,4013,13051,6
163,0.53588563,0.0,10892,13051,6
164,0.5997262,1.0,13047,13048,6
165,0.59221643,1.0,13047,13049,6
166,0.5034312,0.0,13047,13050,6
167,0.5308113,1.0,13048,13047,6
168,0.5155605,1.0,13048,13051,6
169,0.55368245,1.0,13048,13052,6
170,0.534586,1.0,13049,13047,6
171,0.5212518,1.0,13049,13051,6
172,0.5298928,1.0,13049,13053,6
173,0.51963705,0.0,13050,13047,6
174,0.6351337,0.0,13051,4013,6
175,0.5220689,0.0,13051,10892,6
176,0.6138077,1.0,13051,13048,6
177,0.59616774,1.0,13051,13049,6
178,0.54214346,1.0,13051,13053,6
179,0.5813039,1.0,13052,13048,6
180,0.58661145,1.0,13053,13049,6
181,0.512985,1.0,13053,13051,6
182,0.50905675,0.0,5312,7251,7
183,0.5755999,0.0,5547,7251,7
184,0.5330086,1.0,7247,7248,7
185,0.53480506,1.0,7247,7249,7
186,0.55701935,1.0,7248,7247,7
187,0.54333425,1.0,7248,7251,7
188,0.53803694,1.0,7249,7247,7
189,0.5228694,1.0,7249,7251,7
190,0.5605695,1.0,7249,7252,7
191,0.48707777,0.0,7251,5312,7
192,0.47797287,0.0,7251,5547,7
193,0.5274451,1.0,7251,7248,7
194,0.5305713,1.0,7251,7249,7
195,0.5247348,1.0,7251,7252,7
196,0.4856458,0.0,7251,7253,7
197,0.60815877,1.0,7252,7249,7
198,0.56405973,1.0,7252,7251,7
199,0.59833694,1.0,7252,7254,7
200,0.4947642,0.0,7253,7251,7
201,0.5168253,1.0,7254,7252,7
202,0.5643074,1.0,7678,7679,8
203,0.5801902,1.0,7678,7680,8
204,0.5278627,1.0,7679,7678,8
205,0.61163133,1.0,7679,7683,8
206,0.5856253,1.0,7680,7678,8
207,0.66267693,1.0,7680,7683,8
208,0.5804797,1.0,7680,7685,8
209,0.5505397,1.0,7683,7679,8
210,0.55595237,1.0,7683,7680,8
211,0.5323639,1.0,7683,7685,8
212,0.60592484,1.0,7685,7680,8
213,0.66258216,1.0,7685,7683,8
214,0.5519795,1.0,7685,7686,8
215,0.53259754,1.0,7686,7685,8
216,0.6303303,1.0,11220,11221,9
217,0.57582855,1.0,11220,11222,9
218,0.56743115,0.0,11220,11223,9
219,0.51962966,1.0,11221,11220,9
220,0.5592129,1.0,11221,11224,9
221,0.549693,0.0,11221,11225,9
222,0.5616332,0.0,11221,11226,9
223,0.5765333,1.0,11221,11227,9
224,0.5135397,1.0,11222,11220,9
225,0.56029785,1.0,11222,11224,9
226,0.5386032,1.0,11222,11228,9
227,0.48395103,0.0,11223,11220,9
228,0.58744925,1.0,11224,11221,9
229,0.532803,1.0,11224,11222,9
230,0.5258358,1.0,11224,11228,9
231,0.5241074,0.0,11224,11231,9
232,0.47693107,0.0,11225,11221,9
233,0.5435142,0.0,11226,11221,9
234,0.58472097,1.0,11227,11221,9
235,0.52298814,1.0,11228,11222,9
236,0.53513163,1.0,11228,11224,9
237,0.4579883,0.0,11231,11224,9
238,0.54316837,1.0,2174,2175,10
239,0.52925795,1.0,2174,2176,10
240,0.5664121,0.0,2174,3044,10
241,0.48731044,0.0,2174,11127,10
242,0.51448506,1.0,2175,2174,10
243,0.53616345,1.0,2175,2177,10
244,0.5509503,1.0,2175,2178,10
245,0.47612408,0.0,2175,11869,10
246,0.54307747,1.0,2176,2174,10
247,0.5622121,1.0,2176,2177,10
248,0.57445127,1.0,2176,2179,10
249,0.6127817,1.0,2177,2175,10
250,0.59940803,1.0,2177,2176,10
251,0.58237326,1.0,2177,2179,10
252,0.56979513,0.0,2177,10247,10
253,0.6044597,1.0,2178,2175,10
254,0.54640937,1.0,2179,2176,10
255,0.540444,1.0,2179,2177,10
256,0.48808926,0.0,3044,2174,10
257,0.47584257,0.0,6641,11869,10
258,0.47240484,0.0,10247,2177,10
259,0.49876416,0.0,11127,2174,10
260,0.49524975,0.0,11864,11869,10
261,0.58510125,0.0,11869,2175,10
262,0.5332893,0.0,11869,6641,10
263,0.61447346,0.0,11869,11864,10
264,0.5350467,0.0,418,5104,11
265,0.5007814,1.0,2581,2582,11
266,0.5471803,1.0,2581,2583,11
267,0.5704139,1.0,2581,2584,11
268,0.5083933,0.0,2581,2585,11
269,0.5484736,0.0,2581,2586,11
270,0.5610358,1.0,2582,2581,11
271,0.56952846,1.0,2582,2587,11
272,0.5403706,0.0,2582,6792,11
273,0.59374875,1.0,2583,2581,11
274,0.59567356,1.0,2583,2587,11
275,0.60533535,1.0,2583,2588,11
276,0.60573024,0.0,2583,2589,11
277,0.5603327,1.0,2584,2581,11
278,0.60828567,1.0,2584,5102,11
279,0.5268096,0.0,2585,2581,11
280,0.5807756,0.0,2585,4908,11
281,0.5800855,0.0,2586,2581,11
282,0.58138174,0.0,2586,3728,11
283,0.52006865,1.0,2587,2582,11
284,0.5632529,1.0,2587,2583,11
285,0.5601316,1.0,2587,2588,11
286,0.6018589,1.0,2588,2583,11
287,0.586047,1.0,2588,2587,11
288,0.4900795,0.0,2589,2583,11
289,0.5613872,0.0,3728,2586,11
290,0.5358829,0.0,3742,3745,11
291,0.480386,0.0,3745,3742,11
292,0.5555709,0.0,3745,5102,11
293,0.5733075,0.0,3745,13014,11
294,0.46703702,0.0,4908,2585,11
295,0.5514645,1.0,5102,2584,11
296,0.51736045,0.0,5102,3745,11
297,0.51878035,1.0,5102,5103,11
298,0.52829003,1.0,5102,5104,11
299,0.5092427,0.0,5102,7487,11
300,0.6014325,1.0,5103,5102,11
301,0.57467365,1.0,5103,5105,11
302,0.6304972,0.0,5103,5106,11
303,0.5742081,0.0,5103,5898,11
304,0.5824428,0.0,5104,418,11
305,0.59193504,1.0,5104,5102,11
306,0.5579046,1.0,5104,5105,11
307,0.5870477,1.0,5104,5107,11
308,0.49311,0.0,5104,5108,11
309,0.53784776,0.0,5104,10066,11
310,0.55630213,0.0,5104,11667,11
311,0.53583425,1.0,5105,5103,11
312,0.5505607,1.0,5105,5104,11
313,0.58545196,1.0,5105,5107,11
314,0.5521425,0.0,5106,5103,11
315,0.5242873,1.0,5107,5104,11
316,0.5291675,1.0,5107,5105,11
317,0.52290434,0.0,5108,5104,11
318,0.4748857,0.0,5898,5103,11
319,0.5287509,0.0,6792,2582,11
320,0.4713381,0.0,7482,7487,11
321,0.5547878,0.0,7487,5102,11
322,0.535871,0.0,7487,7482,11
323,0.5021291,0.0,7487,11089,11
324,0.5203043,0.0,10066,5104,11
325,0.5116322,0.0,11089,7487,11
326,0.5827816,0.0,11667,5104,11
327,0.48978043,0.0,13014,3745,11
328,0.5587733,0.0,1837,11835,12
329,0.4687354,0.0,1961,1962,12
330,0.4597379,0.0,1961,1963,12
331,0.4462119,0.0,1961,1964,12
332,0.42103544,0.0,1961,1965,12
333,0.43643755,0.0,1961,1966,12
334,0.48048702,0.0,1961,11836,12
335,0.49803296,0.0,1962,1961,12
336,0.51030475,0.0,1963,1961,12
337,0.54311085,0.0,1964,1961,12
338,0.4952872,0.0,1965,1961,12
339,0.48598018,0.0,1966,1961,12
340,0.52868694,0.0,2026,2595,12
341,0.5422058,1.0,2593,2594,12
342,0.5175199,1.0,2593,2595,12
343,0.54675204,1.0,2594,2593,12
344,0.5744919,1.0,2594,2596,12
345,0.59585047,0.0,2594,2597,12
346,0.5188952,0.0,2595,2026,12
347,0.52401143,1.0,2595,2593,12
348,0.5563655,1.0,2595,2596,12
349,0.5565122,1.0,2595,2598,12
350,0.55311936,1.0,2596,2594,12
351,0.5310863,1.0,2596,2595,12
352,0.5612743,1.0,2596,2598,12
353,0.54929304,0.0,2596,2599,12
354,0.51854914,1.0,2596,2600,12
355,0.5413661,0.0,2597,2594,12
356,0.51492,1.0,2598,2595,12
357,0.54387134,1.0,2598,2596,12
358,0.47147578,0.0,2598,2601,12
359,0.48259547,0.0,2598,12238,12
360,0.5619727,0.0,2599,2596,12
361,0.5354652,0.0,2599,7181,12
362,0.5800156,1.0,2600,2596,12
363,0.564766,1.0,2600,11836,12
364,0.5266897,0.0,2601,2598,12
365,0.5360465,0.0,4398,11838,12
366,0.55085236,0.0,7181,2599,12
367,0.55699563,0.0,8228,11835,12
368,0.5443191,0.0,11835,1837,12
369,0.50369215,0.0,11835,8228,12
370,0.56831396,1.0,11835,11836,12
371,0.5555974,1.0,11835,11837,12
372,0.54396933,0.0,11836,1961,12
373,0.54353267,1.0,11836,2600,12
374,0.5683078,1.0,11836,11835,12
375,0.57195157,1.0,11836,11838,12
376,0.56756186,1.0,11837,11835,12
377,0.57486004,1.0,11837,11838,12
378,0.5703472,1.0,11837,11839,12
379,0.6076659,0.0,11838,4398,12
380,0.55632854,1.0,11838,11836,12
381,0.543709,1.0,11838,11837,12
382,0.5442998,1.0,11838,11839,12
383,0.51544064,1.0,11839,11837,12
384,0.5230912,1.0,11839,11838,12
385,0.6041615,0.0,12238,2598,12
386,0.5612145,0.0,4013,13051,13
387,0.5430443,0.0,10892,13051,13
388,0.54552627,1.0,13047,13048,13
389,0.6010999,1.0,13047,13049,13
390,0.59818816,0.0,13047,13050,13
391,0.61266524,1.0,13048,13047,13
392,0.54727453,1.0,13048,13051,13
393,0.5770889,1.0,13048,13052,13
394,0.63420534,1.0,13049,13047,13
395,0.5635684,1.0,13049,13051,13
396,0.55528796,1.0,13049,13053,13
397,0.5633474,0.0,13050,13047,13
398,0.51442564,0.0,13051,4013,13
399,0.5503695,0.0,13051,10892,13
400,0.5056711,1.0,13051,13048,13
401,0.57556003,1.0,13051,13049,13
402,0.532055,1.0,13051,13053,13
403,0.54200166,1.0,13052,13048,13
404,0.58255106,1.0,13053,13049,13
405,0.5543008,1.0,13053,13051,13
406,0.55963016,0.0,1425,1427,14
407,0.5605957,0.0,1427,1425,14
408,0.59325427,0.0,1427,8765,14
409,0.5300564,0.0,1427,10840,14
410,0.5378149,0.0,1638,10838,14
411,0.5544715,0.0,4560,10838,14
412,0.54949754,0.0,7268,10844,14
413,0.46541625,0.0,8765,1427,14
414,0.5587975,0.0,8893,10838,14
415,0.55355304,1.0,9312,9313,14
416,0.5925512,1.0,9312,9314,14
417,0.5590375,1.0,9313,9312,14
418,0.54000777,1.0,9313,9321,14
419,0.5903335,0.0,9313,9322,14
420,0.5980823,0.0,9313,9323,14
421,0.62063545,0.0,9313,10756,14
422,0.54626685,1.0,9314,9312,14
423,0.5219774,1.0,9314,9321,14
424,0.51577973,1.0,9314,9324,14
