Beta Probability,GT,P1,P2,Run,Idx,Acc,F1
0.5519397,1,264,265,0,277,0.458333333,0.628571429
0.5762627,1,264,266,0,277,0.458333333,0.628571429
0.62398577,1,265,264,0,277,0.458333333,0.628571429
0.5665326,1,265,271,0,277,0.458333333,0.628571429
0.6769076,0,265,272,0,277,0.458333333,0.628571429
0.5044564,1,266,264,0,277,0.458333333,0.628571429
0.44785562,1,266,271,0,277,0.458333333,0.628571429
0.5146931,1,266,273,0,277,0.458333333,0.628571429
0.50357175,0,266,274,0,277,0.458333333,0.628571429
0.49551576,0,266,275,0,277,0.458333333,0.628571429
0.55150276,0,266,276,0,277,0.458333333,0.628571429
0.48008516,0,266,5037,0,277,0.458333333,0.628571429
0.5450611,1,271,265,0,277,0.458333333,0.628571429
0.5746649,1,271,266,0,277,0.458333333,0.628571429
0.5694914,1,271,273,0,277,0.458333333,0.628571429
0.58830565,1,271,277,0,277,0.458333333,0.628571429
0.50047666,0,272,265,0,277,0.458333333,0.628571429
0.5551399,1,273,266,0,277,0.458333333,0.628571429
0.49089673,1,273,271,0,277,0.458333333,0.628571429
0.52729094,0,273,278,0,277,0.458333333,0.628571429
0.5318132,0,274,266,0,277,0.458333333,0.628571429
0.5823554,0,275,266,0,277,0.458333333,0.628571429
0.5880261,0,276,266,0,277,0.458333333,0.628571429
0.48848686,1,277,271,0,277,0.458333333,0.628571429
0.62224376,0,278,273,0,277,0.458333333,0.628571429
0.63350993,0,5037,266,0,277,0.458333333,0.628571429
0.5654643,0,155,762,0,763,0.451612903,0.622222222
0.53000486,1,753,754,0,763,0.451612903,0.622222222
0.6164917,1,753,755,0,763,0.451612903,0.622222222
0.5695284,1,754,753,0,763,0.451612903,0.622222222
0.5531565,1,754,759,0,763,0.451612903,0.622222222
0.5807956,1,755,753,0,763,0.451612903,0.622222222
0.5599974,1,755,759,0,763,0.451612903,0.622222222
0.55943507,1,755,760,0,763,0.451612903,0.622222222
0.5635453,0,755,9782,0,763,0.451612903,0.622222222
0.58034754,0,755,11042,0,763,0.451612903,0.622222222
0.5002573,1,759,754,0,763,0.451612903,0.622222222
0.5829033,1,759,755,0,763,0.451612903,0.622222222
0.54928774,1,759,760,0,763,0.451612903,0.622222222
0.48988697,0,759,761,0,763,0.451612903,0.622222222
0.55345184,0,759,3911,0,763,0.451612903,0.622222222
0.5365055,0,759,12160,0,763,0.451612903,0.622222222
0.6133529,1,760,755,0,763,0.451612903,0.622222222
0.57983404,1,760,759,0,763,0.451612903,0.622222222
0.5902756,0,760,762,0,763,0.451612903,0.622222222
0.53724,1,760,763,0,763,0.451612903,0.622222222
0.563401,0,760,764,0,763,0.451612903,0.622222222
0.5067299,0,761,759,0,763,0.451612903,0.622222222
0.51473576,0,762,155,0,763,0.451612903,0.622222222
0.5381113,0,762,760,0,763,0.451612903,0.622222222
0.5890842,1,763,760,0,763,0.451612903,0.622222222
0.58500355,0,764,760,0,763,0.451612903,0.622222222
0.57208455,0,764,5959,0,763,0.451612903,0.622222222
0.5634623,0,3911,759,0,763,0.451612903,0.622222222
0.52092004,0,5959,764,0,763,0.451612903,0.622222222
0.57494646,0,9782,755,0,763,0.451612903,0.622222222
0.5644771,0,11042,755,0,763,0.451612903,0.622222222
0.58035976,0,12160,759,0,763,0.451612903,0.622222222
0.5626372,1,3236,3237,0,3240,0.7,0.823529412
0.52467537,1,3236,3238,0,3240,0.7,0.823529412
0.5866,0,3236,3377,0,3240,0.7,0.823529412
0.5435452,1,3237,3236,0,3240,0.7,0.823529412
0.56618035,1,3237,3239,0,3240,0.7,0.823529412
0.6118178,1,3237,3240,0,3240,0.7,0.823529412
0.569705,1,3238,3236,0,3240,0.7,0.823529412
0.6002825,1,3238,3239,0,3240,0.7,0.823529412
0.64139986,1,3238,3241,0,3240,0.7,0.823529412
0.5746053,1,3239,3237,0,3240,0.7,0.823529412
0.5347127,1,3239,3238,0,3240,0.7,0.823529412
0.5861128,1,3239,3241,0,3240,0.7,0.823529412
0.59948933,0,3239,3247,0,3240,0.7,0.823529412
0.5848171,0,3239,5374,0,3240,0.7,0.823529412
0.59709525,1,3240,3237,0,3240,0.7,0.823529412
0.57663584,1,3241,3238,0,3240,0.7,0.823529412
0.60004365,1,3241,3239,0,3240,0.7,0.823529412
0.5410635,0,3247,3239,0,3240,0.7,0.823529412
0.5376807,0,3377,3236,0,3240,0.7,0.823529412
0.57142234,0,5374,3239,0,3240,0.7,0.823529412
0.60008496,1,3554,3555,0,3564,0.583333333,0.736842105
0.64849263,1,3554,3556,0,3564,0.583333333,0.736842105
0.58769196,1,3555,3554,0,3564,0.583333333,0.736842105
0.6143919,1,3555,3561,0,3564,0.583333333,0.736842105
0.5119242,0,3555,3562,0,3564,0.583333333,0.736842105
0.58948576,1,3556,3554,0,3564,0.583333333,0.736842105
0.61231065,1,3556,3561,0,3564,0.583333333,0.736842105
0.6242447,1,3556,3563,0,3564,0.583333333,0.736842105
0.5761618,0,3556,3770,0,3564,0.583333333,0.736842105
0.5288171,0,3556,6133,0,3564,0.583333333,0.736842105
0.54432553,1,3561,3555,0,3564,0.583333333,0.736842105
0.59167737,1,3561,3556,0,3564,0.583333333,0.736842105
0.59697247,1,3561,3563,0,3564,0.583333333,0.736842105
0.57372266,1,3561,3564,0,3564,0.583333333,0.736842105
0.5757658,0,3562,3555,0,3564,0.583333333,0.736842105
0.6234409,1,3563,3556,0,3564,0.583333333,0.736842105
0.61631787,1,3563,3561,0,3564,0.583333333,0.736842105
0.60705334,0,3563,3565,0,3564,0.583333333,0.736842105
0.58595246,0,3563,8074,0,3564,0.583333333,0.736842105
0.55556405,1,3564,3561,0,3564,0.583333333,0.736842105
0.6412116,0,3565,3563,0,3564,0.583333333,0.736842105
0.63673973,0,3770,3556,0,3564,0.583333333,0.736842105
0.6317446,0,6133,3556,0,3564,0.583333333,0.736842105
0.5825602,0,8074,3563,0,3564,0.583333333,0.736842105
0.5677324,1,3628,3629,0,3632,0.764705882,0.866666667
0.5177665,1,3628,3630,0,3632,0.764705882,0.866666667
0.5542154,0,3628,12011,0,3632,0.764705882,0.866666667
0.5563084,1,3629,3628,0,3632,0.764705882,0.866666667
0.6391641,1,3629,3631,0,3632,0.764705882,0.866666667
0.65471345,1,3629,3632,0,3632,0.764705882,0.866666667
0.47855386,1,3630,3628,0,3632,0.764705882,0.866666667
0.56559944,1,3630,3631,0,3632,0.764705882,0.866666667
0.51866513,1,3630,3633,0,3632,0.764705882,0.866666667
0.64002216,1,3631,3629,0,3632,0.764705882,0.866666667
0.5732029,1,3631,3630,0,3632,0.764705882,0.866666667
0.5747524,1,3631,3633,0,3632,0.764705882,0.866666667
0.5886691,0,3631,3637,0,3632,0.764705882,0.866666667
0.64438725,1,3632,3629,0,3632,0.764705882,0.866666667
0.5987578,1,3633,3630,0,3632,0.764705882,0.866666667
0.64140135,1,3633,3631,0,3632,0.764705882,0.866666667
0.5825449,0,3637,3631,0,3632,0.764705882,0.866666667
0.49007767,0,12011,3628,0,3632,0.764705882,0.866666667
0.6154007,0,788,4554,0,4556,0.324324324,0.489795918
0.53142107,1,4548,4549,0,4556,0.324324324,0.489795918
0.48134223,1,4548,4550,0,4556,0.324324324,0.489795918
0.5879593,0,4548,4551,0,4556,0.324324324,0.489795918
0.5062999,0,4548,4552,0,4556,0.324324324,0.489795918
0.51155496,0,4548,5612,0,4556,0.324324324,0.489795918
0.56664866,0,4548,12811,0,4556,0.324324324,0.489795918
0.48726937,0,4548,13266,0,4556,0.324324324,0.489795918
0.6309004,1,4549,4548,0,4556,0.324324324,0.489795918
0.5898731,1,4549,4553,0,4556,0.324324324,0.489795918
0.60199165,0,4549,4554,0,4556,0.324324324,0.489795918
0.5398885,0,4549,4555,0,4556,0.324324324,0.489795918
0.56009257,1,4549,4556,0,4556,0.324324324,0.489795918
0.653356,1,4550,4548,0,4556,0.324324324,0.489795918
0.6139893,1,4550,4553,0,4556,0.324324324,0.489795918
0.61625195,1,4550,4557,0,4556,0.324324324,0.489795918
0.6943077,0,4551,4548,0,4556,0.324324324,0.489795918
0.5640043,0,4552,4548,0,4556,0.324324324,0.489795918
0.57148975,1,4553,4549,0,4556,0.324324324,0.489795918
0.5096058,1,4553,4550,0,4556,0.324324324,0.489795918
0.56945586,1,4553,4557,0,4556,0.324324324,0.489795918
0.56716496,0,4553,10786,0,4556,0.324324324,0.489795918
0.6485867,0,4554,788,0,4556,0.324324324,0.489795918
0.6167123,0,4554,4549,0,4556,0.324324324,0.489795918
0.5796847,0,4554,5110,0,4556,0.324324324,0.489795918
0.606212,0,4554,6153,0,4556,0.324324324,0.489795918
0.62466156,0,4555,4549,0,4556,0.324324324,0.489795918
0.58592176,0,4555,12784,0,4556,0.324324324,0.489795918
0.48964527,1,4556,4549,0,4556,0.324324324,0.489795918
0.55829334,1,4557,4550,0,4556,0.324324324,0.489795918
0.60460794,1,4557,4553,0,4556,0.324324324,0.489795918
0.6260004,0,5110,4554,0,4556,0.324324324,0.489795918
0.63364375,0,5612,4548,0,4556,0.324324324,0.489795918
