GNN Probability,GT,P1,P2,Run,Idx,Acc,F1
0.4986165,1,264,265,0,277,0.05,0.095238095
0.49949005,1,264,266,0,277,0.05,0.095238095
0.4975784,1,265,264,0,277,0.05,0.095238095
0.49790934,1,265,271,0,277,0.05,0.095238095
0.5041141,0,265,272,0,277,0.05,0.095238095
0.4974752,1,266,264,0,277,0.05,0.095238095
0.4991333,1,266,271,0,277,0.05,0.095238095
0.50226104,1,266,273,0,277,0.05,0.095238095
0.49943653,0,266,274,0,277,0.05,0.095238095
0.5003611,0,266,275,0,277,0.05,0.095238095
0.501109,0,266,276,0,277,0.05,0.095238095
0.49650237,0,266,5037,0,277,0.05,0.095238095
0.4956695,1,271,265,0,277,0.05,0.095238095
0.49190214,1,271,266,0,277,0.05,0.095238095
0.4987611,1,271,273,0,277,0.05,0.095238095
0.4988269,1,271,277,0,277,0.05,0.095238095
0.5023076,0,272,265,0,277,0.05,0.095238095
0.49885386,1,273,266,0,277,0.05,0.095238095
0.4947886,1,273,271,0,277,0.05,0.095238095
0.49554697,0,273,278,0,277,0.05,0.095238095
0.49582714,0,274,266,0,277,0.05,0.095238095
0.50303054,0,275,266,0,277,0.05,0.095238095
0.49732444,0,276,266,0,277,0.05,0.095238095
0.49674156,1,277,271,0,277,0.05,0.095238095
0.49702647,0,278,273,0,277,0.05,0.095238095
0.5018664,0,5037,266,0,277,0.05,0.095238095
0.4986721,0,155,762,0,763,0.333333333,0.5
0.50590473,1,753,754,0,763,0.333333333,0.5
0.49835023,1,753,755,0,763,0.333333333,0.5
0.50094354,1,754,753,0,763,0.333333333,0.5
0.49925214,1,754,759,0,763,0.333333333,0.5
0.5054497,1,755,753,0,763,0.333333333,0.5
0.5001299,1,755,759,0,763,0.333333333,0.5
0.5026432,1,755,760,0,763,0.333333333,0.5
0.49918717,0,755,9782,0,763,0.333333333,0.5
0.50012887,0,755,11042,0,763,0.333333333,0.5
0.49353647,1,759,754,0,763,0.333333333,0.5
0.50476897,1,759,755,0,763,0.333333333,0.5
0.502536,1,759,760,0,763,0.333333333,0.5
0.5023667,0,759,761,0,763,0.333333333,0.5
0.4990991,0,759,3911,0,763,0.333333333,0.5
0.5018277,0,759,12160,0,763,0.333333333,0.5
0.50175685,1,760,755,0,763,0.333333333,0.5
0.49920756,1,760,759,0,763,0.333333333,0.5
0.5003886,0,760,762,0,763,0.333333333,0.5
0.4976459,1,760,763,0,763,0.333333333,0.5
0.50374514,0,760,764,0,763,0.333333333,0.5
0.5036732,0,761,759,0,763,0.333333333,0.5
0.50243986,0,762,155,0,763,0.333333333,0.5
0.50308084,0,762,760,0,763,0.333333333,0.5
0.4963746,1,763,760,0,763,0.333333333,0.5
0.503442,0,764,760,0,763,0.333333333,0.5
0.49713203,0,764,5959,0,763,0.333333333,0.5
0.49603307,0,3911,759,0,763,0.333333333,0.5
0.49400952,0,5959,764,0,763,0.333333333,0.5
0.4969811,0,9782,755,0,763,0.333333333,0.5
0.5003458,0,11042,755,0,763,0.333333333,0.5
0.49803627,0,12160,759,0,763,0.333333333,0.5
0.50288314,1,3236,3237,0,3240,0.352941176,0.52173913
0.50147253,1,3236,3238,0,3240,0.352941176,0.52173913
0.498685,0,3236,3377,0,3240,0.352941176,0.52173913
0.50046784,1,3237,3236,0,3240,0.352941176,0.52173913
0.49629387,1,3237,3239,0,3240,0.352941176,0.52173913
0.4965214,1,3237,3240,0,3240,0.352941176,0.52173913
0.49584296,1,3238,3236,0,3240,0.352941176,0.52173913
0.49636206,1,3238,3239,0,3240,0.352941176,0.52173913
0.500561,1,3238,3241,0,3240,0.352941176,0.52173913
0.50355285,1,3239,3237,0,3240,0.352941176,0.52173913
